"","","","","par1","par2"
"cv",20,1,94.1528359953065,-2.46771304902637,-4.96951032430076
"cv",20,2,99.4951598478586,-3.2642799771255,-4.79626319604565
"cv",20,3,95.7449368304199,0.972373373806477,-4.54471226315945
"cv",20,4,94.5955940929489,-0.334147074426714,-4.36561191705619
"cv",40,1,189.758193498693,-3.71046898453645,-4.67818151985623
"cv",40,2,192.207930643146,-1.57101082861712,-4.78294768176261
"cv",40,3,192.139068348083,-2.45684122466884,-4.90174331995986
"cv",40,4,191.051592404879,-0.546403585175719,-4.89480920553766
