"","","","","par1","par2"
"cv",20,1,51.1393775997645,4.99999999999912,-2.16737488021259
"cv",20,2,40.2085427444882,4.9999999999999,-2.09061988713989
"cv",20,3,68.6287299703841,4.99999999999997,-2.27475738826827
"cv",20,4,41.4101621415423,4.99999999999944,-2.1020016841691
"cv",40,1,149.081828135327,4.99999999999922,-1.81903018335189
"cv",40,2,142.526350753805,4.99999999999936,-1.80091494769582
"cv",40,3,128.099517618094,4.99999999999566,-1.72447235634854
"cv",40,4,142.215045974034,4.99999999996663,-1.81482172510213
