"","","","","par1","par2"
"cv",20,1,36.6708611307805,0.110399641854271,-4.99999999999984
"cv",20,2,84.8632213755567,0.232969052792461,-4.99999999999999
"cv",20,3,49.4986245402741,0.124341986953116,-4.99999999999992
"cv",20,4,18.5342208427404,-0.00773477433481527,-4.99999999999969
"cv",40,1,132.664199660313,0.628157877888002,-4.99999999999975
"cv",40,2,54.010427564432,0.502412643468562,-4.99999999999985
"cv",40,3,72.4514522926157,0.604559561081272,-4.99999999999986
"cv",40,4,55.8917677953973,0.56195538227417,-4.99999999999998
