"","","","","par1","par2","par3"
"cv",20,1,48.450979942607,2.58324474345552,-4.92068467561826,-4.99975187571178
"cv",20,2,71.9939406575164,-4.99999515852161,-1.81089869251629,-2.46661163430665
"cv",20,3,87.6503885851671,2.6606135944683,-4.57071727768111,-4.99408350086392
"cv",20,4,77.7600200529168,2.74464106644613,-4.47065169319453,-4.97246876889993
"cv",40,1,100.824950522001,1.6797486139803,-2.32264075588078,-3.10214589041566
"cv",40,2,70.856806833891,2.83400916840974,-4.33334011196456,-4.99939135289678
"cv",40,3,32.9863376216888,1.62444406282045,-2.38624506064026,-3.08967630062087
"cv",40,4,117.176804346248,-4.99999999057842,-1.99440012003402,-2.97119796453863
