"","","","","par1","par2","par3"
"cv",20,1,75.7093994044103,4.55771802978068,-4.37876511818989,-4.99994371879708
"cv",20,2,64.6008433153939,4.99449678509919,4.29919098588208,3.25457247131702
"cv",20,3,90.7337267965319,1.9790111716288,3.84400681563694,3.09687223889471
"cv",20,4,68.190083380653,3.93026739760399,-4.41690547090515,-4.9972958906958
"cv",40,1,172.290474924009,1.87242166376253,-1.40234806320169,-2.04349943294055
"cv",40,2,136.804560696174,3.53418404455753,-4.5135311502932,-4.99875579989402
"cv",40,3,146.483475349951,1.91304267909851,-2.06883941958293,-2.60000406646525
"cv",40,4,166.068952829576,1.71976597921789,-1.68085732233216,-2.29965766309111
