"","trial","Environment","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,"Smooth",50.1234039140546,0.23333671776341,50.1234039140546,0.23333671776341,"GP-UCB"
"2",2,"Smooth",52.0985091604746,0.241893959994167,63.1019923386794,0.191911831734567,"GP-UCB"
"3",3,"Smooth",54.3783692291184,0.241942610126577,69.4790269466293,0.172168070474006,"GP-UCB"
"4",4,"Smooth",56.6187391242907,0.239759612389585,73.6151532848313,0.158991221869566,"GP-UCB"
"5",5,"Smooth",58.24593392427,0.242209351687649,76.8650106499459,0.150044560539346,"GP-UCB"
"6",6,"Smooth",59.9570614754532,0.24396384674738,79.4383176464457,0.143012331257309,"GP-UCB"
"7",7,"Smooth",61.2682728388458,0.242540483731365,81.5946802280029,0.13689177539201,"GP-UCB"
"8",8,"Smooth",62.6662812377919,0.240725199164734,83.4320050344766,0.130854416248874,"GP-UCB"
"9",9,"Smooth",63.9295988652592,0.237811763203197,84.9940567752598,0.125105807246076,"GP-UCB"
"10",10,"Smooth",65.1817089592946,0.232844696841679,86.3636632307905,0.12033851692631,"GP-UCB"
"11",11,"Smooth",65.6434714895512,0.231177506920833,87.5303765884605,0.115645405734256,"GP-UCB"
"12",12,"Smooth",66.5603685303148,0.225006531923973,88.6032174423782,0.111149203737671,"GP-UCB"
"13",13,"Smooth",66.9484112638124,0.224686311880597,89.5835754981166,0.106372139142239,"GP-UCB"
"14",14,"Smooth",67.2886668962946,0.220992644051512,90.5186474383337,0.101385242294764,"GP-UCB"
"15",15,"Smooth",67.7127235758793,0.21900534291733,91.3588403264535,0.0972521015710766,"GP-UCB"
"16",16,"Smooth",68.1493674857434,0.215943933739179,92.1168728657112,0.0930951042858294,"GP-UCB"
"17",17,"Smooth",68.2451937987179,0.214445099531489,92.7525360858157,0.0883402910824213,"GP-UCB"
"18",18,"Smooth",68.3678231266257,0.211682101319036,93.3830850789463,0.0840915299225957,"GP-UCB"
"19",19,"Smooth",68.5157847979673,0.21021372347715,93.9321576702193,0.0802763095380752,"GP-UCB"
"20",20,"Smooth",68.1973297487738,0.211373696125827,94.3950354443936,0.0770221869214537,"GP-UCB"
