"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"40",40,"Best",965.938418526268,"LBMT","UCB",0.160775815319658,1.34,0.0067392443772512,NA,31.1444134887397,15.7060711499573,"LBMT-UCB"
"41",41,"Best",870.96066703372,"LBMT","UCB",0.243294146230148,1.16,0.00674894274781748,NA,30.8468060155861,13.2069239203898,"LBMT-UCB"
"42",42,"Cumulative",672.41801178403,"LBMT","UCB",0.415791476060351,0.81,0.00674714817741964,NA,43.4558450612762,16.6554084546355,"LBMT-UCB"
"43",43,"Cumulative",901.80818407384,"LBMT","UCB",0.21649328414527,0.87,0.00674422632659073,NA,44.6827456189068,22.5901168775222,"LBMT-UCB"
"44",44,"Cumulative",844.792517960466,"LBMT","UCB",0.266029491620076,0.82,0.138128623910834,NA,44.7191323933441,18.4260845907002,"LBMT-UCB"
"45",45,"Best",855.516651307641,"LBMT","UCB",0.256712177087315,0.96,0.00674529634380984,NA,44.560174259755,21.2814522921293,"LBMT-UCB"
"46",46,"Best",815.482215368225,"LBMT","UCB",0.291494794918847,1.08,0.00674915910939909,NA,1.20542651764923,0.593351677964991,"LBMT-UCB"
"47",47,"Best",795.123710706493,"LBMT","UCB",0.309182619679064,0.91,4.61374494121729,NA,0.0547548470927059,0.0333923707175297,"LBMT-UCB"
"48",48,"Cumulative",549.895797293637,"LBMT","UCB",0.522240917959358,1.25,4.44479608209893,NA,0.0381986846874508,0.0250514695498311,"LBMT-UCB"
"49",49,"Cumulative",820.112668581988,"LBMT","UCB",0.287471776216528,0.88,0.918378605846615,NA,0.911832736830094,0.428739222950581,"LBMT-UCB"
"50",50,"Best",855.926913153379,"LBMT","UCB",0.256355734423486,1.11,0.00674947360016653,NA,34.4791556540671,16.081298037694,"LBMT-UCB"
"51",51,"Best",759.351160436097,"LBMT","UCB",0.340262436734495,1.04,0.892736417936745,NA,23.0534952919748,8.03903580939438,"LBMT-UCB"
"52",52,"Best",623.485946881188,"LBMT","UCB",0.458304509484849,1.1,3.51199750130688,NA,0.139580237220503,0.058978300317572,"LBMT-UCB"
"53",53,"Best",630.739040468904,"LBMT","UCB",0.452002894976288,0.95,0.423808953960409,NA,44.6690928142643,16.6679156415962,"LBMT-UCB"
