"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"48",48,"Cumulative",594.039139083527,"LocalSearch","",0.483888410892492,1.25,NA,NA,NA,0.159818985869427,"LocalSearch-",2
"49",49,"Cumulative",910.464831226865,"LocalSearch","",0.208972237762058,0.88,NA,NA,NA,0.255383578423739,"LocalSearch-",2
"50",50,"Best",970.049103578715,"LocalSearch","",0.157204380282546,1.11,NA,NA,NA,0.271159217623769,"LocalSearch-",2
"51",51,"Best",866.714991380688,"LocalSearch","",0.246982863460972,1.04,NA,NA,NA,0.218236538997074,"LocalSearch-",2
"52",52,"Best",678.844804005497,"LocalSearch","",0.4102077666243,1.1,NA,NA,NA,0.178547752396616,"LocalSearch-",2
"53",53,"Best",773.604385331263,"LocalSearch","",0.32787898576879,0.95,NA,NA,NA,0.202778715484472,"LocalSearch-",2
"54",54,"Cumulative",668.830831137509,"LocalSearch","",0.418908081317622,1.18,NA,NA,NA,0.174289008590559,"LocalSearch-",2
"55",55,"Cumulative",860.419639561211,"LocalSearch","",0.252452375177917,0.94,NA,NA,NA,0.22600230434921,"LocalSearch-",2
"56",56,"Best",789.985369095537,"LocalSearch","",0.313646900699838,1.07,NA,NA,NA,0.213503366313334,"LocalSearch-",2
"57",57,"Best",1070.10634969267,"LocalSearch","",0.0702728956445754,1.14,NA,NA,NA,0.370768869128035,"LocalSearch-",2
"58",58,"Best",763.205913903207,"LocalSearch","",0.336913359532954,0.72,NA,NA,NA,0.199715063772542,"LocalSearch-",2
"59",59,"Best",990.987364990888,"LocalSearch","",0.139012852722161,1.1,NA,NA,NA,0.26520029791811,"LocalSearch-",2
"60",60,"Cumulative",859.260677734762,"LocalSearch","",0.253459301473861,0.89,NA,NA,NA,0.224005989949663,"LocalSearch-",2
"61",61,"Cumulative",735.959208674309,"LocalSearch","",0.360585773366368,1.19,NA,NA,NA,0.193530530188588,"LocalSearch-",2
"62",62,"Cumulative",891.033983579008,"LocalSearch","",0.225854097891195,0.86,NA,NA,NA,0.239122668795228,"LocalSearch-",2
"63",63,"Cumulative",1033.2502319943,"LocalSearch","",0.102294135024497,0.88,NA,NA,NA,0.289332420694121,"LocalSearch-",2
"64",64,"Best",727.031526660124,"LocalSearch","",0.368342299575224,0.99,NA,NA,NA,0.19109227726678,"LocalSearch-",2
"65",65,"Best",908.243121451559,"LocalSearch","",0.210902498055071,1.16,NA,NA,NA,0.24773599055561,"LocalSearch-",2
"66",66,"Best",892.360706111762,"LocalSearch","",0.224701418160797,1.1,NA,NA,NA,0.232815587012654,"LocalSearch-",2
"67",67,"Cumulative",875.62324980983,"LocalSearch","",0.239243212802367,0.83,NA,NA,NA,0.240538201436954,"LocalSearch-",2
"68",68,"Best",621.085479230837,"LocalSearch","",0.46039007774477,1.07,NA,NA,NA,0.158055571391278,"LocalSearch-",2
"69",69,"Best",979.604487269682,"LocalSearch","",0.148902495883337,1.03,NA,NA,NA,0.303711332845855,"LocalSearch-",2
"70",70,"Best",993.487992806289,"LocalSearch","",0.136840263559831,1.1,NA,NA,NA,0.290145811935699,"LocalSearch-",2
"71",71,"Cumulative",797.761298223451,"LocalSearch","",0.306891037533672,1.13,NA,NA,NA,0.224987121674757,"LocalSearch-",2
"72",72,"Cumulative",588.582963911713,"LocalSearch","",0.488628831267349,1.11,NA,NA,NA,0.16222180478577,"LocalSearch-",2
"73",73,"Best",824.456454322024,"LocalSearch","",0.28369781922694,1.19,NA,NA,NA,0.206880041853395,"LocalSearch-",2
"74",74,"Cumulative",1094.96489812435,"LocalSearch","",0.0486753541866546,0.81,NA,NA,NA,0.362426626336306,"LocalSearch-",2
"75",75,"Cumulative",865.687085866033,"LocalSearch","",0.247875925742086,1.13,NA,NA,NA,0.243020525488315,"LocalSearch-",2
"76",76,"Cumulative",905.821310896792,"LocalSearch","",0.213006609403469,0.91,NA,NA,NA,0.241791553240585,"LocalSearch-",2
"77",77,"Cumulative",738.423591844171,"LocalSearch","",0.358444674185716,1.05,NA,NA,NA,0.217297249812339,"LocalSearch-",2
"78",78,"Best",1127.80126681801,"LocalSearch","",0.0201465430158181,1.09,NA,NA,NA,0.579295757534764,"LocalSearch-",2
"79",79,"Best",890.94017353958,"LocalSearch","",0.22593560169345,1.29,NA,NA,NA,0.239795169953883,"LocalSearch-",2
