"","participant","reward","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"1",1,"Cumulative",20,1,474.802739953901,0.587483078963,"LBMT","UCB",0.197800974077173,NA,0.0948356768195497,0.0475820054924998,16.030752535957,1.2
"2",1,"Cumulative",20,2,474.802739953901,0.587483078963,"LBMT","UCB",0.00673794740762883,NA,0.0902523168239919,0.0468415332774289,46.8265037771657,1.2
"3",1,"Cumulative",20,3,474.802739953901,0.587483078963,"LBMT","UCB",0.00673795432069999,NA,0.0844846288337235,0.0447233466868254,54.8768262179582,1.2
"4",1,"Cumulative",20,4,474.802739953901,0.587483078963,"LBMT","UCB",0.715234859119585,NA,0.0931705415721321,0.0522715196955952,42.3702213751721,1.2
"5",1,"Cumulative",40,1,474.802739953901,0.587483078963,"LBMT","UCB",2.33420858661045,NA,0.081763140980639,0.0532250509538718,32.0464687140167,1.2
"6",1,"Cumulative",40,2,474.802739953901,0.587483078963,"LBMT","UCB",1.17431496648881,NA,0.0853810066926897,0.053158336782767,39.3775756767633,1.2
"7",1,"Cumulative",40,3,474.802739953901,0.587483078963,"LBMT","UCB",2.22472357102126,NA,0.102693606852957,0.0485400757045231,178.808275146231,1.2
"8",1,"Cumulative",40,4,474.802739953901,0.587483078963,"LBMT","UCB",1.6909862362045,NA,0.0717898100974303,0.0450838911587225,64.4661165106373,1.2
"9",2,"Cumulative",20,1,702.551812602737,0.38961070310592,"LBMT","UCB",0.00675317643084061,NA,44.6208863243301,15.578320598492,29.4207587189496,0.91
"10",2,"Cumulative",20,2,702.551812602737,0.38961070310592,"LBMT","UCB",0.00674044700338849,NA,44.3172070987019,15.0284711729916,37.2202392974308,0.91
"11",2,"Cumulative",20,3,702.551812602737,0.38961070310592,"LBMT","UCB",0.00674275234776699,NA,44.158887259505,14.4235284726024,44.5638275804153,0.91
"12",2,"Cumulative",20,4,702.551812602737,0.38961070310592,"LBMT","UCB",0.00674052122929463,NA,44.7240306831298,13.9987830428225,56.0329208985898,0.91
"13",2,"Cumulative",40,1,702.551812602737,0.38961070310592,"LBMT","UCB",0.00673863162689229,NA,0.216468468875109,0.100581440788114,123.743827988242,0.91
"14",2,"Cumulative",40,2,702.551812602737,0.38961070310592,"LBMT","UCB",0.0459152019154367,NA,1.47406564002893,0.670982661544854,136.961966343644,0.91
"15",2,"Cumulative",40,3,702.551812602737,0.38961070310592,"LBMT","UCB",0.00673827978262729,NA,0.248051862942427,0.114445058661068,127.204132694965,0.91
"16",2,"Cumulative",40,4,702.551812602737,0.38961070310592,"LBMT","UCB",0.00674017107753425,NA,0.250616009906171,0.109533599991584,147.4041390805,0.91
"17",3,"Cumulative",20,1,772.749014447895,0.328622146945968,"LBMT","UCB",1.02954611381248,NA,0.40796002563058,0.168769409733418,52.0988314434023,0.9
"18",3,"Cumulative",20,2,772.749014447895,0.328622146945968,"LBMT","UCB",1.10373254468711,NA,0.40085584216302,0.165629063963197,52.800530254243,0.9
"19",3,"Cumulative",20,3,772.749014447895,0.328622146945968,"LBMT","UCB",0.0964115721225492,NA,113.367686022589,17.9225131022617,66.71991641832,0.9
"20",3,"Cumulative",20,4,772.749014447895,0.328622146945968,"LBMT","UCB",0.946751809379403,NA,0.421127161656277,0.162431129299278,69.6850211045738,0.9
"21",3,"Cumulative",40,1,772.749014447895,0.328622146945968,"LBMT","UCB",0.0528077818326974,NA,103.562883050855,20.1552704719391,137.063025541515,0.9
"22",3,"Cumulative",40,2,772.749014447895,0.328622146945968,"LBMT","UCB",0.182859947434654,NA,79.9554029129956,19.5252223563147,151.747765685341,0.9
"23",3,"Cumulative",40,3,772.749014447895,0.328622146945968,"LBMT","UCB",0.520955749635191,NA,48.1322024106074,21.0185246166256,117.428927490979,0.9
"24",3,"Cumulative",40,4,772.749014447895,0.328622146945968,"LBMT","UCB",0.637011804727888,NA,44.7220298758451,20.5281200019453,125.204996509521,0.9
"25",4,"Cumulative",20,1,550.486047864506,0.521728097944548,"LBMT","UCB",0.00673795772543108,NA,0.0759115465991789,0.0558619951788456,20.9726755991818,1.2
"26",4,"Cumulative",20,2,550.486047864506,0.521728097944548,"LBMT","UCB",0.704768915987156,NA,0.104394445549389,0.0493109289851596,102.407735820177,1.2
"27",4,"Cumulative",20,3,550.486047864506,0.521728097944548,"LBMT","UCB",0.00673795099927925,NA,0.0608674059414295,0.0506903621412589,17.6603672547284,1.2
"28",4,"Cumulative",20,4,550.486047864506,0.521728097944548,"LBMT","UCB",0.100846598385801,NA,0.0745970247398655,0.0531949106171548,29.5159816617278,1.2
"29",4,"Cumulative",40,1,550.486047864506,0.521728097944548,"LBMT","UCB",1.09404756657492,NA,0.0852280265644524,0.0523311390823828,102.684603695812,1.2
"30",4,"Cumulative",40,2,550.486047864506,0.521728097944548,"LBMT","UCB",0.633095279340907,NA,0.0843299110931447,0.0519603706817476,25.6506600589103,1.2
"31",4,"Cumulative",40,3,550.486047864506,0.521728097944548,"LBMT","UCB",0.214091503205543,NA,0.0870104164209029,0.0439917246556302,126.621331449757,1.2
"32",4,"Cumulative",40,4,550.486047864506,0.521728097944548,"LBMT","UCB",0.175787651168336,NA,0.0785431920943065,0.0453426519170967,124.972692324212,1.2
"33",5,"Best",20,1,914.509685508264,0.205457997649694,"LBMT","UCB",0.00678174972305452,NA,0.210904183423443,0.0976874118428426,82.7124706613361,1.26
"34",5,"Best",20,2,914.509685508264,0.205457997649694,"LBMT","UCB",0.00673799096649071,NA,0.176528209983153,0.0930444066967754,61.2715027033402,1.26
"35",5,"Best",20,3,914.509685508264,0.205457997649694,"LBMT","UCB",0.00675187645793782,NA,0.267605645570757,0.130761915662172,73.0954943901748,1.26
"36",5,"Best",20,4,914.509685508264,0.205457997649694,"LBMT","UCB",0.00674156815417121,NA,0.219071266064061,0.107660840284222,72.4233535766713,1.26
"37",5,"Best",40,1,914.509685508264,0.205457997649694,"LBMT","UCB",0.00673908843639268,NA,0.121335772830138,0.0704903162264702,184.69360853622,1.26
"38",5,"Best",40,2,914.509685508264,0.205457997649694,"LBMT","UCB",0.00673794752082029,NA,0.112080427797951,0.0758860081430898,154.443121056526,1.26
"39",5,"Best",40,3,914.509685508264,0.205457997649694,"LBMT","UCB",0.00673876968661075,NA,0.161709816049975,0.107865703610549,108.700123704346,1.26
"40",5,"Best",40,4,914.509685508264,0.205457997649694,"LBMT","UCB",0.0067384429473259,NA,0.129046375946558,0.0748700696064822,177.17001087965,1.26
"41",6,"Best",20,1,1046.10492593257,0.0911257522034497,"LBMT","UCB",10.7489453143174,NA,0.102770602747896,0.0778687795159505,91.2469381777262,1.06
"42",6,"Best",20,2,1046.10492593257,0.0911257522034497,"LBMT","UCB",6.46068367860262,NA,0.202922368033862,0.16268392419483,86.8381764272694,1.06
"43",6,"Best",20,3,1046.10492593257,0.0911257522034497,"LBMT","UCB",7.21528526387445,NA,0.146177394695237,0.109470796283834,91.7092112430922,1.06
"44",6,"Best",20,4,1046.10492593257,0.0911257522034497,"LBMT","UCB",0.706912287088957,NA,46.496630745867,34.1966231522574,89.8272062408173,1.06
"45",6,"Best",40,1,1046.10492593257,0.0911257522034497,"LBMT","UCB",3.05274009361546,NA,0.408086388475925,0.272051366309172,157.73888209299,1.06
"46",6,"Best",40,2,1046.10492593257,0.0911257522034497,"LBMT","UCB",0.00674042495517718,NA,0.162682228777054,0.104254792133499,173.714508509493,1.06
"47",6,"Best",40,3,1046.10492593257,0.0911257522034497,"LBMT","UCB",4.07631136835629,NA,0.236862437341863,0.154020032766759,167.557170243013,1.06
"48",6,"Best",40,4,1046.10492593257,0.0911257522034497,"LBMT","UCB",3.29658268230628,NA,0.266836582701054,0.157306881151635,187.47283299817,1.06
"49",7,"Cumulative",20,1,435.784294429665,0.621382986560144,"LBMT","UCB",0.00673794886145158,NA,0.109591589812249,0.0657154310883991,66.5637851050883,1.05
"50",7,"Cumulative",20,2,435.784294429665,0.621382986560144,"LBMT","UCB",8.86289519161877,NA,0.0187201812843735,0.0115995436560014,48.6176386578202,1.05
"51",7,"Cumulative",20,3,435.784294429665,0.621382986560144,"LBMT","UCB",4.33116602795275,NA,0.0400252072029881,0.0221472363148443,95.4307745542058,1.05
"52",7,"Cumulative",20,4,435.784294429665,0.621382986560144,"LBMT","UCB",6.88589794685121,NA,0.0202592424279795,0.014552785185346,77.0633829016498,1.05
"53",7,"Cumulative",40,1,435.784294429665,0.621382986560144,"LBMT","UCB",0.468559672744612,NA,0.0896140830639659,0.0293986896387974,46.7636095775418,1.05
"54",7,"Cumulative",40,2,435.784294429665,0.621382986560144,"LBMT","UCB",1.58738295280427,NA,0.0798862372623103,0.0327563074130767,15.2070374578215,1.05
"55",7,"Cumulative",40,3,435.784294429665,0.621382986560144,"LBMT","UCB",0.00673797678952387,NA,0.0601070484557445,0.0250530590686172,59.5828044741385,1.05
"56",7,"Cumulative",40,4,435.784294429665,0.621382986560144,"LBMT","UCB",1.49474986506103,NA,0.0756963075822188,0.0325843244679625,26.5552617013989,1.05
"57",8,"Cumulative",20,1,554.733137978255,0.518038151805524,"LBMT","UCB",3.21034530134621,NA,0.0970045741502013,0.0402846660619861,73.1556914870452,1.21
"58",8,"Cumulative",20,2,554.733137978255,0.518038151805524,"LBMT","UCB",2.97244098829612,NA,0.112067770272179,0.0524792408049109,36.2582327298985,1.21
"59",8,"Cumulative",20,3,554.733137978255,0.518038151805524,"LBMT","UCB",0.00673822339499684,NA,0.0975821825164298,0.0408881742894065,75.556994319505,1.21
"60",8,"Cumulative",20,4,554.733137978255,0.518038151805524,"LBMT","UCB",2.13063908336464,NA,0.102013675094097,0.0446432606408362,29.0174940531142,1.21
"61",8,"Cumulative",40,1,554.733137978255,0.518038151805524,"LBMT","UCB",3.27439780144574,NA,0.0717676508539677,0.0417495160574804,96.6789599142547,1.21
"62",8,"Cumulative",40,2,554.733137978255,0.518038151805524,"LBMT","UCB",2.39940660738576,NA,0.0771143977436622,0.0433776614770688,49.9003780576915,1.21
"63",8,"Cumulative",40,3,554.733137978255,0.518038151805524,"LBMT","UCB",1.23749192427178,NA,0.0997611309445098,0.0555492329023094,41.9831741274283,1.21
"64",8,"Cumulative",40,4,554.733137978255,0.518038151805524,"LBMT","UCB",2.84781854471024,NA,0.0750198604631455,0.0455199724279408,152.182213289318,1.21
"65",9,"Cumulative",20,1,727.44748910744,0.367980904129085,"LBMT","UCB",0.00674309029854045,NA,0.304553408281469,0.124733768082785,55.7726155412833,0.88
"66",9,"Cumulative",20,2,727.44748910744,0.367980904129085,"LBMT","UCB",0.00674337386754553,NA,0.300369778462086,0.118784198514583,63.6589666196496,0.88
"67",9,"Cumulative",20,3,727.44748910744,0.367980904129085,"LBMT","UCB",0.00673837325737462,NA,0.294071940719282,0.113830857491951,69.6891332611948,0.88
"68",9,"Cumulative",20,4,727.44748910744,0.367980904129085,"LBMT","UCB",0.00674263746571559,NA,44.5476860846546,19.1310896401915,51.6742108430662,0.88
"69",9,"Cumulative",40,1,727.44748910744,0.367980904129085,"LBMT","UCB",0.0535829299278314,NA,0.312184218645606,0.134070600021485,110.36317830205,0.88
"70",9,"Cumulative",40,2,727.44748910744,0.367980904129085,"LBMT","UCB",0.70371414280862,NA,0.491330525998613,0.201851430093204,131.434064715463,0.88
"71",9,"Cumulative",40,3,727.44748910744,0.367980904129085,"LBMT","UCB",0.824958010919278,NA,0.32879099080376,0.13622898264242,124.363424704405,0.88
"72",9,"Cumulative",40,4,727.44748910744,0.367980904129085,"LBMT","UCB",0.692179219384955,NA,0.404044865508787,0.168032687314163,120.491895120328,0.88
"73",10,"Cumulative",20,1,755.453627203426,0.343648681744238,"LBMT","UCB",1.23252512333561,NA,0.356081379529738,0.137837780351899,60.1189871035797,0.92
"74",10,"Cumulative",20,2,755.453627203426,0.343648681744238,"LBMT","UCB",1.2814990965332,NA,0.313455441975804,0.125855281816138,52.03301227509,0.92
"75",10,"Cumulative",20,3,755.453627203426,0.343648681744238,"LBMT","UCB",1.16387006907641,NA,0.29775106739747,0.123085119231217,48.436318601326,0.92
"76",10,"Cumulative",20,4,755.453627203426,0.343648681744238,"LBMT","UCB",0.00673811723995274,NA,0.230294734721264,0.0859874831102075,74.009438221585,0.92
"77",10,"Cumulative",40,1,755.453627203426,0.343648681744238,"LBMT","UCB",0.727580737639578,NA,0.18838996940084,0.0827552206682266,139.294280601719,0.92
"78",10,"Cumulative",40,2,755.453627203426,0.343648681744238,"LBMT","UCB",0.632170631611758,NA,0.221245858446943,0.0980210128712779,130.964462323605,0.92
"79",10,"Cumulative",40,3,755.453627203426,0.343648681744238,"LBMT","UCB",0.919793270659505,NA,0.175963747396299,0.0799101611665146,127.111468360397,0.92
"80",10,"Cumulative",40,4,755.453627203426,0.343648681744238,"LBMT","UCB",1.0155905158745,NA,0.196150637112995,0.0888091848316787,123.485659716124,0.92
"81",11,"Best",20,1,788.013594292154,0.315360013119849,"LBMT","UCB",0.0067381004304749,NA,0.176898298245232,0.0776012687353852,61.9266670765434,0.94
"82",11,"Best",20,2,788.013594292154,0.315360013119849,"LBMT","UCB",0.385659445660973,NA,0.298697208182723,0.1365667751217,50.2277984348303,0.94
"83",11,"Best",20,3,788.013594292154,0.315360013119849,"LBMT","UCB",0.00674983340459125,NA,0.183746411805183,0.0808003796245707,59.9760365856284,0.94
"84",11,"Best",20,4,788.013594292154,0.315360013119849,"LBMT","UCB",0.00678897731541863,NA,0.191554834451724,0.0760517664393633,82.2193930278635,0.94
"85",11,"Best",40,1,788.013594292154,0.315360013119849,"LBMT","UCB",0.00673814026579027,NA,0.215144465090835,0.10370023769295,111.250334105143,0.94
"86",11,"Best",40,2,788.013594292154,0.315360013119849,"LBMT","UCB",0.00673871612773215,NA,0.204290448829418,0.0893309150247961,152.022969866106,0.94
"87",11,"Best",40,3,788.013594292154,0.315360013119849,"LBMT","UCB",0.00673835733495724,NA,0.211371722179817,0.0942739195284042,143.579645828148,0.94
"88",11,"Best",40,4,788.013594292154,0.315360013119849,"LBMT","UCB",0.0067476142823163,NA,0.203016174481393,0.0939274001882033,126.810749367891,0.94
"89",12,"Best",20,1,755.478695318766,0.343626902127386,"LBMT","UCB",0.00674104736153404,NA,38.3082801251754,18.2313318601057,74.1634065716244,1.02
"90",12,"Best",20,2,755.478695318766,0.343626902127386,"LBMT","UCB",0.367107000599419,NA,0.223450546109745,0.0994951111565933,81.7919803415077,1.02
"91",12,"Best",20,3,755.478695318766,0.343626902127386,"LBMT","UCB",0.286024112051796,NA,0.202036631456718,0.102151179764146,59.4357561213599,1.02
"92",12,"Best",20,4,755.478695318766,0.343626902127386,"LBMT","UCB",0.0374089815043401,NA,0.156358428115457,0.0735630446812348,71.4912443586812,1.02
"93",12,"Best",40,1,755.478695318766,0.343626902127386,"LBMT","UCB",0.00674379182861263,NA,44.668492937666,17.6793337939058,139.556083400297,1.02
"94",12,"Best",40,2,755.478695318766,0.343626902127386,"LBMT","UCB",0.00692537550155682,NA,49.1609569713307,18.6883541766615,111.945952205434,1.02
"95",12,"Best",40,3,755.478695318766,0.343626902127386,"LBMT","UCB",0.00673969501185831,NA,44.6461594449401,19.003371467841,104.409450172634,1.02
"96",12,"Best",40,4,755.478695318766,0.343626902127386,"LBMT","UCB",0.00674195064131112,NA,44.6334012452589,18.6184077889765,112.684822147228,1.02
"97",13,"Best",20,1,819.105040067919,0.288347221485047,"LBMT","UCB",0.00675435159567224,NA,0.218415711885553,0.0966793420994284,76.5424071081375,1.04
"98",13,"Best",20,2,819.105040067919,0.288347221485047,"LBMT","UCB",0.00673967640862891,NA,37.2139958229535,17.8927493074173,62.0652549229358,1.04
"99",13,"Best",20,3,819.105040067919,0.288347221485047,"LBMT","UCB",0.0067390522468822,NA,0.208997583838803,0.0931297930161062,73.4432303128354,1.04
"100",13,"Best",20,4,819.105040067919,0.288347221485047,"LBMT","UCB",0.00675834847420342,NA,0.205636341064264,0.0973370383962684,61.9854100631375,1.04
"101",13,"Best",40,1,819.105040067919,0.288347221485047,"LBMT","UCB",0.00678222227710447,NA,0.308496728063289,0.149491075564046,118.787884195006,1.04
"102",13,"Best",40,2,819.105040067919,0.288347221485047,"LBMT","UCB",0.00673831945711068,NA,8.02505400201916,3.6954852219176,141.621150171043,1.04
"103",13,"Best",40,3,819.105040067919,0.288347221485047,"LBMT","UCB",0.0430424701819774,NA,0.278741422571214,0.12558171304314,146.231444019751,1.04
"104",13,"Best",40,4,819.105040067919,0.288347221485047,"LBMT","UCB",0.00674628680634608,NA,0.296314163451675,0.135759780093828,138.428259275073,1.04
"105",14,"Best",20,1,945.042377288339,0.178930661254561,"LBMT","UCB",0.00673801711424659,NA,20.0713604999574,12.219523590027,71.5235832281882,1.26
"106",14,"Best",20,2,945.042377288339,0.178930661254561,"LBMT","UCB",0.441894551020298,NA,0.407277232609618,0.22435112234879,81.9955221248918,1.26
"107",14,"Best",20,3,945.042377288339,0.178930661254561,"LBMT","UCB",0.350062567504542,NA,0.387839552639003,0.219604393493551,78.4054943236656,1.26
"108",14,"Best",20,4,945.042377288339,0.178930661254561,"LBMT","UCB",0.00673847647323947,NA,0.180521723150666,0.0969427050433369,87.7170049279944,1.26
"109",14,"Best",40,1,945.042377288339,0.178930661254561,"LBMT","UCB",0.00674805820042915,NA,0.274661512575377,0.155617423894163,150.535389783626,1.26
"110",14,"Best",40,2,945.042377288339,0.178930661254561,"LBMT","UCB",0.00673797299548805,NA,0.142167566310032,0.083077775688992,152.395935998673,1.26
