"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"23",23,"Cumulative",923.237855560934,"LBMT","UCB",0.197874810920897,0.85,0.00684319427574294,NA,44.5625404592736,24.5387772191887,"LBMT-UCB",10
"24",24,"Cumulative",758.684522200419,"LBMT","UCB",0.340841623687912,0.83,0.00673945423722237,NA,0.625659369657041,0.259785758733509,"LBMT-UCB",10
"25",25,"Best",1004.39057273457,"LBMT","UCB",0.127367911517777,0.76,0.00674815882830047,NA,44.7083799391891,27.5555924401789,"LBMT-UCB",10
"26",26,"Best",951.225198361201,"LBMT","UCB",0.173558918217552,1.14,0.0067496808014864,NA,4.39345778060866,2.59065122528983,"LBMT-UCB",10
"27",27,"Best",948.828537562902,"LBMT","UCB",0.17564117901786,1.06,0.23644439536894,NA,0.659503383241725,0.349088129804667,"LBMT-UCB",10
"28",28,"Cumulative",880.598617826312,"LBMT","UCB",0.234920526089598,0.82,0.00675502739880618,NA,37.4757335544666,19.1538747738954,"LBMT-UCB",10
"29",29,"Cumulative",796.4016966703,"LBMT","UCB",0.308072283131786,0.82,0.00673947420605261,NA,0.212094816929315,0.0939421116714563,"LBMT-UCB",10
"30",30,"Cumulative",806.748287707504,"LBMT","UCB",0.299082983958174,1.08,0.892592093772073,NA,0.125140217351042,0.0720956677807517,"LBMT-UCB",10
"31",31,"Best",917.11060722801,"LBMT","UCB",0.203198271389917,1.47,0.197096616785001,NA,0.372932184590421,0.197562228404341,"LBMT-UCB",10
"32",32,"Best",1060.85531212143,"LBMT","UCB",0.0783103588143451,1.07,0.488872896655928,NA,0.327098813529701,0.228739253460004,"LBMT-UCB",10
"33",33,"Best",893.915968576555,"LBMT","UCB",0.223350178942079,0.96,0.62313575842869,NA,0.315504922441768,0.154975620277029,"LBMT-UCB",10
"34",34,"Cumulative",815.296595749561,"LBMT","UCB",0.29165606448857,0.91,0.00674055439052478,NA,0.234756308042035,0.098224707614217,"LBMT-UCB",10
"35",35,"Cumulative",465.335263846728,"LBMT","UCB",0.595708587716597,1.31,1.13502595792875,NA,0.0693863988765835,0.0451151306567451,"LBMT-UCB",10
"36",36,"Cumulative",812.229483615504,"LBMT","UCB",0.294320825130304,0.98,0.229532119637078,NA,0.124766430972121,0.0628858069799341,"LBMT-UCB",10
"37",37,"Cumulative",833.526731421288,"LBMT","UCB",0.275817403915302,0.87,0.00674916907352876,NA,0.278958333905309,0.129515614274027,"LBMT-UCB",10
"38",38,"Best",840.057116958385,"LBMT","UCB",0.270143690795598,1.12,0.00674265275390723,NA,16.5763219209692,9.34655510119641,"LBMT-UCB",10
"39",39,"Best",789.114226914199,"LBMT","UCB",0.314403764256409,1.24,0.00674912439614367,NA,0.241037676233616,0.105126383239879,"LBMT-UCB",10
"40",40,"Best",1015.2310303735,"LBMT","UCB",0.117949532406745,1.34,0.0067439302747792,NA,43.5683963272829,27.1796469108882,"LBMT-UCB",10
"41",41,"Best",888.969398156953,"LBMT","UCB",0.227647845799235,1.16,0.0067398483110422,NA,0.42662653569055,0.213090119890158,"LBMT-UCB",10
"42",42,"Cumulative",638.968802487903,"LBMT","UCB",0.444852733860381,0.81,0.241235047915395,NA,33.5792893346347,12.5499945666837,"LBMT-UCB",10
"43",43,"Cumulative",926.251188634359,"LBMT","UCB",0.195256774467214,0.87,0.0200644192941037,NA,0.23540503698145,0.1290463934611,"LBMT-UCB",10
"44",44,"Cumulative",845.057867985191,"LBMT","UCB",0.26579895087971,0.82,0.169155409351746,NA,0.232842643493371,0.10981615689192,"LBMT-UCB",10
"45",45,"Best",865.978510699753,"LBMT","UCB",0.247622730751823,0.96,2.49407621877942,NA,1.22499221065727,0.616478422645548,"LBMT-UCB",10
"46",46,"Best",808.701084165573,"LBMT","UCB",0.297386360256355,1.08,0.0791833860442626,NA,0.2355475720228,0.117356105432267,"LBMT-UCB",10
"47",47,"Best",569.172853002758,"LBMT","UCB",0.505492674955206,0.91,0.375079092896846,NA,0.0834335902166891,0.0568294574692247,"LBMT-UCB",10
