"","participant","reward","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"1",1,"Cumulative",20,1,591.199279414982,0.486355730619331,"LBMT","UCB",4.48945524496794,NA,0.01857732645569,0.017188876464433,76.8640307356582,1.2
"2",1,"Cumulative",20,2,591.199279414982,0.486355730619331,"LBMT","UCB",3.33682470150411,NA,0.024804508773407,0.0230966273098196,9.09658829020123,1.2
"3",1,"Cumulative",20,3,591.199279414982,0.486355730619331,"LBMT","UCB",0.00673794706618019,NA,0.0369027395712889,0.0331655840590414,60.909783108174,1.2
"4",1,"Cumulative",20,4,591.199279414982,0.486355730619331,"LBMT","UCB",3.29026583836378,NA,0.027830985701818,0.0243064834096319,20.3955918839226,1.2
"5",1,"Cumulative",40,1,591.199279414982,0.486355730619331,"LBMT","UCB",9.6707202691414,NA,0.00736285976395628,0.00674149099376492,177.573256487249,1.2
"6",1,"Cumulative",40,2,591.199279414982,0.486355730619331,"LBMT","UCB",8.58753523994197,NA,0.0117887628093945,0.0108482098331202,17.4082139962057,1.2
"7",1,"Cumulative",40,3,591.199279414982,0.486355730619331,"LBMT","UCB",4.38745811300643,NA,0.0207551454727524,0.0217155228452806,182.67023911146,1.2
"8",1,"Cumulative",40,4,591.199279414982,0.486355730619331,"LBMT","UCB",7.30503473348192,NA,0.0122593577605724,0.011881740911568,46.2815758021109,1.2
"9",2,"Cumulative",20,1,763.817701813261,0.336381827501341,"LBMT","UCB",1.15997780590101,NA,0.507392470929823,0.205842413184618,50.7705763930433,0.91
"10",2,"Cumulative",20,2,763.817701813261,0.336381827501341,"LBMT","UCB",1.16199786687237,NA,0.356079687580537,0.136768431084674,62.2746783245904,0.91
"11",2,"Cumulative",20,3,763.817701813261,0.336381827501341,"LBMT","UCB",1.20906642416611,NA,0.474716125723334,0.186813495671634,57.3525588847935,0.91
"12",2,"Cumulative",20,4,763.817701813261,0.336381827501341,"LBMT","UCB",0.00673907003119695,NA,0.49290010500538,0.195066182796929,63.7651235977217,0.91
"13",2,"Cumulative",40,1,763.817701813261,0.336381827501341,"LBMT","UCB",0.875161938072613,NA,0.840747384846781,0.36819766153967,140.26474141663,0.91
"14",2,"Cumulative",40,2,763.817701813261,0.336381827501341,"LBMT","UCB",0.37857640125275,NA,0.416970736955708,0.18830354421632,130.916857835114,0.91
"15",2,"Cumulative",40,3,763.817701813261,0.336381827501341,"LBMT","UCB",1.01733218743371,NA,0.394082887055568,0.172352560700286,138.460648624849,0.91
"16",2,"Cumulative",40,4,763.817701813261,0.336381827501341,"LBMT","UCB",0.83288585837679,NA,0.420459561929549,0.193619469665926,120.012516736519,0.91
"17",3,"Cumulative",20,1,768.812669969439,0.332042111844553,"LBMT","UCB",0.591449299765887,NA,44.8792270073191,17.7126742382583,47.997338253755,0.9
"18",3,"Cumulative",20,2,768.812669969439,0.332042111844553,"LBMT","UCB",0.607164646768456,NA,44.7226909093708,17.3364110987436,53.650224156099,0.9
"19",3,"Cumulative",20,3,768.812669969439,0.332042111844553,"LBMT","UCB",0.00674617841930021,NA,33.3392839319078,12.6364793593581,62.9180732938552,0.9
"20",3,"Cumulative",20,4,768.812669969439,0.332042111844553,"LBMT","UCB",0.50920736597112,NA,45.0326962626626,17.3855441522003,53.4837980480743,0.9
"21",3,"Cumulative",40,1,768.812669969439,0.332042111844553,"LBMT","UCB",0.408587228820383,NA,1.2167649361026,0.593322123287862,123.996659962101,0.9
"22",3,"Cumulative",40,2,768.812669969439,0.332042111844553,"LBMT","UCB",0.00679968834975995,NA,0.466947623668161,0.218782181943079,137.795981829135,0.9
"23",3,"Cumulative",40,3,768.812669969439,0.332042111844553,"LBMT","UCB",0.390396394487014,NA,44.6584127015991,20.2629873238991,151.098046993206,0.9
"24",3,"Cumulative",40,4,768.812669969439,0.332042111844553,"LBMT","UCB",0.381130564995636,NA,1.19009688441756,0.557192083553126,137.872547433213,0.9
"25",4,"Cumulative",20,1,659.351322930688,0.427144043769739,"LBMT","UCB",8.81177267663581,NA,0.0127427818841375,0.00892463009916661,43.2301700962594,1.2
"26",4,"Cumulative",20,2,659.351322930688,0.427144043769739,"LBMT","UCB",6.15902108353298,NA,0.0254270471016346,0.0169909193737829,86.2651878204887,1.2
"27",4,"Cumulative",20,3,659.351322930688,0.427144043769739,"LBMT","UCB",11.2742005578936,NA,0.0112016071044382,0.00673857025905183,90.3219580454489,1.2
"28",4,"Cumulative",20,4,659.351322930688,0.427144043769739,"LBMT","UCB",11.2803300754315,NA,0.011800567496118,0.00833846300797224,8.29848275795627,1.2
"29",4,"Cumulative",40,1,659.351322930688,0.427144043769739,"LBMT","UCB",7.61552509236065,NA,0.0191005889393444,0.0128532490586128,185.577708225183,1.2
"30",4,"Cumulative",40,2,659.351322930688,0.427144043769739,"LBMT","UCB",6.44559465127557,NA,0.0247216195166415,0.0186357638994241,53.4939911865529,1.2
"31",4,"Cumulative",40,3,659.351322930688,0.427144043769739,"LBMT","UCB",11.6510085095876,NA,0.00889508793028582,0.00674026320568889,45.8039185798499,1.2
"32",4,"Cumulative",40,4,659.351322930688,0.427144043769739,"LBMT","UCB",9.75851642140274,NA,0.0100809886936188,0.00929664694110773,146.359906218949,1.2
"33",5,"Best",20,1,847.61790653138,0.263574744635845,"LBMT","UCB",0.21708506934625,NA,0.159063005844679,0.0741629663274431,73.0060631663405,1.26
"34",5,"Best",20,2,847.61790653138,0.263574744635845,"LBMT","UCB",0.0940975956870142,NA,0.138785342404227,0.0674861021262895,65.1252463512753,1.26
