"","participant","reward","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"16",2,"Cumulative",40,4,760.72454531714,0.339069215940148,"LocalSearch","",NA,NA,NA,0.210359988941649,132.542045806504,0.91
"17",3,"Cumulative",20,1,915.450789591657,0.204640349969535,"LocalSearch","",NA,NA,NA,0.216527614574033,82.237455857096,0.9
"18",3,"Cumulative",20,2,915.450789591657,0.204640349969535,"LocalSearch","",NA,NA,NA,0.233708009378882,69.4926375287176,0.9
"19",3,"Cumulative",20,3,915.450789591657,0.204640349969535,"LocalSearch","",NA,NA,NA,0.226230357202005,73.1718151498938,0.9
"20",3,"Cumulative",20,4,915.450789591657,0.204640349969535,"LocalSearch","",NA,NA,NA,0.24336927798149,61.949408968651,0.9
"21",3,"Cumulative",40,1,915.450789591657,0.204640349969535,"LocalSearch","",NA,NA,NA,0.231230274603272,193.501669365398,0.9
"22",3,"Cumulative",40,2,915.450789591657,0.204640349969535,"LocalSearch","",NA,NA,NA,0.253781530816669,160.553116333043,0.9
"23",3,"Cumulative",40,3,915.450789591657,0.204640349969535,"LocalSearch","",NA,NA,NA,0.29043787146138,128.023947134692,0.9
"24",3,"Cumulative",40,4,915.450789591657,0.204640349969535,"LocalSearch","",NA,NA,NA,0.267398998487131,146.520739254166,0.9
"25",4,"Cumulative",20,1,720.43069428228,0.37407721814173,"LocalSearch","",NA,NA,NA,0.213066637813701,56.6728126261985,1.2
"26",4,"Cumulative",20,2,720.43069428228,0.37407721814173,"LocalSearch","",NA,NA,NA,0.178955666184214,91.3944914490352,1.2
"27",4,"Cumulative",20,3,720.43069428228,0.37407721814173,"LocalSearch","",NA,NA,NA,0.201824071114975,66.557829731674,1.2
"28",4,"Cumulative",20,4,720.43069428228,0.37407721814173,"LocalSearch","",NA,NA,NA,0.221757208402812,50.1811796315998,1.2
"29",4,"Cumulative",40,1,720.43069428228,0.37407721814173,"LocalSearch","",NA,NA,NA,0.171207767109095,129.381345177168,1.2
"30",4,"Cumulative",40,2,720.43069428228,0.37407721814173,"LocalSearch","",NA,NA,NA,0.182916723291168,105.878401990891,1.2
"31",4,"Cumulative",40,3,720.43069428228,0.37407721814173,"LocalSearch","",NA,NA,NA,0.182234220308448,108.141538372367,1.2
"32",4,"Cumulative",40,4,720.43069428228,0.37407721814173,"LocalSearch","",NA,NA,NA,0.178737964315125,112.223095303347,1.2
"33",5,"Best",20,1,894.742665533217,0.222631930173704,"LocalSearch","",NA,NA,NA,0.26166751868354,59.5412753640334,1.26
"34",5,"Best",20,2,894.742665533217,0.222631930173704,"LocalSearch","",NA,NA,NA,0.242509965612612,69.2238033055037,1.26
"35",5,"Best",20,3,894.742665533217,0.222631930173704,"LocalSearch","",NA,NA,NA,0.236250697228999,72.5240673254483,1.26
"36",5,"Best",20,4,894.742665533217,0.222631930173704,"LocalSearch","",NA,NA,NA,0.210810175024546,94.9884859149652,1.26
"37",5,"Best",40,1,894.742665533217,0.222631930173704,"LocalSearch","",NA,NA,NA,0.261424132258508,122.895731160558,1.26
"38",5,"Best",40,2,894.742665533217,0.222631930173704,"LocalSearch","",NA,NA,NA,0.22289377567085,168.702371808028,1.26
"39",5,"Best",40,3,894.742665533217,0.222631930173704,"LocalSearch","",NA,NA,NA,0.219579002002556,173.812258261384,1.26
"40",5,"Best",40,4,894.742665533217,0.222631930173704,"LocalSearch","",NA,NA,NA,0.249920181407771,133.054672393296,1.26
"41",6,"Best",20,1,1015.44457655654,0.117763999749676,"LocalSearch","",NA,NA,NA,0.330468763400153,81.5877842212291,1.06
"42",6,"Best",20,2,1015.44457655654,0.117763999749676,"LocalSearch","",NA,NA,NA,0.296553965867406,91.2600639233863,1.06
"43",6,"Best",20,3,1015.44457655654,0.117763999749676,"LocalSearch","",NA,NA,NA,0.321439198775338,83.4038023920921,1.06
"44",6,"Best",20,4,1015.44457655654,0.117763999749676,"LocalSearch","",NA,NA,NA,0.31688887665783,85.0399202046021,1.06
"45",6,"Best",40,1,1015.44457655654,0.117763999749676,"LocalSearch","",NA,NA,NA,0.313998028609803,163.967804773062,1.06
"46",6,"Best",40,2,1015.44457655654,0.117763999749676,"LocalSearch","",NA,NA,NA,0.299013842743704,172.828980510547,1.06
"47",6,"Best",40,3,1015.44457655654,0.117763999749676,"LocalSearch","",NA,NA,NA,0.302715066161234,171.065690006306,1.06
"48",6,"Best",40,4,1015.44457655654,0.117763999749676,"LocalSearch","",NA,NA,NA,0.310168471325952,166.290530525317,1.06
"49",7,"Cumulative",20,1,647.535115877894,0.43741017102972,"LocalSearch","",NA,NA,NA,0.196172537868221,75.0121351059357,1.05
"50",7,"Cumulative",20,2,647.535115877894,0.43741017102972,"LocalSearch","",NA,NA,NA,0.182628883041264,89.6175527956562,1.05
"51",7,"Cumulative",20,3,647.535115877894,0.43741017102972,"LocalSearch","",NA,NA,NA,0.234490032499168,43.8496737329923,1.05
"52",7,"Cumulative",20,4,647.535115877894,0.43741017102972,"LocalSearch","",NA,NA,NA,0.213092991435595,58.2422820214443,1.05
"53",7,"Cumulative",40,1,647.535115877894,0.43741017102972,"LocalSearch","",NA,NA,NA,0.130106053383102,138.086738201984,1.05
"54",7,"Cumulative",40,2,647.535115877894,0.43741017102972,"LocalSearch","",NA,NA,NA,0.159854585523654,77.6585763712027,1.05
"55",7,"Cumulative",40,3,647.535115877894,0.43741017102972,"LocalSearch","",NA,NA,NA,0.160631364466633,76.7146706671577,1.05
"56",7,"Cumulative",40,4,647.535115877894,0.43741017102972,"LocalSearch","",NA,NA,NA,0.157382235559149,88.3534869815207,1.05
"57",8,"Cumulative",20,1,578.040573910002,0.497788244004309,"LocalSearch","",NA,NA,NA,0.167029484597211,72.9773817617635,1.21
"58",8,"Cumulative",20,2,578.040573910002,0.497788244004309,"LocalSearch","",NA,NA,NA,0.181006276502858,56.8864508023171,1.21
"59",8,"Cumulative",20,3,578.040573910002,0.497788244004309,"LocalSearch","",NA,NA,NA,0.19435739423306,43.8265888632779,1.21
"60",8,"Cumulative",20,4,578.040573910002,0.497788244004309,"LocalSearch","",NA,NA,NA,0.183134993080224,53.1753649612476,1.21
"61",8,"Cumulative",40,1,578.040573910002,0.497788244004309,"LocalSearch","",NA,NA,NA,0.142668335774317,88.0537232028415,1.21
"62",8,"Cumulative",40,2,578.040573910002,0.497788244004309,"LocalSearch","",NA,NA,NA,0.148828712363605,75.2433513784452,1.21
"63",8,"Cumulative",40,3,578.040573910002,0.497788244004309,"LocalSearch","",NA,NA,NA,0.132466562170579,106.124131620488,1.21
"64",8,"Cumulative",40,4,578.040573910002,0.497788244004309,"LocalSearch","",NA,NA,NA,0.144800354286875,81.7535813196207,1.21
"65",9,"Cumulative",20,1,857.20164335254,0.255248226541451,"LocalSearch","",NA,NA,NA,0.213132985670239,82.9851941218329,0.88
"66",9,"Cumulative",20,2,857.20164335254,0.255248226541451,"LocalSearch","",NA,NA,NA,0.221734574875478,74.4088488088515,0.88
"67",9,"Cumulative",20,3,857.20164335254,0.255248226541451,"LocalSearch","",NA,NA,NA,0.240633221876855,61.931004566145,0.88
"68",9,"Cumulative",20,4,857.20164335254,0.255248226541451,"LocalSearch","",NA,NA,NA,0.233926873220295,65.4960922251536,0.88
"69",9,"Cumulative",40,1,857.20164335254,0.255248226541451,"LocalSearch","",NA,NA,NA,0.231005567639496,139.111448660613,0.88
"70",9,"Cumulative",40,2,857.20164335254,0.255248226541451,"LocalSearch","",NA,NA,NA,0.243088784304719,123.203257075289,0.88
"71",9,"Cumulative",40,3,857.20164335254,0.255248226541451,"LocalSearch","",NA,NA,NA,0.218629091144071,157.332264844645,0.88
"72",9,"Cumulative",40,4,857.20164335254,0.255248226541451,"LocalSearch","",NA,NA,NA,0.220622978832312,152.73353305001,0.88
"73",10,"Cumulative",20,1,817.66490500652,0.289598436003025,"LocalSearch","",NA,NA,NA,0.255331838290131,62.2598933598284,0.92
"74",10,"Cumulative",20,2,817.66490500652,0.289598436003025,"LocalSearch","",NA,NA,NA,0.225854272554098,81.1031538739331,0.92
"75",10,"Cumulative",20,3,817.66490500652,0.289598436003025,"LocalSearch","",NA,NA,NA,0.233686597000658,74.5463511301298,0.92
"76",10,"Cumulative",20,4,817.66490500652,0.289598436003025,"LocalSearch","",NA,NA,NA,0.234098240304009,74.6831194964495,0.92
"77",10,"Cumulative",40,1,817.66490500652,0.289598436003025,"LocalSearch","",NA,NA,NA,0.211231452579088,129.593577850386,0.92
"78",10,"Cumulative",40,2,817.66490500652,0.289598436003025,"LocalSearch","",NA,NA,NA,0.212490788651487,127.040230402627,0.92
"79",10,"Cumulative",40,3,817.66490500652,0.289598436003025,"LocalSearch","",NA,NA,NA,0.216625425753618,117.074396101579,0.92
"80",10,"Cumulative",40,4,817.66490500652,0.289598436003025,"LocalSearch","",NA,NA,NA,0.199036374318118,151.364182791587,0.92
"81",11,"Best",20,1,873.646524234319,0.240960626539752,"LocalSearch","",NA,NA,NA,0.212019797301068,78.2157320317067,0.94
"82",11,"Best",20,2,873.646524234319,0.240960626539752,"LocalSearch","",NA,NA,NA,0.241556618208441,54.8510702479442,0.94
"83",11,"Best",20,3,873.646524234319,0.240960626539752,"LocalSearch","",NA,NA,NA,0.214288418687554,74.9067805212232,0.94
"84",11,"Best",20,4,873.646524234319,0.240960626539752,"LocalSearch","",NA,NA,NA,0.218092542865372,71.1920226645201,0.94
"85",11,"Best",40,1,873.646524234319,0.240960626539752,"LocalSearch","",NA,NA,NA,0.2311442594977,158.551771666488,0.94
"86",11,"Best",40,2,873.646524234319,0.240960626539752,"LocalSearch","",NA,NA,NA,0.231058326469303,158.992660903474,0.94
"87",11,"Best",40,3,873.646524234319,0.240960626539752,"LocalSearch","",NA,NA,NA,0.266537171945579,117.76157803618,0.94
"88",11,"Best",40,4,873.646524234319,0.240960626539752,"LocalSearch","",NA,NA,NA,0.231645248549845,159.174908162783,0.94
"89",12,"Best",20,1,835.094735262538,0.27445509476597,"LocalSearch","",NA,NA,NA,0.218501579726417,79.0053504699973,1.02
"90",12,"Best",20,2,835.094735262538,0.27445509476597,"LocalSearch","",NA,NA,NA,0.240142538186528,63.5734499694309,1.02
"91",12,"Best",20,3,835.094735262538,0.27445509476597,"LocalSearch","",NA,NA,NA,0.22147178235444,77.5910645959818,1.02
"92",12,"Best",20,4,835.094735262538,0.27445509476597,"LocalSearch","",NA,NA,NA,0.234687021769095,67.7579494761432,1.02
"93",12,"Best",40,1,835.094735262538,0.27445509476597,"LocalSearch","",NA,NA,NA,0.217997414955094,129.850048983594,1.02
"94",12,"Best",40,2,835.094735262538,0.27445509476597,"LocalSearch","",NA,NA,NA,0.216101054054588,132.309157030129,1.02
"95",12,"Best",40,3,835.094735262538,0.27445509476597,"LocalSearch","",NA,NA,NA,0.19512138738876,171.033277140968,1.02
"96",12,"Best",40,4,835.094735262538,0.27445509476597,"LocalSearch","",NA,NA,NA,0.227851533082166,113.974437596294,1.02
"97",13,"Best",20,1,912.466843356801,0.207232854624125,"LocalSearch","",NA,NA,NA,0.275925804715783,72.4784807613422,1.04
"98",13,"Best",20,2,912.466843356801,0.207232854624125,"LocalSearch","",NA,NA,NA,0.243151161557276,90.288311785529,1.04
"99",13,"Best",20,3,912.466843356801,0.207232854624125,"LocalSearch","",NA,NA,NA,0.268732167405091,75.2499002497296,1.04
"100",13,"Best",20,4,912.466843356801,0.207232854624125,"LocalSearch","",NA,NA,NA,0.267665146273452,75.5107211880275,1.04
"101",13,"Best",40,1,912.466843356801,0.207232854624125,"LocalSearch","",NA,NA,NA,0.241600435635399,154.559834532053,1.04
"102",13,"Best",40,2,912.466843356801,0.207232854624125,"LocalSearch","",NA,NA,NA,0.236850690558372,160.496716523102,1.04
"103",13,"Best",40,3,912.466843356801,0.207232854624125,"LocalSearch","",NA,NA,NA,0.249571581246194,144.072428485965,1.04
"104",13,"Best",40,4,912.466843356801,0.207232854624125,"LocalSearch","",NA,NA,NA,0.25348309632961,139.810449831053,1.04
"105",14,"Best",20,1,1025.54343196631,0.10898993762013,"LocalSearch","",NA,NA,NA,0.279947136866008,84.9073350745565,1.26
"106",14,"Best",20,2,1025.54343196631,0.10898993762013,"LocalSearch","",NA,NA,NA,0.320329985679948,71.8709791471591,1.26
"107",14,"Best",20,3,1025.54343196631,0.10898993762013,"LocalSearch","",NA,NA,NA,0.262113398196453,94.5853710928618,1.26
"108",14,"Best",20,4,1025.54343196631,0.10898993762013,"LocalSearch","",NA,NA,NA,0.294852621750378,79.0299580827255,1.26
"109",14,"Best",40,1,1025.54343196631,0.10898993762013,"LocalSearch","",NA,NA,NA,0.362736362979996,159.774298748127,1.26
"110",14,"Best",40,2,1025.54343196631,0.10898993762013,"LocalSearch","",NA,NA,NA,0.309423333996405,183.948581090508,1.26
"111",14,"Best",40,3,1025.54343196631,0.10898993762013,"LocalSearch","",NA,NA,NA,0.301417102239477,189.274723337769,1.26
"112",14,"Best",40,4,1025.54343196631,0.10898993762013,"LocalSearch","",NA,NA,NA,0.354546715100686,162.1521853926,1.26
