"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed","mainTextBest"
"284",41,"Best","Rough",387.115714792194,"BMT","GV",0.0515210004194385,1.15,0.159303948865305,NA,NA,0.018513585244854,"BMT-GV",0,1
"285",42,"Best","Smooth",396.649784016017,"BMT","GV",0.0281614102664065,1.21,0.932930526868671,NA,NA,0.023080584940514,"BMT-GV",0,1
"286",43,"Best","Smooth",419.786192644644,"BMT","GV",-0.0285255101334729,0.96,25.01258264229,NA,NA,1.66639929214765,"BMT-GV",0,1
"287",44,"Cumulative","Rough",408.151038030376,"BMT","GV",-1.80138298664367e-05,1.28,54.5981500189157,NA,NA,54.598149997822,"BMT-GV",0,1
"288",45,"Cumulative","Rough",408.150527415697,"BMT","GV",-1.6762763890954e-05,1.27,54.5981500156971,NA,NA,54.5981499961035,"BMT-GV",0,1
"289",46,"Cumulative","Smooth",406.02623450306,"BMT","GV",0.00518800454367307,1.11,14.7555599086258,NA,NA,0.00968257406887695,"BMT-GV",0,1
"290",47,"Best","Rough",387.115714792194,"BMT","GV",0.0515210004194385,1.28,0.0915690446361579,NA,NA,0.0201560120378771,"BMT-GV",0,1
"291",48,"Best","Rough",405.949512018366,"BMT","GV",0.00537598364849157,1.21,4.28183583843611,NA,NA,0.734180738816447,"BMT-GV",0,1
"292",49,"Best","Smooth",387.115714792194,"BMT","GV",0.0515210004194385,1.17,0.0895533013380755,NA,NA,0.0181803090148117,"BMT-GV",0,1
"293",50,"Best","Smooth",417.139904078565,"BMT","GV",-0.0220417921239802,1.21,0.00673794699917077,NA,NA,5.87882537606432,"BMT-GV",0,1
"294",51,"Cumulative","Rough",408.903037210386,"BMT","GV",-0.00186050020457817,1.02,25.2998872349956,NA,NA,0.00673855399399041,"BMT-GV",0,1
"295",52,"Cumulative","Rough",387.115714792194,"BMT","GV",0.0515210004194385,1.03,0.215194204799308,NA,NA,0.0139788023506187,"BMT-GV",0,1
"296",53,"Cumulative","Smooth",408.149468531303,"BMT","GV",-1.41683726735398e-05,1.29,54.5981500156742,NA,NA,54.5981499869149,"BMT-GV",0,1
"297",54,"Cumulative","Smooth",387.115714792194,"BMT","GV",0.0515210004194385,1.11,0.170661197156012,NA,NA,0.0230637413876976,"BMT-GV",0,1
"298",55,"Best","Rough",387.115714792194,"BMT","GV",0.0515210004194385,0.98,0.122218479891102,NA,NA,0.0235573874961001,"BMT-GV",0,1
"299",56,"Best","Rough",394.956467426808,"BMT","GV",0.0323102349282223,1.23,3.1822939196164,NA,NA,0.0156121369985341,"BMT-GV",0,1
"300",57,"Best","Smooth",416.566134294107,"BMT","GV",-0.0206359887159615,1.37,0.012408210556841,NA,NA,1.6486791846773,"BMT-GV",0,1
"301",58,"Best","Smooth",396.869683134933,"BMT","GV",0.02762263157996,1.08,10.6511385241276,NA,NA,0.00789657659676946,"BMT-GV",0,1
"302",59,"Cumulative","Rough",408.146467174989,"BMT","GV",-6.81469694918668e-06,1.21,54.598150013071,NA,NA,54.5981499837427,"BMT-GV",0,1
"303",60,"Cumulative","Smooth",396.678418517465,"BMT","GV",0.0280912523723978,1.11,0.408364485732807,NA,NA,0.0194448211066398,"BMT-GV",0,1
"304",61,"Cumulative","Smooth",408.147762673096,"BMT","GV",-9.98881957303688e-06,1.34,54.5981500170801,NA,NA,54.5981500166015,"BMT-GV",0,1
