"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"29",29,"Best","Smooth",308.258114538325,"BMT","UCB",0.244731389303453,1.2,7.01717883304266,NA,0.119008304631486,0.00718105118620143,"BMT-UCB",0.493827160493827
"30",30,"Cumulative","Rough",207.151212551027,"BMT","UCB",0.492455182430997,1.25,0.471319734981916,NA,0.0536044776094929,0.0495033553249013,"BMT-UCB",0.493827160493827
"31",31,"Cumulative","Rough",195.192215105523,"BMT","UCB",0.521756131732904,1.11,3.18470607106521,NA,0.017075586360086,0.0213192888754241,"BMT-UCB",0.493827160493827
"32",32,"Cumulative","Smooth",347.283984807667,"BMT","UCB",0.149113420369548,1.17,1.22077551231345,NA,0.0845214443172357,0.091672222781572,"BMT-UCB",0.493827160493827
"33",33,"Cumulative","Smooth",205.995235198027,"BMT","UCB",0.495287462809745,1.18,7.11903885891294,NA,0.0295288778620069,0.00673798390748631,"BMT-UCB",0.493827160493827
"34",34,"Best","Rough",153.284788049058,"BMT","UCB",0.624434253469318,0.82,5.15312412977584,NA,0.0719915009040037,0.00673877927082811,"BMT-UCB",0.493827160493827
"35",35,"Best","Rough",371.109843218178,"BMT","UCB",0.090737266971901,0.92,0.853713765734743,NA,0.0460149157433187,0.0978493493314592,"BMT-UCB",0.493827160493827
"36",36,"Best","Smooth",294.306528897168,"BMT","UCB",0.278914413876843,1.36,1.24452560892188,NA,0.0345041594350899,0.0823088658643721,"BMT-UCB",0.493827160493827
"37",37,"Best","Smooth",345.700332755042,"BMT","UCB",0.152993554027681,1.17,8.02245520709895,NA,0.0415891349129095,0.00673856066317967,"BMT-UCB",0.493827160493827
"38",38,"Cumulative","Rough",186.264788148713,"BMT","UCB",0.543629377032102,0.99,4.12024566023459,NA,0.0761308497491244,0.00673808004447276,"BMT-UCB",0.493827160493827
"39",39,"Cumulative","Smooth",181.986724902562,"BMT","UCB",0.554111134792904,1.04,3.65085117564915,NA,0.0105541384140529,0.0181255595066802,"BMT-UCB",0.493827160493827
"40",40,"Best","Rough",170.697215560822,"BMT","UCB",0.581771759554566,1.19,6.7797415711309,NA,0.056992802730708,0.00673805125481013,"BMT-UCB",0.493827160493827
"41",41,"Best","Rough",335.586375138502,"BMT","UCB",0.177773938898095,1.15,5.79212594620698,NA,0.182969904365744,0.00673802839849078,"BMT-UCB",0.493827160493827
"42",42,"Best","Smooth",239.195504666815,"BMT","UCB",0.413942900529537,1.21,3.11727324011032,NA,0.0998454886161928,0.0185429196727639,"BMT-UCB",0.493827160493827
"43",43,"Best","Smooth",378.813899566535,"BMT","UCB",0.0718614234481494,0.96,5.58334687773371,NA,0.0176651866582414,0.045510212808249,"BMT-UCB",0.493827160493827
"44",44,"Cumulative","Rough",277.98930714737,"BMT","UCB",0.318893524953464,1.28,2.37998326865478,NA,0.0279822617131306,0.0422613094695998,"BMT-UCB",0.493827160493827
"45",45,"Cumulative","Rough",259.592591718336,"BMT","UCB",0.36396763995049,1.27,1.14513495423387,NA,0.0333753574380964,0.0260102420668834,"BMT-UCB",0.493827160493827
"46",46,"Cumulative","Smooth",196.199056957945,"BMT","UCB",0.51928925085871,1.11,4.48883210515276,NA,0.087530458397189,0.00673967026121405,"BMT-UCB",0.493827160493827
"47",47,"Best","Rough",185.835576853534,"BMT","UCB",0.544680995151192,1.28,5.04535666344817,NA,0.0589562406693963,0.00673836129787179,"BMT-UCB",0.493827160493827
