"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"23",23,"Cumulative","Rough",246.864628085669,"BMT","UCB",0.395152646788793,0.95,3.18079904407156,NA,0.0135169969556445,0.0163694030997198,"BMT-UCB"
"24",24,"Cumulative","Smooth",338.633875725168,"BMT","UCB",0.170307204283063,1.17,3.29940275693223,NA,0.683765982665332,0.0125163606482845,"BMT-UCB"
"25",25,"Cumulative","Smooth",220.940093899645,"BMT","UCB",0.458670802497227,1.02,0.906718997714121,NA,0.0447879030052029,0.00673795547673873,"BMT-UCB"
"26",26,"Best","Rough",246.735150340635,"BMT","UCB",0.395469882481857,1.21,2.56753153315183,NA,0.0214132474963722,0.00992247314320675,"BMT-UCB"
"27",27,"Best","Rough",149.736026374003,"BMT","UCB",0.633129136664934,0.58,2.06039668400262,NA,0.00673794843144116,0.0104693947838834,"BMT-UCB"
"28",28,"Best","Smooth",204.744415365257,"BMT","UCB",0.498352118410922,1.19,4.61462066135912,NA,0.0127028468685711,0.00735015467823684,"BMT-UCB"
"29",29,"Best","Smooth",310.154294397779,"BMT","UCB",0.240085525786688,1.2,6.1900210141262,NA,0.0308554566113002,0.00939705484519305,"BMT-UCB"
"30",30,"Cumulative","Rough",207.086053222008,"BMT","UCB",0.492614830445374,1.25,0.00673807932289802,NA,0.0204108111310314,0.0522275174243252,"BMT-UCB"
"31",31,"Cumulative","Rough",196.260058607015,"BMT","UCB",0.519139789648867,1.11,3.09160837202158,NA,0.00673797810335308,0.0209109223583973,"BMT-UCB"
"32",32,"Cumulative","Smooth",347.228612911926,"BMT","UCB",0.149249088022063,1.17,1.07887111364449,NA,0.0309683164887098,0.08646851497443,"BMT-UCB"
"33",33,"Cumulative","Smooth",203.460661374668,"BMT","UCB",0.501497466569559,1.18,7.04115611351529,NA,0.00787936817041133,0.0067380432331593,"BMT-UCB"
"34",34,"Best","Rough",153.237248463322,"BMT","UCB",0.624550731041775,0.82,5.11284848029829,NA,0.0179429187473062,0.00673809618534078,"BMT-UCB"
"35",35,"Best","Rough",371.057856382942,"BMT","UCB",0.0908646408283241,0.92,0.240560465643433,NA,0.0164279033397306,0.101201475824408,"BMT-UCB"
"36",36,"Best","Smooth",294.939993665132,"BMT","UCB",0.277362350743187,1.36,1.16127727737939,NA,0.0121889442155397,0.084906242520815,"BMT-UCB"
"37",37,"Best","Smooth",345.110502253348,"BMT","UCB",0.154438708080571,1.17,7.77896855593259,NA,0.0109425750398065,0.0067408328889455,"BMT-UCB"
"38",38,"Cumulative","Rough",185.021064586042,"BMT","UCB",0.546676645937501,0.99,3.96203562233767,NA,0.023494030895308,0.00673832577481117,"BMT-UCB"
"39",39,"Cumulative","Smooth",181.218280658018,"BMT","UCB",0.555993913508538,1.04,3.33658590901934,NA,0.00673797242580801,0.0197429589465203,"BMT-UCB"
"40",40,"Best","Rough",169.878706713477,"BMT","UCB",0.583777202431236,1.19,6.74677968839999,NA,0.0137720486416925,0.00673800693021494,"BMT-UCB"
"41",41,"Best","Rough",333.487530649398,"BMT","UCB",0.182916354577008,1.15,4.9887489776745,NA,0.0557859279180554,0.00673803737179985,"BMT-UCB"
"42",42,"Best","Smooth",238.342714811134,"BMT","UCB",0.416032335905733,1.21,2.79010842660691,NA,0.025852436692601,0.0215333609842663,"BMT-UCB"
"43",43,"Best","Smooth",378.719867786865,"BMT","UCB",0.0720918123600505,0.96,5.74536520946003,NA,0.00736543466950951,0.0465420885768946,"BMT-UCB"
"44",44,"Cumulative","Rough",276.732235289823,"BMT","UCB",0.321973498750154,1.28,2.3193922919554,NA,0.0099099950187504,0.0411725716442821,"BMT-UCB"
"45",45,"Cumulative","Rough",259.045794649703,"BMT","UCB",0.365307357034588,1.27,0.789744786851683,NA,0.0159189770103051,0.0285636471425377,"BMT-UCB"
"46",46,"Cumulative","Smooth",193.266303831893,"BMT","UCB",0.526474840708784,1.11,3.83207234332257,NA,0.0268747062670953,0.0067411898097517,"BMT-UCB"
"47",47,"Best","Rough",182.752234540966,"BMT","UCB",0.552235546207222,1.28,4.91479244719192,NA,0.0150174959163856,0.00673893363222363,"BMT-UCB"
"48",48,"Best","Rough",446.475280413578,"BMT","UCB",-0.0939169119792616,1.21,9.85171011565528,NA,0.0452680291948672,0.00674122048103899,"BMT-UCB"
"49",49,"Best","Smooth",239.789103992289,"BMT","UCB",0.41248851241543,1.17,2.86717753497135,NA,0.0276715138712962,0.00673993451039843,"BMT-UCB"
