"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"88",7,"Cumulative","Rough",209.214843120495,"RBF","UCB",0.487399044993941,1.24,NA,0.0285681427364548,0.0781831185308197,0.0499562891492379,"RBF-UCB",0.123456790123457
"89",8,"Cumulative","Rough",265.264338091378,"RBF","UCB",0.350071194726957,1.23,NA,0.363025995905687,0.0448636865905149,0.0757358214638482,"RBF-UCB",0.123456790123457
"90",9,"Cumulative","Smooth",387.769577422205,"RBF","UCB",0.0499189601263716,1.13,NA,0.410340852770171,1.57755017645703,0.0913284844365222,"RBF-UCB",0.123456790123457
"91",10,"Cumulative","Smooth",388.560236889223,"RBF","UCB",0.0479817515046848,1.12,NA,0.319340585908974,17.6241240372661,0.00708344123573733,"RBF-UCB",0.123456790123457
"92",11,"Best","Rough",386.880970746303,"RBF","UCB",0.0520961509217204,1.15,NA,0.59123422408648,2.34148917076983,0.166893379986573,"RBF-UCB",0.123456790123457
"93",12,"Best","Rough",402.077692911189,"RBF","UCB",0.0148623955222732,1.01,NA,0.488281248315042,0.381873902938126,0.166316382097508,"RBF-UCB",0.123456790123457
"94",13,"Best","Smooth",387.575264014612,"RBF","UCB",0.0503950508129453,1.22,NA,0.123378803596219,37.1582255653551,0.00800294130902889,"RBF-UCB",0.123456790123457
"95",14,"Best","Smooth",399.862213320044,"RBF","UCB",0.0202905809094988,1.2,NA,0.592784549803989,25.2860291513228,0.751597707620215,"RBF-UCB",0.123456790123457
"96",15,"Cumulative","Rough",414.813592293547,"RBF","UCB",-0.016342054835478,1.05,NA,0.74980710724445,0.353114296037132,0.263992572512887,"RBF-UCB",0.123456790123457
"97",16,"Cumulative","Smooth",390.533285747869,"RBF","UCB",0.0431475499053591,1.13,NA,0.116945504099281,29.677737928843,0.0112210051285868,"RBF-UCB",0.123456790123457
"98",17,"Cumulative","Smooth",387.187451882952,"RBF","UCB",0.0513452361157035,1.17,NA,0.447560466327437,2.17701315414162,0.0513656238817686,"RBF-UCB",0.123456790123457
"99",18,"Best","Rough",396.983468440056,"RBF","UCB",0.0273438442090381,1.06,NA,0.457714885246216,5.19000820862109,0.492920035749643,"RBF-UCB",0.123456790123457
"100",19,"Best","Rough",400.797851562768,"RBF","UCB",0.0179981572477405,1.12,NA,0.673195407881512,54.3855906291831,15.103222772891,"RBF-UCB",0.123456790123457
"101",20,"Best","Smooth",389.777532834037,"RBF","UCB",0.0449992333691172,1.16,NA,0.29731430523286,0.585850650495059,0.00673808529968188,"RBF-UCB",0.123456790123457
"102",21,"Best","Smooth",401.630494701079,"RBF","UCB",0.0159580836969762,1.35,NA,0.464792174814621,0.969396328626071,0.119269889963351,"RBF-UCB",0.123456790123457
"103",22,"Cumulative","Rough",386.97136307555,"RBF","UCB",0.051874679091108,1.09,NA,0.3318340565432,41.6239301678151,0.0111073436015796,"RBF-UCB",0.123456790123457
"104",23,"Cumulative","Rough",401.782720643234,"RBF","UCB",0.0155851122473328,0.95,NA,0.543024991332869,54.5878017361169,5.95110679355942,"RBF-UCB",0.123456790123457
"105",24,"Cumulative","Smooth",389.969461018309,"RBF","UCB",0.04452898676002,1.17,NA,0.376753466662257,17.9931390236625,0.031432226837729,"RBF-UCB",0.123456790123457
"106",25,"Cumulative","Smooth",395.296006024359,"RBF","UCB",0.0314783254576984,1.02,NA,0.339949147287467,1.57696621851771,0.0104672820866357,"RBF-UCB",0.123456790123457
"107",26,"Best","Rough",387.672357523154,"RBF","UCB",0.050157160305459,1.21,NA,0.0545335112416888,15.9051655809196,0.0745919942616625,"RBF-UCB",0.123456790123457
"108",27,"Best","Rough",88.2441694042553,"RBF","UCB",0.783791413478796,0.58,NA,0.197082471909015,0.0320124333122998,0.00673794732224446,"RBF-UCB",0.123456790123457
"109",28,"Best","Smooth",389.405249467154,"RBF","UCB",0.0459113713730501,1.19,NA,0.204006488551004,6.35334835000744,0.099005367487579,"RBF-UCB",0.123456790123457
"110",29,"Best","Smooth",389.772470777717,"RBF","UCB",0.0450116360020527,1.2,NA,0.270246147317842,23.5978680589731,0.184868643503942,"RBF-UCB",0.123456790123457
"111",30,"Cumulative","Rough",340.223061135325,"RBF","UCB",0.166413513248633,1.25,NA,0.109654631761404,0.191641317556387,0.048967336609121,"RBF-UCB",0.123456790123457
"112",31,"Cumulative","Rough",217.325041082128,"RBF","UCB",0.467528106783182,1.11,NA,0.442914576148598,0.0380691498234288,0.0391202803425846,"RBF-UCB",0.123456790123457
"113",32,"Cumulative","Smooth",349.661462259025,"RBF","UCB",0.14328832118493,1.17,NA,0.422257084292634,0.295171451389241,0.0475168466990849,"RBF-UCB",0.123456790123457
"114",33,"Cumulative","Smooth",388.975464032531,"RBF","UCB",0.0469643962012583,1.18,NA,0.455554239296771,13.6211526588857,0.158474311776571,"RBF-UCB",0.123456790123457
