"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed","mainTextBest"
"43",43,"Best","Smooth",332.927234982936,"LocalSearch","",0.184289144812301,0.96,NA,NA,NA,0.343175966852542,"LocalSearch-",0,NA
"44",44,"Cumulative","Rough",284.844173361458,"LocalSearch","",0.302098297065373,1.28,NA,NA,NA,0.26342677909,"LocalSearch-",0,NA
"45",45,"Cumulative","Rough",287.994969954862,"LocalSearch","",0.294378475093283,1.27,NA,NA,NA,0.273720315679966,"LocalSearch-",0,NA
"46",46,"Cumulative","Smooth",374.600188126491,"LocalSearch","",0.0821855117206173,1.11,NA,NA,NA,0.48884923096393,"LocalSearch-",0,NA
"47",47,"Best","Rough",355.521056485946,"LocalSearch","",0.128931626641331,1.28,NA,NA,NA,0.394599737391155,"LocalSearch-",0,NA
"48",48,"Best","Rough",376.905574839437,"LocalSearch","",0.0765370433180491,1.21,NA,NA,NA,0.503523894324037,"LocalSearch-",0,NA
"49",49,"Best","Smooth",370.565661509173,"LocalSearch","",0.092070576117523,1.17,NA,NA,NA,0.468371231866105,"LocalSearch-",0,NA
"50",50,"Best","Smooth",379.540001194959,"LocalSearch","",0.0700823891186048,1.21,NA,NA,NA,0.498117780453328,"LocalSearch-",0,NA
"51",51,"Cumulative","Rough",360.917182990983,"LocalSearch","",0.115710482488464,1.02,NA,NA,NA,0.420845855599023,"LocalSearch-",0,NA
"52",52,"Cumulative","Rough",370.846412485967,"LocalSearch","",0.0913827032272582,1.03,NA,NA,NA,0.464398418657013,"LocalSearch-",0,NA
"53",53,"Cumulative","Smooth",284.278028622449,"LocalSearch","",0.303485418215856,1.29,NA,NA,NA,0.278209902543892,"LocalSearch-",0,NA
"54",54,"Cumulative","Smooth",371.124612449855,"LocalSearch","",0.0907010806184387,1.11,NA,NA,NA,0.452334159065386,"LocalSearch-",0,NA
"55",55,"Best","Rough",383.864410667201,"LocalSearch","",0.059487077656733,0.98,NA,NA,NA,0.567700042066954,"LocalSearch-",0,NA
"56",56,"Best","Rough",386.96580836055,"LocalSearch","",0.0518882887957129,1.23,NA,NA,NA,0.662010365931855,"LocalSearch-",0,NA
"57",57,"Best","Smooth",345.390152967096,"LocalSearch","",0.153753530964084,1.37,NA,NA,NA,0.371369883175235,"LocalSearch-",0,NA
"58",58,"Best","Smooth",377.326957533128,"LocalSearch","",0.0755046061927124,1.08,NA,NA,NA,0.498743069750609,"LocalSearch-",0,NA
"59",59,"Cumulative","Rough",342.206994236687,"LocalSearch","",0.16155264397541,1.21,NA,NA,NA,0.363142075784613,"LocalSearch-",0,NA
"60",60,"Cumulative","Smooth",373.829295615216,"LocalSearch","",0.0840742889774921,1.11,NA,NA,NA,0.476464767475151,"LocalSearch-",0,NA
"61",61,"Cumulative","Smooth",320.597287306278,"LocalSearch","",0.21449896577892,1.34,NA,NA,NA,0.320463382481248,"LocalSearch-",0,NA
"62",62,"Best","Rough",364.00921538933,"LocalSearch","",0.108134639700917,1.15,NA,NA,NA,0.437389131262569,"LocalSearch-",0,NA
"63",63,"Best","Rough",339.522155264007,"LocalSearch","",0.168130815011969,1.02,NA,NA,NA,0.338890114901341,"LocalSearch-",0,NA
"64",64,"Best","Smooth",363.697910357563,"LocalSearch","",0.108897373616933,1.21,NA,NA,NA,0.434612354362135,"LocalSearch-",0,NA
"65",65,"Best","Smooth",352.614361304167,"LocalSearch","",0.136053371465304,1.14,NA,NA,NA,0.396950471277395,"LocalSearch-",0,NA
"66",66,"Cumulative","Rough",270.920210430019,"LocalSearch","",0.33621364275341,1.3,NA,NA,NA,0.252476766295539,"LocalSearch-",0,NA
"67",67,"Cumulative","Rough",368.943153655305,"LocalSearch","",0.0960459110554868,1.04,NA,NA,NA,0.489740880187882,"LocalSearch-",0,NA
"68",68,"Cumulative","Smooth",341.55280302199,"LocalSearch","",0.163155489339576,1.18,NA,NA,NA,0.354035713134659,"LocalSearch-",0,NA
"69",69,"Cumulative","Smooth",381.646437409039,"LocalSearch","",0.0649213728212338,1.1,NA,NA,NA,0.540129734150095,"LocalSearch-",0,NA
"70",70,"Best","Rough",357.097725977198,"LocalSearch","",0.125068601079234,1.04,NA,NA,NA,0.407008616656914,"LocalSearch-",0,NA
"71",71,"Best","Rough",384.004681975841,"LocalSearch","",0.0591433964642499,1.22,NA,NA,NA,0.561805736959404,"LocalSearch-",0,NA
"72",72,"Best","Smooth",371.705335017291,"LocalSearch","",0.0892782420749535,1.39,NA,NA,NA,0.462040579631544,"LocalSearch-",0,NA
"73",73,"Best","Smooth",379.59384232934,"LocalSearch","",0.0699504720113368,1.14,NA,NA,NA,0.530435186549446,"LocalSearch-",0,NA
"74",74,"Best","Smooth",398.451953853691,"LocalSearch","",0.0237458823521527,1.24,NA,NA,NA,0.843968601800789,"LocalSearch-",0,NA
"75",75,"Best","Rough",379.402213047459,"LocalSearch","",0.070419986274447,1.04,NA,NA,NA,0.507626716568069,"LocalSearch-",0,NA
"76",76,"Best","Smooth",400.216737244886,"LocalSearch","",0.0194219556258617,1.09,NA,NA,NA,1.16418160164953,"LocalSearch-",0,NA
"77",77,"Cumulative","Smooth",360.443706698251,"LocalSearch","",0.116870555054097,1.15,NA,NA,NA,0.420819682343749,"LocalSearch-",0,NA
"78",78,"Best","Smooth",406.604522191357,"LocalSearch","",0.00377113174025245,1.33,NA,NA,NA,1.79514879041529,"LocalSearch-",0,NA
"79",79,"Cumulative","Smooth",376.327790870123,"LocalSearch","",0.0779526819507581,1.15,NA,NA,NA,0.504733227090877,"LocalSearch-",0,NA
