"","","","","par1","par2","par3"
"cv",5,1,3.71711591867668,-0.149987343607819,-3.64350150100801,-3.05469899008667
"cv",5,2,8.70078537499894,-0.107759185439163,-3.2837385367927,-3.24801847243226
"cv",5,3,5.74160782248773,-0.10921444705806,-3.32299397888521,-3.06033554185942
"cv",5,4,17.6833842467977,-0.103389089142056,-4.043628667925,-3.10199828440007
"cv",5,5,5.54498305241365,-0.104754025666574,-3.40866531440702,-3.11250922085639
"cv",5,6,16.5819016919446,-0.108617301240115,-4.32885533089055,-3.04140203778026
"cv",5,7,13.3308744319349,-0.124996031353719,-3.02579168170217,-3.23223855492775
"cv",5,8,12.9245875644059,-0.349869730998376,-3.24224743536332,-3.17362452123299
"cv",10,1,27.0038431406939,-0.849680691338872,-2.52920518246712,-3.38809045256171
"cv",10,2,16.2091449188648,-0.906584107221582,-2.57080927646697,-3.38975405359683
"cv",10,3,7.11797631262547,-0.839646227447009,-2.5839805080844,-3.4026749539463
"cv",10,4,13.8629788679925,-0.839041760578502,-2.60701259673808,-3.32786881964862
"cv",10,5,18.5689829557892,-0.823022854082014,-2.39862909764351,-3.56406973911178
"cv",10,6,30.9713258073666,-0.808018849756392,-2.58150746317611,-3.37200730064325
"cv",10,7,16.3625275312427,-0.855182526224618,-2.57343170437835,-3.38864264165797
"cv",10,8,5.56809564525174,-0.846796371473809,-2.54394527667349,-3.47469862345445
