"","","","","par1","par2","par3"
"cv",5,1,16.8905871091302,0.702755115571652,-2.91660134802036,-2.7645097799964
"cv",5,2,16.3919097380307,0.731096068735238,-2.53669479345462,-2.86738033991091
"cv",5,3,15.4209215698534,0.889047685463868,-2.7800401282767,-2.95957518704377
"cv",5,4,8.54572635157562,-0.368471100337181,-2.70093911915066,-2.45307910737852
"cv",5,5,16.8451356571575,0.705497492525747,-2.94105008266321,-2.75714785683613
"cv",5,6,16.5668007154318,0.667989058332507,-2.69535843113642,-2.80616544886646
"cv",5,7,10.5301052208888,1.17771945580664,-2.72194331086838,-3.24667627769667
"cv",5,8,16.6604831091545,0.668406842249861,-2.70328766393554,-2.80077559282301
"cv",10,1,20.618146554946,-2.62496564747817,-4.99999999933225,-2.31461236893568
"cv",10,2,17.5563848213895,-1.7782849385568,-4.99999999406807,-2.33560638060719
"cv",10,3,29.0742738611424,-1.95776913711121,-4.99999999990098,-2.34392295943868
"cv",10,4,25.2216449527053,-1.93036930900567,-4.99999999633035,-2.32730618771768
"cv",10,5,29.5510442094525,-2.45934657449811,-4.99999999768781,-2.37214007901777
"cv",10,6,22.8164755983022,-2.2341391810577,-4.99999999414016,-2.31317048342202
"cv",10,7,28.7782463850109,-2.52557956091234,-4.99999999000755,-2.36048754197387
"cv",10,8,32.0888179241994,-2.59000676948122,-4.99999999082716,-2.33338697763985
