"","","","","par1","par2","par3"
"cv",5,1,11.4905779854619,-0.227228219071805,-3.79116114039725,-2.94888940793474
"cv",5,2,24.665987996651,-0.172482550547733,-2.93335131083119,-3.34803191264098
"cv",5,3,14.6265701491337,-0.353925871764205,-4.36365031848226,-2.88808019584013
"cv",5,4,4.91153692168037,-0.236590256609188,-4.1116080075406,-2.9744072626164
"cv",5,5,3.6324260337923,-0.248031796475629,-3.97706680870814,-2.9271106415491
"cv",5,6,6.12427131402399,-0.357142395965178,-3.71647506189519,-2.87600842677805
"cv",5,7,16.9946397232435,-0.352142832052703,-4.99999994738835,-2.92179368651718
"cv",5,8,15.1960079842178,-0.270477409828953,-4.37355011206883,-2.9055506613872
"cv",10,1,9.41061838274249,-0.176333405533388,-3.43287190632419,-3.34105440147301
"cv",10,2,13.0152564613173,-0.237737693606216,-3.50909401715621,-3.24632696149468
"cv",10,3,24.2858301799208,-0.166663334472204,-3.10596278432189,-3.40109677702459
"cv",10,4,1.26323104700822,-0.178345012665567,-3.3618861794889,-3.23931297277301
"cv",10,5,19.0703439119283,-0.288405088739351,-2.94512682138118,-3.3581725855813
"cv",10,6,4.066890047856,-0.199834566176704,-3.3835304035852,-3.27288729929689
"cv",10,7,5.71400120724344,-0.281254019449245,-3.37360849870322,-3.19330710159389
"cv",10,8,18.7163630165788,-0.351169931843586,-3.36084254800771,-3.30152556263499
