"participant","leaveoutindex","reward","environment","horizon","tau"
15,4,"Best","Smooth",20,0.306866933048559
15,1,"Best","Smooth",40,0.254035582465277
15,2,"Best","Smooth",40,0.263378526678149
15,3,"Best","Smooth",40,0.261017979316325
15,4,"Best","Smooth",40,0.234272614532008
16,1,"Best","Smooth",20,0.184507720509773
16,2,"Best","Smooth",20,0.191053386270309
16,3,"Best","Smooth",20,0.182968067119627
16,4,"Best","Smooth",20,0.175574937013706
16,1,"Best","Smooth",40,0.171148264433238
16,2,"Best","Smooth",40,0.193893934486603
16,3,"Best","Smooth",40,0.189964998113513
16,4,"Best","Smooth",40,0.18190583839144
17,1,"Cumulative","Rough",20,0.201557826280484
17,2,"Cumulative","Rough",20,0.204843456333567
17,3,"Cumulative","Rough",20,0.227707901362879
17,4,"Cumulative","Rough",20,0.204640159703147
17,1,"Cumulative","Rough",40,0.21430628524732
17,2,"Cumulative","Rough",40,0.191659848934152
17,3,"Cumulative","Rough",40,0.217922252068521
17,4,"Cumulative","Rough",40,0.216513011231319
18,1,"Cumulative","Rough",20,0.241350211635118
18,2,"Cumulative","Rough",20,0.200032063017026
18,3,"Cumulative","Rough",20,0.233906048509478
18,4,"Cumulative","Rough",20,0.197102048313678
18,1,"Cumulative","Rough",40,0.181262317305265
18,2,"Cumulative","Rough",40,0.157730587631109
18,3,"Cumulative","Rough",40,0.169835474890686
18,4,"Cumulative","Rough",40,0.174590953165099
19,1,"Cumulative","Smooth",20,0.268642858779064
19,2,"Cumulative","Smooth",20,0.245008953087383
19,3,"Cumulative","Smooth",20,0.24696910624238
19,4,"Cumulative","Smooth",20,0.2492922231708
19,1,"Cumulative","Smooth",40,0.224193535663973
19,2,"Cumulative","Smooth",40,0.256116024530747
19,3,"Cumulative","Smooth",40,0.235587649494506
19,4,"Cumulative","Smooth",40,0.251179417217067
20,1,"Cumulative","Smooth",20,0.179315976155274
20,2,"Cumulative","Smooth",20,0.192509072273749
20,3,"Cumulative","Smooth",20,0.18698979371225
20,4,"Cumulative","Smooth",20,0.191699126673011
20,1,"Cumulative","Smooth",40,0.205353703422744
20,2,"Cumulative","Smooth",40,0.219291565595199
20,3,"Cumulative","Smooth",40,0.218601256865648
20,4,"Cumulative","Smooth",40,0.221001215750363
21,1,"Best","Rough",20,0.282577380632765
21,2,"Best","Rough",20,0.324619176878104
21,3,"Best","Rough",20,0.308539212505728
