"participant","leaveoutindex","reward","environment","horizon","lambda","beta","tau"
13,3,"Best","Rough",20,0.79988077882039,0.416148395319973,0.0594221349765728
13,4,"Best","Rough",20,0.822092090013741,0.420110102544083,0.0635134186755544
13,1,"Best","Rough",40,0.781990930567496,0.499675084086812,0.0859736858211481
13,2,"Best","Rough",40,0.72640438580018,0.533576865754776,0.0923159322367436
13,3,"Best","Rough",40,0.756490172004262,0.494792627243687,0.0860197328734721
13,4,"Best","Rough",40,0.806316616403741,0.510677330951825,0.0907974758161152
14,1,"Best","Rough",20,0.786033616199303,0.476865838830605,0.0926527442437812
14,2,"Best","Rough",20,0.823226957874298,0.491901889202152,0.0879089198391513
14,3,"Best","Rough",20,0.797123110158243,0.465477031213923,0.0901884872960741
14,4,"Best","Rough",20,0.856517742351681,0.495429163641909,0.0952683157218333
14,1,"Best","Rough",40,0.714608509769728,0.458150138091076,0.0866581539673797
14,2,"Best","Rough",40,0.671341491982292,0.444940185939644,0.0816419864769436
14,3,"Best","Rough",40,0.697897882996764,0.452874478029184,0.0784590376725225
14,4,"Best","Rough",40,0.675571799045705,0.45717171720336,0.080583877402374
15,1,"Best","Smooth",20,1.16948706882994,0.463006015872789,0.115420311589518
15,2,"Best","Smooth",20,0.806689803208291,0.516707040055646,0.129234698466214
15,3,"Best","Smooth",20,0.732979142511161,0.623581782216057,0.141435793977211
15,4,"Best","Smooth",20,0.757291424533135,0.47357686490108,0.126543075336069
15,1,"Best","Smooth",40,0.760067341613287,0.451772411458687,0.100409095380316
15,2,"Best","Smooth",40,0.685225314713814,0.495539772064796,0.108672670441825
15,3,"Best","Smooth",40,0.704431427745161,0.51294655781641,0.113679656167133
15,4,"Best","Smooth",40,0.65035299693258,0.561020820924695,0.112951615137887
16,1,"Best","Smooth",20,0.702899440784625,0.556913303410104,0.0885799194484774
16,2,"Best","Smooth",20,0.166345911172695,148.219437576632,16.7311725219864
16,3,"Best","Smooth",20,0.672169762340806,0.571230307919415,0.0928883333600438
16,4,"Best","Smooth",20,0.680541269662085,0.510767136617898,0.0776446995073149
16,1,"Best","Smooth",40,0.661845679966898,0.521633633916906,0.0707397371624546
16,2,"Best","Smooth",40,0.68755563919053,0.503737809096172,0.0736692264264482
16,3,"Best","Smooth",40,0.738890857964979,0.505213453710994,0.0708984940256596
16,4,"Best","Smooth",40,0.723563293652924,0.448298212939105,0.0621414203040019
17,1,"Cumulative","Rough",20,0.652315093207446,0.563002219593479,0.0959240208555135
17,2,"Cumulative","Rough",20,0.669669879079295,0.64438769333163,0.109957838856332
17,3,"Cumulative","Rough",20,0.826370621863176,0.609560251540273,0.0997564654122763
17,4,"Cumulative","Rough",20,0.723675383878035,0.612217820627092,0.0949186288814509
17,1,"Cumulative","Rough",40,0.490030240263051,0.695817257531851,0.126826954421271
17,2,"Cumulative","Rough",40,0.536586809868625,0.644408442690617,0.103346918941724
17,3,"Cumulative","Rough",40,0.515108976597984,0.654295275711507,0.116947154531698
17,4,"Cumulative","Rough",40,0.0102430827880513,147.904808668324,18.8059063373597
18,1,"Cumulative","Rough",20,0.745985600407562,0.215040023629827,0.0594817865885564
18,2,"Cumulative","Rough",20,0.563246878181854,0.16975164730156,0.0522408149944265
18,3,"Cumulative","Rough",20,0.545862635461771,0.168726400635068,0.0506568921206056
18,4,"Cumulative","Rough",20,0.549098014205929,0.137877786823103,0.0526855775566742
18,1,"Cumulative","Rough",40,1.1850829961291,0.0756329535642585,0.0365152988684281
18,2,"Cumulative","Rough",40,1.67579477961332,0.0305686641321631,0.0342120267987074
18,3,"Cumulative","Rough",40,1.69078789323283,0.0662111429082887,0.0311549415257155
18,4,"Cumulative","Rough",40,1.36290312393518,0.0446798408446835,0.0364106050129686
19,1,"Cumulative","Smooth",20,1.04817439360964,0.495979419159299,0.0914938425407399
19,2,"Cumulative","Smooth",20,1.1665000695683,0.557491727069818,0.0809075587295351
19,3,"Cumulative","Smooth",20,0.959024080594334,0.517320585338138,0.0946263102456576
19,4,"Cumulative","Smooth",20,1.05593558448432,0.528599752057265,0.0897042079800467
19,1,"Cumulative","Smooth",40,0.812023674221308,0.503515835891289,0.098850712453503
19,2,"Cumulative","Smooth",40,0.852330547979115,0.521738450418071,0.103592548156291
19,3,"Cumulative","Smooth",40,0.874070765157018,0.499094786612792,0.0940802364673507
19,4,"Cumulative","Smooth",40,0.858561507543275,0.493689014877632,0.10030552066678
20,1,"Cumulative","Smooth",20,0.643707445398154,0.495339637350359,0.0745246308859173
20,2,"Cumulative","Smooth",20,0.665982410922665,0.511411757340362,0.079340061672854
20,3,"Cumulative","Smooth",20,0.683557142522297,0.520433033437189,0.0792041078798744
20,4,"Cumulative","Smooth",20,0.612277891111008,0.579474890659813,0.0916795543166205
20,1,"Cumulative","Smooth",40,0.66750957352751,0.505320694769323,0.0805724997308836
20,2,"Cumulative","Smooth",40,0.623207838215313,0.579776073495497,0.10162055334647
20,3,"Cumulative","Smooth",40,0.624402701531655,0.544167718434144,0.0961312809837657
20,4,"Cumulative","Smooth",40,0.677575071661974,0.539301316248711,0.09607430772668
21,1,"Best","Rough",20,0.880217421963463,0.464143331311072,0.100844106341461
21,2,"Best","Rough",20,1.41392459168279,0.448196900141556,0.0880307301186788
21,3,"Best","Rough",20,0.941997626118175,0.418278368583105,0.0972372359735591
21,4,"Best","Rough",20,1.03139578384738,0.456459342157777,0.0907576832692414
21,1,"Best","Rough",40,0.875734923480064,0.474664946433763,0.0892503569431171
21,2,"Best","Rough",40,0.837702886994087,0.483063441708025,0.0854139414291926
21,3,"Best","Rough",40,0.827792881135221,0.441128488694654,0.0786395225101831
21,4,"Best","Rough",40,0.794179024475727,0.453166620912688,0.0785343247327032
22,1,"Best","Rough",20,1.13250637533323,0.420543186743946,0.0848498493406809
22,2,"Best","Rough",20,1.23295991706391,0.470726897237119,0.093775471311005
22,3,"Best","Rough",20,1.77453817935532,0.764221981571949,0.0945741311249158
22,4,"Best","Rough",20,1.44479565917615,0.44095279008049,0.088695330845406
22,1,"Best","Rough",40,1.11445137348277,0.726204777877553,0.108374942323637
22,2,"Best","Rough",40,1.01676139428965,0.641238262890553,0.104029932259228
22,3,"Best","Rough",40,0.921240998851428,0.702625014738143,0.11557706332866
22,4,"Best","Rough",40,0.977142929137519,0.738579610747944,0.118744270321136
23,1,"Best","Smooth",20,4.54598460323595,1.72662382554173,0.0875328709446005
23,2,"Best","Smooth",20,1.8493997160315,0.390308357561839,0.0752200082943148
23,3,"Best","Smooth",20,1.82853170064877,0.278231165815522,0.0658693600263729
23,4,"Best","Smooth",20,2.62953773195541,0.62312343557352,0.0791557051888436
23,1,"Best","Smooth",40,1.11859769406072,0.255538589239622,0.0620340484085092
