"participant","leaveoutindex","reward","environment","horizon","lambda","beta","tau"
16,3,"Best","Smooth",20,0.453556692123106,0.487746625923037,0.00678672581640616
16,4,"Best","Smooth",20,0.446571192642062,0.426080944081664,0.00673843343880882
16,1,"Best","Smooth",40,0.453888203904017,0.514327526118698,0.00673798044808616
16,2,"Best","Smooth",40,0.429894566812427,0.516818120722762,0.006737949222412
16,3,"Best","Smooth",40,0.424060112370387,0.520682378464003,0.00673796570406581
16,4,"Best","Smooth",40,0.431464649549259,0.502563139493713,0.00673795434319579
17,1,"Cumulative","Rough",20,1.13708901932094,0.00673794711470601,0.138554887323945
17,2,"Cumulative","Rough",20,1.2767425954912,0.00673794803341196,0.136154628698567
17,3,"Cumulative","Rough",20,1.18786176543422,0.00673794845061277,0.160068569850019
17,4,"Cumulative","Rough",20,0.425987105347845,0.512070548805875,0.00674609292222076
17,1,"Cumulative","Rough",40,148.413143073235,12.6930547562755,0.116315051623417
17,2,"Cumulative","Rough",40,0.403052316531037,0.546558052423967,0.00678980378185558
17,3,"Cumulative","Rough",40,148.413155015258,18.0739370186773,0.185925258702913
17,4,"Cumulative","Rough",40,19.5669437391382,1.91008467018661,0.210337727483249
18,1,"Cumulative","Rough",20,0.782183423302232,0.215229500930134,0.0291516895320236
18,2,"Cumulative","Rough",20,0.968653253344675,0.0507407178653584,0.0423399928807137
18,3,"Cumulative","Rough",20,1.3071290223339,0.0702651054175792,0.0441270999829949
18,4,"Cumulative","Rough",20,0.721649273659306,0.105118993734192,0.0403410411074566
18,1,"Cumulative","Rough",40,0.601778426756807,0.199449888488125,0.0149913111106928
18,2,"Cumulative","Rough",40,1.00558219042698,0.116841155731037,0.0226095108587854
18,3,"Cumulative","Rough",40,0.520829008142747,0.227332392035073,0.00880763706163926
18,4,"Cumulative","Rough",40,0.629453704315808,0.198752529020217,0.0148102258549135
19,1,"Cumulative","Smooth",20,0.570050862171063,0.48533496417366,0.0221647855167458
19,2,"Cumulative","Smooth",20,0.574417431606344,0.512638706195815,0.0202796387843578
19,3,"Cumulative","Smooth",20,0.498957596353419,0.531228837869534,0.0148581945861316
19,4,"Cumulative","Smooth",20,1.6304879857755,0.0767402882753814,0.109876914307876
19,1,"Cumulative","Smooth",40,0.689679607628139,0.456536571614607,0.0244561915708851
19,2,"Cumulative","Smooth",40,0.652705691846092,0.426506746310509,0.0340237298887179
19,3,"Cumulative","Smooth",40,0.62862816672387,0.455418136827943,0.0304498823658914
19,4,"Cumulative","Smooth",40,0.633233176562549,0.439348265600828,0.0344625957731407
20,1,"Cumulative","Smooth",20,0.472853665684783,0.472043636994316,0.00673880551154308
20,2,"Cumulative","Smooth",20,0.453991411080193,0.498278114563126,0.00673794705433104
20,3,"Cumulative","Smooth",20,0.461569485084268,0.503075955120415,0.00674662803249589
20,4,"Cumulative","Smooth",20,0.45878418684816,0.494970238434811,0.00673807778721862
20,1,"Cumulative","Smooth",40,0.410700190235419,0.531519570522933,0.00673796741451513
20,2,"Cumulative","Smooth",40,0.438847696006793,0.526930391407118,0.00673795122680537
20,3,"Cumulative","Smooth",40,0.404909500701284,0.526865474966233,0.00673794708816086
20,4,"Cumulative","Smooth",40,0.417545813806142,0.535095664447407,0.00673794788349814
21,1,"Best","Rough",20,0.599222136955829,0.514704273948973,0.0175047212613972
21,2,"Best","Rough",20,0.724472327667359,0.473826616629057,0.0214549482252772
21,3,"Best","Rough",20,0.594475002366453,0.502471985550747,0.0136600125786637
21,4,"Best","Rough",20,0.625245600463682,0.504579577055224,0.0163599317453917
21,1,"Best","Rough",40,0.563767444823341,0.456043701885561,0.0211535184975694
21,2,"Best","Rough",40,0.419154861560392,0.515392699092185,0.00673840901206961
21,3,"Best","Rough",40,0.533536229597681,0.42665034176422,0.0212170330118354
21,4,"Best","Rough",40,0.433806372858997,0.507422210259494,0.00673815122964418
22,1,"Best","Rough",20,0.486013143954208,0.598810821319453,0.00673814435313702
22,2,"Best","Rough",20,0.783993767575037,0.405914119734473,0.0309032445270364
22,3,"Best","Rough",20,0.774090228498629,0.398648573197175,0.0337983196442973
22,4,"Best","Rough",20,0.878724819259045,0.353137242937124,0.0362317715761679
22,1,"Best","Rough",40,0.589605212214866,0.525099166490815,0.0230088787553919
22,2,"Best","Rough",40,0.551996673120471,0.497040271108468,0.02183935252882
22,3,"Best","Rough",40,0.513690436290186,0.525884180156062,0.0173826009323105
22,4,"Best","Rough",40,0.47486164348856,0.541171166421927,0.01489441367051
23,1,"Best","Smooth",20,1.38377609602386,0.194698891588709,0.0821420554008081
23,2,"Best","Smooth",20,1.7052460039181,0.0310523989720069,0.0947034622303744
23,3,"Best","Smooth",20,1.39804514845309,0.106837150672303,0.0524369656907537
23,4,"Best","Smooth",20,1.57997949958694,0.140250818120142,0.091851356728392
23,1,"Best","Smooth",40,0.613658121893321,0.323000358112721,0.0254829901590899
23,2,"Best","Smooth",40,0.556898656429215,0.354800977511346,0.0229208637263968
23,3,"Best","Smooth",40,0.499986843447153,0.384665616561824,0.017475564171114
23,4,"Best","Smooth",40,0.574603627642602,0.328276276232825,0.0248540401748855
24,1,"Best","Smooth",20,1.62166674074055,0.00673794706236995,0.104191252474513
24,2,"Best","Smooth",20,1.7001344855285,0.00673794877325379,0.108200496331549
24,3,"Best","Smooth",20,1.74726140528768,0.00673794700948266,0.103084579331261
24,4,"Best","Smooth",20,1.6651238153141,0.0067379481192615,0.0743641150937945
24,1,"Best","Smooth",40,1.63245053535943,0.00673794731620277,0.161153730724694
24,2,"Best","Smooth",40,1.44624484375895,0.00673795558677877,0.171106257762135
24,3,"Best","Smooth",40,1.44776083363638,0.0112262150033266,0.171987027825358
24,4,"Best","Smooth",40,1.48672192087613,0.0067379472251597,0.160356842849074
25,1,"Cumulative","Rough",20,0.4625214263722,0.479706297713395,0.00673794829668522
25,2,"Cumulative","Rough",20,0.458720986747038,0.480755344280023,0.00673796024493243
25,3,"Cumulative","Rough",20,0.47004755684515,0.477114051583291,0.0067380399736517
25,4,"Cumulative","Rough",20,0.458069584048312,0.363659328327204,0.00673821145004979
25,1,"Cumulative","Rough",40,0.414860176843839,0.511207483448608,0.00673794977355498
25,2,"Cumulative","Rough",40,0.403769447942985,0.520877947354337,0.00673806270094678
25,3,"Cumulative","Rough",40,0.407894793140086,0.512262549012494,0.00673802066430276
25,4,"Cumulative","Rough",40,0.409007382178749,0.516787749278375,0.00673796465523664
26,1,"Cumulative","Rough",20,0.477066194290869,0.502280370758952,0.00676072811471409
26,2,"Cumulative","Rough",20,0.472750662964967,0.498805387699558,0.00678161960471597
26,3,"Cumulative","Rough",20,0.503370663030375,0.44091048242762,0.00674609672753034
