"participant","leaveoutindex","reward","environment","horizon","kError","beta","tau"
28,3,"Cumulative","Smooth",40,0.039825953661482,58.458293231679,20.0394046069452
28,4,"Cumulative","Smooth",40,0.179898786471196,44.8568583931351,19.1489699339849
29,1,"Best","Rough",20,0.125617567445493,1.03094451459796,0.389146292179041
29,2,"Best","Rough",20,0.107897178054436,0.831257083548965,0.315059529529352
29,3,"Best","Rough",20,0.00676012444672958,44.4233201153392,17.0878685089099
29,4,"Best","Rough",20,0.216347674969462,1.38445780565298,0.530165218932482
29,1,"Best","Rough",40,0.0067392178906204,44.8265872660701,18.129567133887
29,2,"Best","Rough",40,0.00673799953556676,44.7340467554837,17.9264664082119
29,3,"Best","Rough",40,0.00673916053837547,44.6577601692976,18.8683743291362
29,4,"Best","Rough",40,0.00674185356740323,43.9905861020367,18.8256102089882
30,1,"Best","Rough",20,0.863472372324036,49.9391004151245,16.8266176344438
30,2,"Best","Rough",20,0.880171855190563,44.1182875524946,19.4178073463347
30,3,"Best","Rough",20,0.921441578193141,44.753456651424,19.4392214227874
30,4,"Best","Rough",20,0.00673828035177739,44.703736733847,17.7205348104984
30,1,"Best","Rough",40,0.00674409460684966,44.6877797235684,19.4816349496012
30,2,"Best","Rough",40,0.00696131239272485,45.7158371259676,19.5269963574513
30,3,"Best","Rough",40,0.00687631145834727,45.7571718092759,20.2336785791835
30,4,"Best","Rough",40,0.00676597131271115,44.459396480993,19.6994535932007
31,1,"Best","Smooth",20,0.00673807256250328,44.7262371420493,28.4288979560394
31,2,"Best","Smooth",20,0.00677443690966406,45.0569735852855,22.2597590854507
31,3,"Best","Smooth",20,0.00674953712474947,44.8754860989548,24.8291708735719
31,4,"Best","Smooth",20,0.00673819400778947,44.7210451191558,25.1812171318768
31,1,"Best","Smooth",40,0.00674161005719697,44.7123420675364,23.2782064318671
31,2,"Best","Smooth",40,0.00674232316504247,44.587343084298,23.1579379722017
31,3,"Best","Smooth",40,0.00675059267768974,44.5103894023018,22.7295944356763
31,4,"Best","Smooth",40,0.00673907311260622,44.3658097859862,23.2890259496278
32,1,"Best","Smooth",20,0.0067716507044125,44.414429493831,21.2674863153813
32,2,"Best","Smooth",20,0.00675572740425951,44.8820909001684,18.3217652463117
32,3,"Best","Smooth",20,0.00674200396958147,44.6575392425421,19.2522388906911
32,4,"Best","Smooth",20,0.00674535352129122,44.5246742084772,18.7380742811026
32,1,"Best","Smooth",40,0.00674910170212493,45.2570242727477,19.8107122500762
32,2,"Best","Smooth",40,0.00674457255585284,44.6650732091,18.698493559001
32,3,"Best","Smooth",40,0.00674427515438469,44.7202919595715,19.2671221918665
32,4,"Best","Smooth",40,0.00679125691904734,44.9080042411974,18.8240308287165
33,1,"Cumulative","Rough",20,1.01621192724808,0.705476103805273,0.245268554744703
33,2,"Cumulative","Rough",20,1.38091045771946,1.52737976391794,0.551998678845024
33,3,"Cumulative","Rough",20,1.1571986467723,0.90666422208329,0.315728312957663
33,4,"Cumulative","Rough",20,1.24809490195673,45.1038970147287,15.8271758650546
33,1,"Cumulative","Rough",40,0.134444311122558,46.8376129379908,16.8966680770136
33,2,"Cumulative","Rough",40,0.581925123457747,46.2348270497723,16.3694107297044
33,3,"Cumulative","Rough",40,0.0465508899466114,132.943580074015,16.9747262925684
