"","","","","par1","par2","par3"
"cv",5,1,16.1687777364909,-1.1606101802487,-0.564499573554512,-4.99999178897271
"cv",5,2,41.2190313740615,-1.2042943441561,-0.917947107089217,-4.99999575628829
"cv",5,3,16.1782472688608,-1.14322249634414,-0.588896004332119,-4.99999992115489
"cv",5,4,17.260540676857,-1.05379288930027,-0.599966041846565,-4.99999750582861
"cv",5,5,17.2591529840391,-1.05283667376973,-0.599052635164518,-4.99999982892307
"cv",5,6,16.4684412446148,-1.10365524741417,-0.599571873241815,-4.99999966797612
"cv",5,7,16.3978246986587,-1.10144750869492,-0.600233518807286,-4.99999987395106
"cv",5,8,16.6497857709627,-1.08783742664046,-0.597889606321632,-4.99999762852317
"cv",10,1,31.9171560012855,-3.59743664768018,-0.69990694088985,-4.99999967704401
"cv",10,2,31.5912541288414,-3.02869864976547,-0.70060564486975,-4.99583516755238
"cv",10,3,31.9171552151162,-4.09337286684212,-0.699899086693571,-4.9999590371121
"cv",10,4,31.9171547803197,-2.7552047112391,-0.699915992260429,-4.99997570694275
"cv",10,5,31.9171590913221,-4.79979454809194,-0.699917475354767,-4.999988642457
"cv",10,6,31.9171547799685,-3.19004266788475,-0.699779854783095,-4.9999927954303
"cv",10,7,31.9172143345819,-2.81466868492405,-0.699942896727239,-4.99999737491918
"cv",10,8,31.5647405923848,-2.53888036499405,-0.699124844024941,-4.99999991859648
