"","","","","par1","par2","par3"
"cv",5,1,16.4723095690557,-2.1182909015255,1.84830344387911,-4.41464053577209
"cv",5,2,16.4723095690557,-2.08532109791125,3.62615733569162,-4.99590504521762
"cv",5,3,17.7184895298884,3.2683740409791,-0.516153174555298,-0.909833869715192
"cv",5,4,16.4740140226712,-1.4715896990937,-0.657262091691563,-4.99999700412969
"cv",5,5,16.841142957497,-0.616817928405821,3.99997634204148,1.62112092579756
"cv",5,6,16.4723095690553,-2.08523983590754,3.84799580237538,-4.98735445016473
"cv",5,7,16.9092140943129,3.48037719443314,-0.155637835287643,-0.726663407650297
"cv",5,8,16.4723095690564,-2.05994484065247,3.96384870408762,-4.96742445725517
"cv",10,1,32.3241628592712,-1.22013919875079,-0.549799843044612,-4.99998300273022
"cv",10,2,31.9171547799668,-2.06777387086221,3.76785778672639,-4.90515666110766
"cv",10,3,31.9121131807132,-1.4103429267367,-0.485112304068107,-4.99997000279959
"cv",10,4,31.9210881659879,-1.32994092421864,-0.516261984236726,-4.99999990348519
"cv",10,5,31.9171547799685,-2.45882417334475,0.65147627590691,-3.34003992531583
"cv",10,6,31.9344985054802,-1.31397424403541,-0.523532910398589,-4.9999886130764
"cv",10,7,32.0266536375345,-1.26759972748849,-0.541899772643351,-4.99998368544225
"cv",10,8,31.9126338407475,-1.36581374165859,-0.511974033856398,-4.99999684854895
