"participant","leaveoutindex","reward","horizon","kError","beta","tau"
14,1,"Best",40,12.0767732757561,0.432259550436495,0.00690930794653084
14,2,"Best",40,15.5338833708168,1.00360429797176,0.00869402812126218
14,3,"Best",40,2.31554711874931,0.920220425545032,0.210682132060078
14,4,"Best",40,4.32189284854434,0.83174505261955,0.073431432707833
15,1,"Cumulative",20,0.267887578426165,0.855883234834817,0.021207945211966
15,2,"Cumulative",20,0.0299528152012519,0.434454449333536,0.00676285696153448
15,3,"Cumulative",20,0.418590314303118,4.40126809573456,0.0105707411048438
15,4,"Cumulative",20,0.0367625191707471,26.9639675999465,0.167608542483548
15,1,"Cumulative",40,0.925738288470472,11.2298334609934,0.0157418348854475
15,2,"Cumulative",40,2.94287380631582,0.492828556244917,0.0458999078088739
15,3,"Cumulative",40,2.56687859138395,0.450527015108755,0.0501734780536959
15,4,"Cumulative",40,1.78478157837655,0.346955041225849,0.0602624398922567
16,1,"Cumulative",20,1.63654750151191,0.278148121624208,0.0487699949828478
16,2,"Cumulative",20,23.3421725210255,1.41241451095046,0.00842683197897927
16,3,"Cumulative",20,14.012430870591,0.398194225139753,0.0072587391126625
16,4,"Cumulative",20,8.91528227350737,0.399758932596748,0.0186837071545224
16,1,"Cumulative",40,142.792525114805,44.6079842458874,0.0522965697325123
16,2,"Cumulative",40,108.591393948598,44.712581918679,0.0244237867596104
16,3,"Cumulative",40,0.565586328103871,83.7821438218001,106.852953757702
16,4,"Cumulative",40,33.704778535162,44.7431600320697,0.737151332744575
17,1,"Cumulative",20,7.93006323284885,0.148627888443909,0.00673795653921924
17,2,"Cumulative",20,6.87779245224334,0.239228438755449,0.00673823623061328
17,3,"Cumulative",20,7.72580515145185,0.142080156553537,0.00673945668322705
17,4,"Cumulative",20,7.95691551268932,0.155284341603177,0.00673799437034794
17,1,"Cumulative",40,6.01940819305449,0.249808321656608,0.00673798242694392
17,2,"Cumulative",40,8.60248104821513,0.120720092424563,0.00673815155513254
17,3,"Cumulative",40,8.16952844481599,0.134069938633654,0.00673795454445674
17,4,"Cumulative",40,6.57777838290316,0.144468421509125,0.0067379734653338
18,1,"Cumulative",20,0.314479447929905,45.7128841809081,0.0856354480783076
18,2,"Cumulative",20,0.111487695646292,0.848230798572161,0.0301234363592826
18,3,"Cumulative",20,0.188781357694099,83.9472011855973,0.318293652787089
18,4,"Cumulative",20,0.0432205812169764,17.850253565284,0.0875760119581332
18,1,"Cumulative",40,0.0155064909815817,17.9648468909504,0.0245738962016172
18,2,"Cumulative",40,0.0473370689690559,28.9286153497925,0.0232346288310148
18,3,"Cumulative",40,0.0122869620020966,7.88266283678688,0.0974902106529468
18,4,"Cumulative",40,0.31331156974496,64.8684320113625,0.975353110561143
19,1,"Best",20,80.1148896568122,43.7749299833187,0.0224685454894806
19,2,"Best",20,2.75269730432745,0.116816051431611,0.146689694594403
19,3,"Best",20,27.0371946725121,0.647087280718329,0.00692175021824547
19,4,"Best",20,30.5994076128914,0.388782823911802,0.00674729724265966
19,1,"Best",40,0.0112890306035458,0.34160670329014,0.317627947414319
19,2,"Best",40,0.00674552037570968,0.243360674563012,0.16585499949527
19,3,"Best",40,0.00676325693344495,0.224912852964309,0.197714954273358
19,4,"Best",40,2.19595321631424,0.374701632861385,0.0750625267931479
20,1,"Best",20,8.03642625449551,0.209858984946642,0.00723985746577563
20,2,"Best",20,7.12077707958232,0.24249996485147,0.00673948642441527
20,3,"Best",20,0.0293188623891409,0.839458007608576,0.0101362344852869
20,4,"Best",20,8.48972800601144,0.223749521872354,0.00674105437849329
20,1,"Best",40,0.742349942022781,0.184163387869613,0.215113393854089
20,2,"Best",40,0.00673806453306576,0.136098762355758,0.146250772202583
20,3,"Best",40,9.88633571262135,0.316922736361208,0.00674348987432036
20,4,"Best",40,23.5248164803784,2.12140415665922,0.0156134686188877
21,1,"Best",20,0.0950783969384809,4.8777939013423,0.0284279298810676
21,2,"Best",20,0.338163579798493,13.5835537171104,0.747874282458646
21,3,"Best",20,0.512024074547804,29.8012528319324,0.067102959620391
21,4,"Best",20,0.240129568173976,5.97861958482321,0.0658379606055113
21,1,"Best",40,0.0118465358263137,0.669663614982426,0.0270333435413403
21,2,"Best",40,0.0460944816981357,5.96872038678279,0.0403969358974495
21,3,"Best",40,0.0157618488946566,28.7516179496534,0.078689877218273
21,4,"Best",40,0.081816946659881,10.5974973144585,0.193258157620465
