"participant","leaveoutindex","reward","horizon","lambda","beta","tau"
16,3,"Cumulative",40,0.554129929239536,0.615179935770634,0.123671496885963
16,4,"Cumulative",40,81.5205554578827,112.269558669139,0.291004275209806
17,1,"Cumulative",20,1.79279886461569,0.273051451838163,0.0728572579754355
17,2,"Cumulative",20,0.886388900398345,0.391699055983518,0.0735247524274874
17,3,"Cumulative",20,0.847626848079495,0.298148881444563,0.064179655607761
17,4,"Cumulative",20,0.863784690056985,0.336463873117461,0.0636387816392903
17,1,"Cumulative",40,0.511806294104722,0.319952052543178,0.0551564076109722
17,2,"Cumulative",40,0.754738244215393,0.315711686026506,0.0495953582471941
17,3,"Cumulative",40,0.626416268402476,0.268923842075309,0.0503302877833452
17,4,"Cumulative",40,0.591034799341433,0.274649828675294,0.0448753254148983
18,1,"Cumulative",20,0.814321661764614,0.446584174133593,0.0857252512505442
18,2,"Cumulative",20,0.803908168178495,0.504204538504565,0.092999815235684
18,3,"Cumulative",20,0.815339020612211,0.478852936395398,0.0863966632695168
18,4,"Cumulative",20,0.782915176435039,0.451585764515398,0.0808382486493182
18,1,"Cumulative",40,0.682454752478827,0.522278270550028,0.095873354561667
18,2,"Cumulative",40,0.711353593996159,0.541880888640099,0.0904102323884776
18,3,"Cumulative",40,0.702524126173861,0.518283155282774,0.0944874400344098
18,4,"Cumulative",40,0.698226074038774,0.511525701990879,0.0892037246034748
19,1,"Best",20,0.898842112386232,0.490006396710523,0.08718574107549
19,2,"Best",20,0.756742396660056,0.491559072556209,0.0954717223067745
19,3,"Best",20,0.709739898006112,0.573432893783108,0.105061009094708
19,4,"Best",20,0.739983631974435,0.543096186464871,0.0947819346813325
19,1,"Best",40,0.659931950557769,0.575874542403618,0.0963199905198293
19,2,"Best",40,0.669058254493681,0.54073431069195,0.0841393382118207
19,3,"Best",40,0.611403475738358,0.492535725861986,0.0785126700108224
19,4,"Best",40,0.654621103645931,0.553869846200399,0.096318992515937
20,1,"Best",20,1.31688827510842,0.63992879762907,0.121888961543886
20,2,"Best",20,31.0801563430205,25.9714404354812,0.145765056963483
20,3,"Best",20,1.52881601109173,1.35560179930986,0.211930362933495
20,4,"Best",20,1.36444678308189,0.793150097509496,0.147318595174527
20,1,"Best",40,1.29923563948783,1.48509066372218,0.228903432624425
20,2,"Best",40,1.04501641274721,0.884523773324079,0.144650082405154
20,3,"Best",40,0.9922328941297,0.873506845199534,0.151106888329411
20,4,"Best",40,0.995572471124398,1.06303639163035,0.188161196736491
21,1,"Best",20,0.553132188165205,0.782406842557992,0.132198936642643
21,2,"Best",20,0.533184950800605,0.912347479766456,0.189621955371308
21,3,"Best",20,0.644000839327076,0.560956720255031,0.112069621439047
21,4,"Best",20,0.547476523690936,0.853195607241352,0.161590194422188
21,1,"Best",40,0.6207723172854,0.642785191100943,0.112504137423241
21,2,"Best",40,0.667411450023729,0.624602587310375,0.106460312153931
21,3,"Best",40,0.588086813151164,0.677545728790634,0.105081369751383
21,4,"Best",40,0.637948222888884,0.575125890135369,0.0901320404792711
22,1,"Best",20,0.0377344698289086,147.530017764687,16.6176869565728
22,2,"Best",20,0.587684255902527,0.642357987970079,0.109662848057448
22,3,"Best",20,0.554099401193604,0.689696024755163,0.101495479845692
22,4,"Best",20,0.0203151547676273,148.309269733386,16.4801548141528
22,1,"Best",40,0.483451043415084,0.761375983615423,0.119526315709889
22,2,"Best",40,0.52908645610466,0.707792968527017,0.121449110614292
22,3,"Best",40,0.544475569472015,0.661565032765486,0.113780207088915
22,4,"Best",40,0.538191410374468,0.498123834404501,0.0833565648941884
23,1,"Cumulative",20,0.633795012783943,0.601933860999488,0.142909330501838
23,2,"Cumulative",20,0.589675494687371,0.632405340613768,0.160497376990211
23,3,"Cumulative",20,0.568169604863913,0.546303151481478,0.122201192315886
23,4,"Cumulative",20,0.637059568700848,0.544103828505745,0.113607315413475
23,1,"Cumulative",40,0.647494740443841,0.663255188388928,0.145120517114744
23,2,"Cumulative",40,0.684567248808521,0.705168492379579,0.146572623750468
23,3,"Cumulative",40,0.705798319509602,0.563410549026148,0.115442230325317
