"participant","leaveoutindex","reward","horizon","kError","beta","tau"
7,1,"Cumulative",20,11.6786852795493,0.0101979551161222,0.00673803740577949
7,2,"Cumulative",20,15.0577370311159,0.0124639602492251,0.0067380190239106
7,3,"Cumulative",20,12.0812250936444,0.0103178650393323,0.00673797001427175
7,4,"Cumulative",20,16.7810590119483,0.0116203616139148,0.00674174853869231
7,1,"Cumulative",40,4.25682939536858,0.0518514088720258,0.0230802362562039
7,2,"Cumulative",40,16.1000726640668,0.0150346434636964,0.00673825906228723
7,3,"Cumulative",40,7.01365457915832,0.0521150130172828,0.0227925584587113
7,4,"Cumulative",40,6.984239199659,0.0513729063875671,0.021677228369719
8,1,"Cumulative",20,15.9486058871302,0.015665948946045,0.00673794781632316
8,2,"Cumulative",20,9.72337516570503,0.0146698023436128,0.00673794955670202
8,3,"Cumulative",20,16.6775187264549,0.0147920444154739,0.00673858389261226
8,4,"Cumulative",20,2.47404864902023,0.148957648165332,0.063787229191618
8,1,"Cumulative",40,14.1398215235172,0.0124644572719922,0.00689644035540326
8,2,"Cumulative",40,6.40170048619037,0.0572752110659037,0.0268842590220122
8,3,"Cumulative",40,3.8181177786794,0.0715005945464194,0.0296968958817634
8,4,"Cumulative",40,14.2935389686988,0.0134459197570791,0.00676448281470202
9,1,"Cumulative",20,1.18068703894848,3.68891963065144,1.52814494759077
9,2,"Cumulative",20,0.556430329504501,84.0136812482765,19.2519382899606
9,3,"Cumulative",20,0.526261554241102,0.765540009840651,0.354794781352891
9,4,"Cumulative",20,0.591135338393884,44.7160519021896,20.0552484549179
9,1,"Cumulative",40,0.847293398757648,0.98183084179177,0.431135097290301
9,2,"Cumulative",40,0.473185831974732,0.848001744710885,0.389594647266103
9,3,"Cumulative",40,0.574755913124315,0.516267356460424,0.213953344378668
9,4,"Cumulative",40,0.557958651586225,0.838789035222645,0.354670115129899
10,1,"Cumulative",20,0.00673991503550991,0.416019395504536,0.198847028547774
10,2,"Cumulative",20,0.00673805273887769,0.202937701601239,0.0895317739682413
10,3,"Cumulative",20,0.00673846167411403,0.201494450037112,0.0915605741224249
10,4,"Cumulative",20,0.00673822203510625,0.189245960662571,0.0866969936769696
10,1,"Cumulative",40,0.00673805590861133,0.137077278463426,0.0603958566131922
10,2,"Cumulative",40,0.00673795957535575,0.122225674101835,0.0526330794486773
10,3,"Cumulative",40,0.00673796705568435,0.178665518457707,0.0741699737749308
10,4,"Cumulative",40,0.00673837502889177,0.14186635243482,0.0581852056109424
11,1,"Best",20,0.00678425290727011,44.1602245895596,17.9200913426212
11,2,"Best",20,0.00674223745374147,43.432800887507,20.1696865877804
11,3,"Best",20,0.00749304808488273,48.4044624708236,18.372186820348
11,4,"Best",20,0.00691894159814539,44.8252051136902,18.6548642109891
11,1,"Best",40,0.00675189896510522,44.8166869334956,19.3762376148517
11,2,"Best",40,0.00675330865614538,44.1914025922666,19.1387040213039
11,3,"Best",40,0.00675400593651426,43.0012564211554,21.3992920401454
11,4,"Best",40,0.00673909040598827,44.5995491820318,19.2834976537698
12,1,"Best",20,0.962377295250093,0.325371581683675,0.139987000558176
12,2,"Best",20,0.732553604622857,0.544940803781847,0.254061971648375
12,3,"Best",20,1.04899482149529,0.46799525207686,0.203760210746056
12,4,"Best",20,0.236908517696788,0.419881895060481,0.190689084655722
12,1,"Best",40,0.00674591504149091,44.6787551668597,18.5510696599562
12,2,"Best",40,0.00676823422850156,44.107335391675,18.5235354735551
12,3,"Best",40,0.168999253814206,46.0996398172692,16.756356480381
12,4,"Best",40,0.00673944208911621,44.6706537046471,19.8123133860052
13,1,"Best",20,0.00674956071028175,44.5438490336565,22.7055308006335
13,2,"Best",20,0.00674326756672186,44.2245037966536,20.0605288442665
13,3,"Best",20,0.00674778274470265,44.7280030548736,22.5381071893278
13,4,"Best",20,0.00674085706560091,44.4546201986801,22.2049665054007
13,1,"Best",40,0.00673970108503264,44.7616204741181,19.7563090608294
13,2,"Best",40,0.00673989415544183,44.6021126324588,19.5421801268501
13,3,"Best",40,0.00676853371840092,44.6762127128765,20.6603020001063
13,4,"Best",40,0.00673808925154068,44.7291944452752,20.9599488412947
14,1,"Best",20,0.00673962436952642,44.7324239859408,22.6616241649771
14,2,"Best",20,0.00674615878015493,44.6332968904414,26.3123191527156
14,3,"Best",20,0.00673865946175452,44.499491345207,21.4492919733802
14,4,"Best",20,0.0067755414674007,44.0444165571058,24.0565698993177
14,1,"Best",40,0.0957585888156884,0.83474109100044,0.559384326033863
