"participant","leaveoutindex","reward","horizon","lambda","beta","tau"
6,3,"Best",40,1.00739431642311,0.00673794827199017,0.326644007088764
6,4,"Best",40,0.927048971310592,0.00673794978937642,0.324625616048882
7,1,"Cumulative",20,1.07918341097181,0.0315679491830873,0.0208023486298745
7,2,"Cumulative",20,0.836456611925779,0.00673794703748732,0.073976018982537
7,3,"Cumulative",20,0.868431175727075,0.00673794739281573,0.0867396942224476
7,4,"Cumulative",20,0.855804955106216,0.00673794708079669,0.0838286367910287
7,1,"Cumulative",40,0.920251190952119,0.00673794738997083,0.023907368459235
7,2,"Cumulative",40,1.16957396690076,0.00673794701118325,0.0809868690938869
7,3,"Cumulative",40,1.18395543348042,0.00673794700064624,0.074852465772075
7,4,"Cumulative",40,1.20072321535387,0.00673794700720274,0.0778999446640572
8,1,"Cumulative",20,0.889208844677647,0.00673794700367279,0.0503111914747514
8,2,"Cumulative",20,0.85156193790363,0.00673794957531534,0.0363328686622929
8,3,"Cumulative",20,0.93143102248956,0.00673794724528837,0.0553009019507805
8,4,"Cumulative",20,0.890804721848821,0.00673794703555487,0.0585130743913991
8,1,"Cumulative",40,0.707095998520892,0.162733552597407,0.0269298029210514
8,2,"Cumulative",40,0.85973591293871,0.0067379541540974,0.044812715738975
8,3,"Cumulative",40,0.852346909640972,0.0067379475951662,0.031193768839337
8,4,"Cumulative",40,1.00855340429564,0.00673794806525314,0.0344217285542166
9,1,"Cumulative",20,1.14065960262117,0.00673794778241686,0.139261618476063
9,2,"Cumulative",20,1.14686591632462,0.00673836295792088,0.133321676001228
9,3,"Cumulative",20,1.0935005524917,0.00673799585877066,0.142508603861747
9,4,"Cumulative",20,1.17008010537308,0.00673865359508271,0.11288601972784
9,1,"Cumulative",40,0.389203029397334,0.529449229654457,0.00680300163292975
9,2,"Cumulative",40,0.470055272481015,0.493370943841476,0.173330965738059
9,3,"Cumulative",40,0.493037915102304,0.391165996407685,0.107058126431932
9,4,"Cumulative",40,0.375848236535885,0.535212598815289,0.00673943062860197
10,1,"Cumulative",20,1.52914284515117,0.0242330026255786,0.112079945003448
10,2,"Cumulative",20,1.24203513395551,0.0151763176010617,0.106659114296868
10,3,"Cumulative",20,1.26153255840872,0.00673958967877118,0.115333244110083
10,4,"Cumulative",20,1.22385498116389,0.0214198206452253,0.0945237985366914
10,1,"Cumulative",40,1.11740361164064,0.00673795859416229,0.0835842393826458
10,2,"Cumulative",40,0.973460194714657,0.00673794711650861,0.0817857167769886
10,3,"Cumulative",40,1.00697355489011,0.00673794812459034,0.105196976410023
10,4,"Cumulative",40,0.979226632189567,0.0067379472612664,0.079723786020567
11,1,"Best",20,0.470496544176166,0.411502868684091,0.00673794843495655
11,2,"Best",20,0.480013812876447,0.399904453583385,0.00673794715237598
11,3,"Best",20,0.485238860359076,0.404859347402314,0.00673802948288066
11,4,"Best",20,0.483345083121383,0.40909723411186,0.0067389206020469
11,1,"Best",40,0.424872102545119,0.523486348147521,0.00673794718761303
11,2,"Best",40,0.435937391497566,0.520532396793372,0.00673795080271159
11,3,"Best",40,0.442606983396627,0.418657817805115,0.00673794707390471
11,4,"Best",40,0.424474091533512,0.523316123561566,0.00673794800202612
12,1,"Best",20,1.08418649820847,0.0067379538633284,0.114464001925233
12,2,"Best",20,1.11226124627465,0.0067399076183396,0.127382230154743
12,3,"Best",20,1.13882898226172,0.00673794702121605,0.131719936395608
12,4,"Best",20,1.19684073460398,0.00673798161496904,0.131429298024071
12,1,"Best",40,0.315088971026803,0.498755581973701,0.00673794720687197
12,2,"Best",40,0.0200798681265488,147.506432216463,30.2119660099432
12,3,"Best",40,0.193729779180864,100.063432996266,30.4093656931262
12,4,"Best",40,0.0813843798121395,138.437060705284,30.2485286584366
13,1,"Best",20,0.444955204844461,0.509179442011268,0.00674326101664198
13,2,"Best",20,0.431978631900363,0.508801722447345,0.00673840259536763
13,3,"Best",20,0.432139929995833,0.351360660521988,0.00685598755779719
13,4,"Best",20,0.432600871660121,0.511365341442143,0.0067379631155774
13,1,"Best",40,0.398105609178343,0.515737671908753,0.00673828685271197
13,2,"Best",40,0.415582400202295,0.505160630251325,0.00694127066056314
13,3,"Best",40,1.22083708739741,0.0598677509840624,0.140780187487494
13,4,"Best",40,0.411721670088307,0.51759067500746,0.0067379478100752
14,1,"Best",20,0.438950951769455,0.507148856608002,0.00674163271856407
14,2,"Best",20,0.472368413077497,0.447979107067384,0.00681355775228074
14,3,"Best",20,0.456479514509613,0.503969382767337,0.00673835241391559
14,4,"Best",20,0.452917699250759,0.498750007173992,0.006739480717669
14,1,"Best",40,1.03310264464149,0.203900644123115,0.0802479096285011
14,2,"Best",40,0.43346038659802,0.518137967652576,0.00673796017192885
14,3,"Best",40,0.421035577263924,0.524258916828,0.00673794850386824
14,4,"Best",40,0.430396543078289,0.529012774107516,0.00673795277406817
15,1,"Cumulative",20,0.496950861401113,0.50701967645661,0.00673794968156289
15,2,"Cumulative",20,0.455611585944929,0.466424661150598,0.00673795030225368
15,3,"Cumulative",20,0.482669584160229,0.519491441090067,0.00818027924669153
15,4,"Cumulative",20,0.465979612728552,0.516701093575508,0.00673796263910491
15,1,"Cumulative",40,0.458109252733334,0.47766530022209,0.00673794933215574
15,2,"Cumulative",40,0.449726085991666,0.505277313079589,0.00673805941416722
15,3,"Cumulative",40,0.435578369343378,0.507974712563193,0.00673794984046389
15,4,"Cumulative",40,0.436262069958239,0.505452217958242,0.00673794711736083
16,1,"Cumulative",20,1.23297502385953,0.0301705582854244,0.0982563294299139
16,2,"Cumulative",20,1.22807540211768,0.0177965914929481,0.113742750239645
16,3,"Cumulative",20,0.461222687594797,0.495461507146459,0.00674863606492397
16,4,"Cumulative",20,1.25293368638433,0.00979123631253172,0.11098539393068
16,1,"Cumulative",40,1.1800802306461,0.00688721735299541,0.187195556848506
16,2,"Cumulative",40,1.19266718707817,0.00674304727763313,0.217059018068682
16,3,"Cumulative",40,1.15286982771085,0.00675591593293759,0.210888384877053
16,4,"Cumulative",40,1.15836183189273,0.00673796087708546,0.222680101849887
17,1,"Cumulative",20,1.31024988625195,0.117866120523734,0.0730498274299796
17,2,"Cumulative",20,0.573213307627121,0.432538614311059,0.0103147449739924
17,3,"Cumulative",20,1.1416414449971,0.0570741035805927,0.0625860819121121
17,4,"Cumulative",20,0.752027968830197,0.289992373266914,0.0303530613872985
17,1,"Cumulative",40,0.464105447634986,0.396297388975199,0.00889638973520407
17,2,"Cumulative",40,0.743970625037012,0.255124816586945,0.0213760424948527
17,3,"Cumulative",40,0.652417548095116,0.265948383771744,0.0139670712046237
17,4,"Cumulative",40,0.656853374514351,0.236307382092733,0.017217476405866
18,1,"Cumulative",20,0.461210423213496,0.492278465887439,0.00673800785357088
18,2,"Cumulative",20,0.45395507325095,0.733037373295108,0.0067380536799357
18,3,"Cumulative",20,0.466994348189701,0.501277536714931,0.0067380521781495
18,4,"Cumulative",20,0.453498255636965,0.50198554129199,0.00673878205096261
18,1,"Cumulative",40,0.437518490081387,0.517395499820175,0.0067379470743412
18,2,"Cumulative",40,0.459167296863765,0.514602980660903,0.00673795988400019
18,3,"Cumulative",40,0.443031500759581,0.517679998743876,0.00673794905852176
18,4,"Cumulative",40,0.462684244665047,0.503770019371812,0.00673796837502768
19,1,"Best",20,0.428352991011245,0.501699246787032,0.00675563320788323
19,2,"Best",20,1.16126383424305,0.0746576054825431,0.109337162125099
19,3,"Best",20,1.17453820968541,0.0469687539177866,0.1182605576318
19,4,"Best",20,1.15733086607034,0.0635839101237966,0.112515001253553
19,1,"Best",40,1.10859813021571,0.00673820259404398,0.162435449211008
19,2,"Best",40,0.438674106180555,0.494139020480685,0.00675972169368081
19,3,"Best",40,1.07453426075277,0.00675646917407002,0.132141491999359
19,4,"Best",40,0.457765106392629,0.502610502886115,0.00712674573878428
20,1,"Best",20,0.93641962796471,0.195535188346612,0.0955505810399154
20,2,"Best",20,133.832200349038,13.0923199351956,0.164407924434907
20,3,"Best",20,0.859119040185632,0.58055004341773,0.0915795780310946
20,4,"Best",20,1.35491882862924,0.0640674833970735,0.171518671406154
20,1,"Best",40,0.858659535584574,0.380172076711804,0.159092251744039
20,2,"Best",40,0.701967348345516,0.279028493269665,0.089149759765029
20,3,"Best",40,0.653062176702505,0.371821687504501,0.082254331384459
20,4,"Best",40,0.742320193981172,0.301125516417638,0.120650709473144
21,1,"Best",20,0.404843745673796,0.513787532652411,0.00673794721733613
21,2,"Best",20,0.391501557001569,0.518016523665363,0.00673798551367899
21,3,"Best",20,148.395409570573,0.886300569130575,0.0915070048445267
21,4,"Best",20,0.41871875241189,0.513802012237435,0.00673794961388134
21,1,"Best",40,0.41022004380324,0.520751668852041,0.00673808459309151
21,2,"Best",40,0.414846627695751,0.500893863920123,0.00673795503748489
21,3,"Best",40,0.422259069577867,0.517558989930387,0.0067379915125665
21,4,"Best",40,0.424748189664576,0.517095671704982,0.00673795834216318
22,1,"Best",20,1.12044570299743,0.00673795383138167,0.120743334926485
22,2,"Best",20,1.15192367114829,0.0067386865126911,0.134453185796834
22,3,"Best",20,0.413426073492188,0.500751232795815,0.00673797566566224
22,4,"Best",20,1.19443603880144,0.00673804501351592,0.118294801484014
22,1,"Best",40,0.377107235206158,0.432607133012616,0.0067379470429208
22,2,"Best",40,0.340263586364192,0.447641038585133,0.00673794703770799
22,3,"Best",40,0.379780147310432,0.433962648159674,0.00673794709853292
22,4,"Best",40,0.253074262909206,0.397027755468014,0.00673794700853989
23,1,"Cumulative",20,0.422901300936779,0.484478987962418,0.0067379660699612
23,2,"Cumulative",20,1.32957712351895,0.0180855921801023,0.129696010905932
23,3,"Cumulative",20,1.25245226319574,0.0067419130143609,0.117982610128147
23,4,"Cumulative",20,1.21244958426099,0.00673798339536961,0.0999772766590698
23,1,"Cumulative",40,0.284622637434522,99.9788526469548,54.9189759049178
23,2,"Cumulative",40,0.280128032497802,99.8628687655001,63.4019029385105
23,3,"Cumulative",40,0.600665239462822,0.3494917163546,0.120890261696326
23,4,"Cumulative",40,0.381995917704422,0.538181750703805,0.00673821676427617
24,1,"Cumulative",20,1.07858797573711,0.0177983454876333,0.112672880341159
24,2,"Cumulative",20,1.03988493619844,0.0068615507504856,0.118780000062222
24,3,"Cumulative",20,0.404311186298818,0.448127557732651,0.00687542844679497
24,4,"Cumulative",20,1.19931107853424,0.00702519762362494,0.098714893377035
24,1,"Cumulative",40,0.424627391604182,0.504993511619216,0.00675855793117115
