"","trial","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,47.536583,0.212451007638175,47.536583,0.212451007638175,"GP-UCB"
"2",2,48.740533,0.215286004061912,58.918236,0.181541658723874,"GP-UCB"
"3",3,50.271143,0.221580231442816,64.967286,0.165903866798584,"GP-UCB"
"4",4,51.296115,0.226761493223956,68.869297,0.155882088214527,"GP-UCB"
"5",5,52.185866,0.229485059148176,71.62018,0.150133889076467,"GP-UCB"
"6",6,53.441968,0.229262283505511,73.845882,0.144947448934098,"GP-UCB"
"7",7,54.03969,0.235165295407308,75.612636,0.141354284931647,"GP-UCB"
"8",8,54.894589,0.234208593684441,77.076839,0.137981066640619,"GP-UCB"
"9",9,54.774923,0.238850413337307,78.343048,0.135126729577365,"GP-UCB"
"10",10,55.744703,0.241082581938867,79.435851,0.13286370503637,"GP-UCB"
"11",11,56.669873,0.241320537152461,80.442791,0.130471608590132,"GP-UCB"
"12",12,57.342724,0.242725316417356,81.349931,0.128216287686732,"GP-UCB"
"13",13,57.369112,0.242940030062907,82.101558,0.126576823694124,"GP-UCB"
"14",14,57.773537,0.246614770402061,82.826962,0.124846578615014,"GP-UCB"
"15",15,58.191128,0.245284387175011,83.43267,0.123636551863944,"GP-UCB"
"16",16,58.887246,0.245145547868021,84.068951,0.122344605337569,"GP-UCB"
"17",17,58.955359,0.247703508675055,84.610822,0.121131631111106,"GP-UCB"
"18",18,59.205729,0.247575728763955,85.123717,0.119551039002109,"GP-UCB"
"19",19,59.703149,0.246749714641269,85.596303,0.117950464981864,"GP-UCB"
"20",20,59.714915,0.248248083904778,86.024286,0.116867546938289,"GP-UCB"
"21",21,60.074973,0.249369608296764,86.41552,0.115986141799221,"GP-UCB"
"22",22,60.321528,0.251308213790066,86.861357,0.114348551787877,"GP-UCB"
"23",23,60.066022,0.251269731737351,87.197952,0.113430152924735,"GP-UCB"
"24",24,60.874728,0.251056042365529,87.570711,0.112332369300069,"GP-UCB"
"25",25,61.121752,0.249888809222716,87.938824,0.111209257130823,"GP-UCB"
"26",26,61.722266,0.251353232907981,88.286315,0.110242301779252,"GP-UCB"
"27",27,61.82265,0.251626562871379,88.606351,0.109104865595672,"GP-UCB"
"28",28,61.892607,0.253412136197997,88.910927,0.107879841449115,"GP-UCB"
"29",29,62.042898,0.254218838290819,89.217481,0.106942864867641,"GP-UCB"
"30",30,62.484204,0.255618398487282,89.504396,0.106187511121931,"GP-UCB"
"31",31,62.535364,0.252841093334526,89.793666,0.105046644695586,"GP-UCB"
"32",32,62.311937,0.25478162415175,90.028543,0.104193765719435,"GP-UCB"
"33",33,63.09673,0.254340652707097,90.262923,0.103241193014226,"GP-UCB"
"34",34,62.957309,0.255562842286369,90.492716,0.102343713827037,"GP-UCB"
"35",35,63.35344,0.255698944604132,90.72487,0.101425601322202,"GP-UCB"
"36",36,63.169663,0.257257456299181,90.917173,0.100536078847954,"GP-UCB"
"37",37,63.147842,0.256866426113632,91.130284,0.099577905570775,"GP-UCB"
"38",38,63.83752,0.257722531190558,91.326661,0.0990085231021683,"GP-UCB"
"39",39,63.621962,0.258396091087006,91.539604,0.0981467411511878,"GP-UCB"
"40",40,63.898306,0.260695254280926,91.734373,0.0973282886845594,"GP-UCB"
"41",41,64.222474,0.258816074052504,91.940452,0.0964645233025862,"GP-UCB"
