"","trial","Environment","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,"Smooth",47.4799102498087,2.07787660398632,47.4799102498087,2.07787660398632,"LocalGP-UCB"
"2",2,"Smooth",49.5408563815545,2.1210355571825,57.6521753609436,1.89513112116532,"LocalGP-UCB"
"3",3,"Smooth",54.128953862276,2.30007672073933,64.8524011081622,1.80615432610058,"LocalGP-UCB"
"4",4,"Smooth",51.461783790393,2.2005026845901,68.6234917456933,1.67334349217323,"LocalGP-UCB"
"5",5,"Smooth",52.991745054984,2.08929892100292,71.7998639777369,1.52683400693349,"LocalGP-UCB"
"6",6,"Smooth",51.3203896210298,2.15552086358185,74.0197158655571,1.49494540717131,"LocalGP-UCB"
"7",7,"Smooth",53.4490597041565,2.26754498630116,76.2811202144387,1.41736889845122,"LocalGP-UCB"
"8",8,"Smooth",53.972704327528,2.20531014738607,78.4986097627062,1.35510192617708,"LocalGP-UCB"
"9",9,"Smooth",58.1017588581492,2.07178966632299,80.0450541921653,1.33448190476209,"LocalGP-UCB"
"10",10,"Smooth",58.0771121186296,2.06762697131795,81.4020380089968,1.28689520761614,"LocalGP-UCB"
"11",11,"Smooth",51.0701783294917,2.51826701360605,83.0414525405902,1.26389377552174,"LocalGP-UCB"
"12",12,"Smooth",55.3093364360753,2.19878425182775,84.0363681137274,1.23938017739277,"LocalGP-UCB"
"13",13,"Smooth",49.6854347953177,2.27571201770472,84.0447359413177,1.23924845222464,"LocalGP-UCB"
"14",14,"Smooth",52.5323574309214,2.21868361789868,84.7156745945032,1.2299491135687,"LocalGP-UCB"
"15",15,"Smooth",51.2252220443892,1.90380652567637,84.8525838248567,1.22784363344009,"LocalGP-UCB"
"16",16,"Smooth",54.4590749006468,2.19126086941019,86.2352596184447,1.16274928493366,"LocalGP-UCB"
"17",17,"Smooth",54.7419273881,2.24919186015641,87.0120236712462,1.1368537679421,"LocalGP-UCB"
"18",18,"Smooth",58.7214044190177,1.8655809617235,87.4854370494717,1.11906687479845,"LocalGP-UCB"
"19",19,"Smooth",52.7261704459603,2.33868930946819,87.9180466595963,1.11307530726527,"LocalGP-UCB"
"20",20,"Smooth",55.9600215925207,2.35696664370147,88.4878868179688,1.09818860419909,"LocalGP-UCB"
"21",21,"Smooth",53.5403615412729,2.45342152900578,88.9518711524777,1.10878208432167,"LocalGP-UCB"
"22",22,"Smooth",56.6007776979651,2.19990937433954,89.6818478059395,1.08146137175572,"LocalGP-UCB"
"23",23,"Smooth",50.3190858538376,2.22276263684813,89.8741103803487,1.08179427131057,"LocalGP-UCB"
"24",24,"Smooth",54.6769506460152,2.05607936900391,90.089101059771,1.07504433585736,"LocalGP-UCB"
"25",25,"Smooth",54.6313935602595,2.12992560813901,90.4855515108251,1.03282749315671,"LocalGP-UCB"
"26",26,"Smooth",49.9951235465493,2.17545446008546,90.6173531468767,1.01134883410331,"LocalGP-UCB"
"27",27,"Smooth",55.5217277469793,2.21943216260718,90.7610552476824,0.999448002150166,"LocalGP-UCB"
"28",28,"Smooth",55.5162748778816,2.28764263482065,91.0250558090465,1.00016988618544,"LocalGP-UCB"
"29",29,"Smooth",57.0795377313757,2.21561758165317,91.1947148638972,1.00279626680515,"LocalGP-UCB"
"30",30,"Smooth",56.3260539559155,2.36048433398462,91.5491506574038,0.979483083442905,"LocalGP-UCB"
"31",31,"Smooth",59.3572559791617,2.36553173979069,92.0760180235649,0.950766887371434,"LocalGP-UCB"
"32",32,"Smooth",56.9934457522611,2.4391808591134,92.4711039917461,0.914988176251764,"LocalGP-UCB"
"33",33,"Smooth",61.2851102251423,2.3586636842336,92.9273277916882,0.900217334314624,"LocalGP-UCB"
"34",34,"Smooth",53.8988156516182,2.25616050351718,93.2408987422878,0.888809241391445,"LocalGP-UCB"
"35",35,"Smooth",55.9580313283196,2.19217380596347,93.2425094376264,0.888462607411217,"LocalGP-UCB"
"36",36,"Smooth",56.3701595785484,2.32486895428144,93.3336839310422,0.884792488861933,"LocalGP-UCB"
"37",37,"Smooth",55.2067495130408,2.46420464542554,93.7716342939135,0.866722187209249,"LocalGP-UCB"
"38",38,"Smooth",57.3128504611797,2.50361413899967,93.9119382732903,0.849114956095079,"LocalGP-UCB"
"39",39,"Smooth",56.5918533902234,2.35480513660243,94.4253282173095,0.78891483152334,"LocalGP-UCB"
"40",40,"Smooth",58.7015388083282,2.2766943557794,94.6033974440798,0.776790171294852,"LocalGP-UCB"
"41",41,"Smooth",56.8061287677564,2.34606014578215,94.6038434107718,0.776720266601008,"LocalGP-UCB"
"42",1,"Rough",47.0619433467456,2.13940104012636,47.0619433467456,2.13940104012636,"LocalGP-UCB"
"43",2,"Rough",49.6682371174921,2.31293712464831,58.8364466051298,2.02393486169305,"LocalGP-UCB"
"44",3,"Rough",51.8520139434632,2.11491223494461,63.5172689492887,1.85681149039123,"LocalGP-UCB"
"45",4,"Rough",50.1580231091804,2.06881442855122,67.7217478502262,1.69080334915429,"LocalGP-UCB"
"46",5,"Rough",54.5118331568388,2.00616444047216,72.7702147266829,1.4618602349719,"LocalGP-UCB"
"47",6,"Rough",55.8567278960721,2.20714236069529,75.3657991994089,1.31003991790588,"LocalGP-UCB"
"48",7,"Rough",55.6558694940519,1.96755245473502,76.3718280661115,1.32646544535265,"LocalGP-UCB"
"49",8,"Rough",54.3141374365833,2.24792071256173,78.1180936859863,1.2828154041281,"LocalGP-UCB"
"50",9,"Rough",56.7842020887712,2.12511013310329,80.2449538033251,1.27284177555303,"LocalGP-UCB"
