"","trial","Environment","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,"Smooth",47.3922207245585,0.206033532093931,47.3922207245585,0.206033532093931,"GP-UCB"
"2",2,"Smooth",49.0394558368312,0.215352222089995,59.0711755045943,0.177152881018302,"GP-UCB"
"3",3,"Smooth",51.2312865827331,0.222122633148896,65.531514953593,0.163528239625398,"GP-UCB"
"4",4,"Smooth",52.724734129061,0.223241544920258,69.6187044826203,0.155265940605288,"GP-UCB"
"5",5,"Smooth",54.3304055278544,0.22959550445747,72.7715193441684,0.149478370715753,"GP-UCB"
"6",6,"Smooth",55.9942502736536,0.234592802668129,75.4084217654209,0.144746856747688,"GP-UCB"
"7",7,"Smooth",57.4479356375084,0.236077373159434,77.5398104356108,0.140837663411161,"GP-UCB"
"8",8,"Smooth",58.4637173213554,0.238908762835559,79.4137365089627,0.13653461661024,"GP-UCB"
"9",9,"Smooth",59.1433025528918,0.240181996834914,80.8730627236537,0.133179682352812,"GP-UCB"
"10",10,"Smooth",60.1934190237507,0.240288406381649,82.2685143501697,0.128900702433421,"GP-UCB"
"11",11,"Smooth",61.2194788782392,0.242792428438735,83.5318029067745,0.125986628092829,"GP-UCB"
"12",12,"Smooth",62.0871038840569,0.241710588692464,84.5695290810658,0.122919884642213,"GP-UCB"
"13",13,"Smooth",62.5348696244056,0.244292043000169,85.4551566343895,0.119652730682021,"GP-UCB"
"14",14,"Smooth",62.7521936659562,0.246106342649779,86.304170837808,0.116723605569334,"GP-UCB"
"15",15,"Smooth",63.6088866267385,0.243483891445552,87.0555907824966,0.114042356331923,"GP-UCB"
"16",16,"Smooth",64.2506127222898,0.245649689309269,87.8119713020747,0.110926071984147,"GP-UCB"
"17",17,"Smooth",64.5646811967904,0.247317194125231,88.4938930394978,0.108131543259294,"GP-UCB"
"18",18,"Smooth",65.0414123597251,0.246877317994394,89.1078860426814,0.105152052409127,"GP-UCB"
"19",19,"Smooth",65.4315114777121,0.249472832516325,89.6653456305325,0.102606871014107,"GP-UCB"
"20",20,"Smooth",65.5295926839691,0.249801840251034,90.1726669642858,0.100410587485536,"GP-UCB"
