"","trial","Environment","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,"Smooth",47.4169994985527,0.20801529312948,47.4169994985527,0.20801529312948,"Local Search"
"2",2,"Smooth",47.4188648158482,0.206869122173461,57.7240832244437,0.183395030476271,"Local Search"
"3",3,"Smooth",47.3653950039533,0.209228282041498,63.0554230649559,0.170273778812648,"Local Search"
"4",4,"Smooth",47.264069181745,0.207004994356251,66.4893496832864,0.161051336536374,"Local Search"
"5",5,"Smooth",47.4521055770346,0.205143828893038,68.9823845432681,0.154622868650965,"Local Search"
"6",6,"Smooth",47.1442663068934,0.206889345652885,70.9194226769215,0.149389698462979,"Local Search"
"7",7,"Smooth",47.2554495376963,0.207759278627451,72.6208634331983,0.145182951073303,"Local Search"
"8",8,"Smooth",47.1936411440858,0.207516653196464,74.0562262839211,0.141631306627727,"Local Search"
"9",9,"Smooth",47.3481429509374,0.207094410111212,75.1668121510772,0.138935595222785,"Local Search"
"10",10,"Smooth",47.4557589801167,0.207629747137887,76.2503249525929,0.136287274844327,"Local Search"
"11",11,"Smooth",47.2843883022097,0.208100815948621,77.1731152766902,0.13402964114173,"Local Search"
"12",12,"Smooth",47.1946479317528,0.206807805124082,77.9996656348842,0.131482758707667,"Local Search"
"13",13,"Smooth",46.8928497613814,0.20900735165108,78.7251973309244,0.129704995144627,"Local Search"
"14",14,"Smooth",47.3736077195376,0.207045595112857,79.3780671252505,0.128403684983677,"Local Search"
"15",15,"Smooth",47.3475613605045,0.209406051484706,80.0675291043172,0.126706582573891,"Local Search"
"16",16,"Smooth",47.3733462857789,0.206818335073446,80.640025160637,0.124912750826863,"Local Search"
"17",17,"Smooth",46.8108809823486,0.207744051623699,81.1651183299244,0.123523040850108,"Local Search"
"18",18,"Smooth",47.0801718957954,0.204533788557842,81.6532676232018,0.12218285484884,"Local Search"
"19",19,"Smooth",47.9108897028804,0.209534901414826,82.190539440005,0.120786503991383,"Local Search"
"20",20,"Smooth",47.3922698547891,0.208364922520822,82.6423794773809,0.119273117976029,"Local Search"
