"","trial","Environment","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,"Smooth",47.3420657081529,0.207771647035665,47.3420657081529,0.207771647035665,"BMT-UCB"
"2",2,"Smooth",47.1248389439055,0.210952218653756,58.9519648229136,0.177233706135524,"BMT-UCB"
"3",3,"Smooth",47.4052193401459,0.210070594351705,64.787133267408,0.162911885440505,"BMT-UCB"
"4",4,"Smooth",47.656352021832,0.207691024792017,68.5897149787286,0.153427515258491,"BMT-UCB"
"5",5,"Smooth",47.3373291937543,0.207916452278746,71.3638234557772,0.146039293725863,"BMT-UCB"
"6",6,"Smooth",47.3973512013367,0.208890310555901,73.5134140855378,0.140477091435508,"BMT-UCB"
"7",7,"Smooth",47.5593601076922,0.209721278290185,75.3792410010087,0.135319001242036,"BMT-UCB"
"8",8,"Smooth",47.6076041654791,0.20698001308882,76.8372513401243,0.130865732562078,"BMT-UCB"
"9",9,"Smooth",47.576688685116,0.207259403731634,78.1334647229333,0.127991503086216,"BMT-UCB"
"10",10,"Smooth",47.5739448077832,0.207777410941837,79.2313155705134,0.124631908554979,"BMT-UCB"
"11",11,"Smooth",47.528324169098,0.208190024413939,80.2186237339245,0.121487550952747,"BMT-UCB"
"12",12,"Smooth",47.7251386027648,0.208835186508466,81.1413253030094,0.118826707119169,"BMT-UCB"
"13",13,"Smooth",47.2874327636258,0.209151927101756,81.8829718876537,0.116561046207912,"BMT-UCB"
"14",14,"Smooth",47.0497288886149,0.208887414222795,82.5626517267677,0.114132728019362,"BMT-UCB"
"15",15,"Smooth",47.3851361578255,0.209865172044246,83.2312342629743,0.111955220448054,"BMT-UCB"
"16",16,"Smooth",47.2959372589918,0.209400518925203,83.8437497422497,0.110193757584155,"BMT-UCB"
"17",17,"Smooth",47.4620329927996,0.20745744301371,84.3542781381142,0.108533040170535,"BMT-UCB"
"18",18,"Smooth",47.2918873691084,0.208485381578334,84.8220239550952,0.106924229188992,"BMT-UCB"
"19",19,"Smooth",47.5386326014328,0.20962110804554,85.3283134591123,0.105221999614539,"BMT-UCB"
"20",20,"Smooth",47.4359575488842,0.209658395226089,85.8015615603374,0.103541384913485,"BMT-UCB"
"21",21,"Smooth",47.3786977663044,0.208902863382609,86.1631153978103,0.102562750660706,"BMT-UCB"
"22",22,"Smooth",47.245922811785,0.20563675274856,86.4865838826504,0.101410361239396,"BMT-UCB"
"23",23,"Smooth",47.2845353901076,0.210194537721518,86.8681540628521,0.100018519605512,"BMT-UCB"
"24",24,"Smooth",47.4009398617934,0.209952126694204,87.2453376463757,0.0985351126362063,"BMT-UCB"
"25",25,"Smooth",46.9708491884111,0.207451507029583,87.5424174744131,0.0973313112869013,"BMT-UCB"
"26",26,"Smooth",47.599145139081,0.208134298651197,87.8654427006338,0.0959188360424766,"BMT-UCB"
"27",27,"Smooth",47.2408873299978,0.205325263537981,88.1199227408218,0.0951638850200368,"BMT-UCB"
"28",28,"Smooth",47.4778922177641,0.207881098817492,88.4173042698543,0.0940543888719596,"BMT-UCB"
"29",29,"Smooth",47.4649427291181,0.208846635383441,88.6567750243957,0.0931494633944502,"BMT-UCB"
"30",30,"Smooth",47.0711598941656,0.207802204367289,88.9117619307212,0.0922941543402904,"BMT-UCB"
"31",31,"Smooth",47.4600328972543,0.210241105997027,89.1928575129137,0.0913495961055471,"BMT-UCB"
"32",32,"Smooth",48.0472984150258,0.20827047198265,89.4441674628527,0.0902988252112886,"BMT-UCB"
"33",33,"Smooth",47.3930805439675,0.208721709471205,89.6612384128597,0.0892903936181536,"BMT-UCB"
"34",34,"Smooth",47.3036189425245,0.209228663397883,89.8738527839901,0.088505776081711,"BMT-UCB"
"35",35,"Smooth",47.4861217537598,0.206341309651409,90.0832094238568,0.0876183159521606,"BMT-UCB"
"36",36,"Smooth",47.1072476829648,0.208864190513967,90.2919252349017,0.0866425803282236,"BMT-UCB"
"37",37,"Smooth",47.7079173839483,0.205867831432386,90.4881942722851,0.0859864661456447,"BMT-UCB"
"38",38,"Smooth",47.7282221474066,0.209741465955204,90.7085661766508,0.0851461694578462,"BMT-UCB"
"39",39,"Smooth",47.6159668542947,0.207349907692934,90.8984508375606,0.084218033438464,"BMT-UCB"
"40",40,"Smooth",47.4163567552512,0.210059200114948,91.0976222681559,0.0832722895856349,"BMT-UCB"
"41",41,"Smooth",47.4918239075431,0.208513626857443,91.2774417069976,0.0825703815586421,"BMT-UCB"
"42",1,"Rough",47.052512431534,0.205673936786585,47.052512431534,0.205673936786585,"BMT-UCB"
"43",2,"Rough",47.1653075152592,0.208568285361495,58.6903697620334,0.176588131521637,"BMT-UCB"
"44",3,"Rough",47.6091771833213,0.207079150799213,64.6717268730213,0.160851474635117,"BMT-UCB"
"45",4,"Rough",47.5469140360601,0.206386234747815,68.3835443800758,0.151567074769777,"BMT-UCB"
"46",5,"Rough",47.4105657818243,0.207511202024582,71.1382040452931,0.145055948057175,"BMT-UCB"
"47",6,"Rough",47.6204659840213,0.208375023777359,73.3106328914963,0.139507742601949,"BMT-UCB"
"48",7,"Rough",47.7955570414805,0.209424966982052,75.169581222391,0.134515424104536,"BMT-UCB"
"49",8,"Rough",47.3088670181605,0.210581150096437,76.600590689061,0.131274071063414,"BMT-UCB"
"50",9,"Rough",47.5561057455941,0.207986244523135,77.8907049678829,0.127959753114697,"BMT-UCB"
"51",10,"Rough",47.2476006966394,0.210867911131165,79.0451836723343,0.124645010510292,"BMT-UCB"
"52",11,"Rough",47.4217635768976,0.209214114695918,80.0278197709024,0.122192085966825,"BMT-UCB"
