"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"36",36,"Best","Rough",981.70437809689,"LBMT","UCB",0.147078074022086,1.25,0.00673835519363273,NA,0.214987974441875,0.134639550897337,"LBMT-UCB",3
"37",37,"Best","Rough",432.087949951959,"LBMT","UCB",0.624594435262363,0.65,0.598356676285692,NA,0.0758275176231827,0.0325520747419083,"LBMT-UCB",3
"38",38,"Best","Smooth",729.776705605755,"LBMT","UCB",0.365957240115674,1.25,0.105649102799464,NA,19.2104512468457,8.57691884137007,"LBMT-UCB",3
"39",39,"Best","Smooth",755.917609248929,"LBMT","UCB",0.343245566031708,1.07,0.0497465838213278,NA,0.271702490553234,0.119870768815642,"LBMT-UCB",3
"40",40,"Cumulative","Rough",798.119126708301,"LBMT","UCB",0.30658014989043,0.91,0.327320578052336,NA,0.468274638889459,0.207615872411225,"LBMT-UCB",3
"41",41,"Cumulative","Rough",748.847251030307,"LBMT","UCB",0.349388416856996,0.93,0.00674357602560204,NA,26.6946740063863,11.523684003597,"LBMT-UCB",3
"42",42,"Cumulative","Smooth",778.484368686437,"LBMT","UCB",0.323639170917293,1.4,0.143562837903512,NA,0.126764576435498,0.0696946442629425,"LBMT-UCB",3
"43",43,"Cumulative","Smooth",829.808841577239,"LBMT","UCB",0.279047571608459,1.03,0.31571048993873,NA,0.436484032185867,0.207384898717354,"LBMT-UCB",3
"44",44,"Best","Smooth",861.491829045162,"LBMT","UCB",0.251520838210101,1.4,0.355184641904529,NA,0.291612399439304,0.14983656570626,"LBMT-UCB",3
"45",45,"Best","Smooth",846.616160228143,"LBMT","UCB",0.26444507933676,1.39,0.00674045642818888,NA,0.262692671371012,0.128719303423054,"LBMT-UCB",3
"46",46,"Cumulative","Rough",760.063500632723,"LBMT","UCB",0.33964354311844,0.98,0.00673970734717702,NA,0.21793852407497,0.0934692021597053,"LBMT-UCB",3
"47",47,"Cumulative","Rough",582.187206232293,"LBMT","UCB",0.494185577350721,0.86,0.153718847036618,NA,20.4035251492197,7.10440103151291,"LBMT-UCB",3
"48",48,"Cumulative","Smooth",478.208180039011,"LBMT","UCB",0.584524373082697,1.13,0.289354127820924,NA,0.162022624073792,0.0694668270128653,"LBMT-UCB",3
"49",49,"Cumulative","Smooth",657.349149737086,"LBMT","UCB",0.4288835668426,1.07,0.504207287114641,NA,0.450999936680595,0.175489468621593,"LBMT-UCB",3
"50",50,"Best","Rough",791.08378477128,"LBMT","UCB",0.312692577958103,1.06,0.00673902638533203,NA,0.167938085828132,0.0778159651300246,"LBMT-UCB",3
"51",51,"Best","Rough",775.367782065066,"LBMT","UCB",0.326346915858525,1.45,0.00675756869906445,NA,0.253917445521392,0.11312569163259,"LBMT-UCB",3
"52",52,"Best","Smooth",853.332274482804,"LBMT","UCB",0.258610001860302,1.4,0.106714880797583,NA,18.0984978901313,7.91707297817353,"LBMT-UCB",3
"53",53,"Best","Smooth",1026.90829270758,"LBMT","UCB",0.107804122747433,1.47,0.385242527597228,NA,0.290177778390517,0.205543848977789,"LBMT-UCB",3
"54",54,"Cumulative","Rough",822.742160239373,"LBMT","UCB",0.285187227895466,0.92,0.00674193714375623,NA,0.290737562413413,0.140287466833043,"LBMT-UCB",3
"55",55,"Cumulative","Rough",857.621307571454,"LBMT","UCB",0.254883614931432,0.93,0.0067411547266522,NA,0.198839630240946,0.0941088790812811,"LBMT-UCB",3
"56",56,"Cumulative","Smooth",880.387643988553,"LBMT","UCB",0.235103823848116,1.04,0.211989670705303,NA,0.245833458801259,0.120585315758143,"LBMT-UCB",3
"57",57,"Cumulative","Smooth",867.580148520767,"LBMT","UCB",0.246231199812879,1.05,0.197308410559662,NA,0.224697651188511,0.108319533989951,"LBMT-UCB",3
"58",58,"Best","Rough",720.275729586405,"LBMT","UCB",0.374211854178621,1.21,0.0737014566049517,NA,0.444258560469383,0.192477301556336,"LBMT-UCB",3
