"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed","mainTextBest"
"1",1,"Cumulative","Rough",1001.72839341589,"Simple Strategies","Local Search",0.129680859450419,0.89,NA,NA,NA,0.301274821736302,"LocalSearch-",0,NA
"2",2,"Cumulative","Rough",997.588584196896,"Simple Strategies","Local Search",0.133277598072584,0.86,NA,NA,NA,0.289690440932623,"LocalSearch-",0,NA
"3",3,"Cumulative","Smooth",576.657457266148,"Simple Strategies","Local Search",0.498989919924319,1.19,NA,NA,NA,0.163857963852503,"LocalSearch-",0,NA
"4",4,"Cumulative","Smooth",626.673661397234,"Simple Strategies","Local Search",0.455534967385257,1.27,NA,NA,NA,0.17385367372612,"LocalSearch-",0,NA
"5",5,"Best","Rough",540.305761813273,"Simple Strategies","Local Search",0.530572908438982,0.86,NA,NA,NA,0.153842604274452,"LocalSearch-",0,NA
"6",6,"Best","Rough",926.450459077455,"Simple Strategies","Local Search",0.195083644822579,0.92,NA,NA,NA,0.243591221381382,"LocalSearch-",0,NA
"7",7,"Best","Smooth",1008.63510407987,"Simple Strategies","Local Search",0.123680188481514,1.39,NA,NA,NA,0.305618931194507,"LocalSearch-",0,NA
"8",8,"Best","Smooth",986.283959736985,"Simple Strategies","Local Search",0.143099253432313,1.38,NA,NA,NA,0.294820246883425,"LocalSearch-",0,NA
"9",9,"Cumulative","Rough",544.176302937747,"Simple Strategies","Local Search",0.527210114644721,1.24,NA,NA,NA,0.147165063455637,"LocalSearch-",0,NA
"10",10,"Cumulative","Rough",764.911539541667,"Simple Strategies","Local Search",0.335431482160285,1.1,NA,NA,NA,0.194384313816068,"LocalSearch-",0,NA
"11",11,"Cumulative","Smooth",835.781065260842,"Simple Strategies","Local Search",0.273858799264931,1.07,NA,NA,NA,0.218655247482735,"LocalSearch-",0,NA
"12",12,"Cumulative","Smooth",936.614816593237,"Simple Strategies","Local Search",0.186252673318209,1.05,NA,NA,NA,0.25950185074564,"LocalSearch-",0,NA
"13",13,"Best","Rough",865.972873893951,"Simple Strategies","Local Search",0.247627628107246,1.16,NA,NA,NA,0.230825394668638,"LocalSearch-",0,NA
"14",14,"Best","Rough",868.162851553429,"Simple Strategies","Local Search",0.245724937231209,1.12,NA,NA,NA,0.234895363796176,"LocalSearch-",0,NA
"15",15,"Best","Smooth",949.416466810513,"Simple Strategies","Local Search",0.175130375809277,1.29,NA,NA,NA,0.267210905093313,"LocalSearch-",0,NA
"16",16,"Best","Smooth",698.5917152893,"Simple Strategies","Local Search",0.393051304882786,1.2,NA,NA,NA,0.1837378938147,"LocalSearch-",0,NA
"17",17,"Cumulative","Rough",794.468656835965,"Simple Strategies","Local Search",0.309751741933518,0.84,NA,NA,NA,0.209574870790443,"LocalSearch-",0,NA
"18",18,"Cumulative","Rough",708.579622380742,"Simple Strategies","Local Search",0.384373636591812,1.17,NA,NA,NA,0.189182182809472,"LocalSearch-",0,NA
"19",19,"Cumulative","Smooth",902.991207690869,"Simple Strategies","Local Search",0.215465452545018,1.06,NA,NA,NA,0.24813066470659,"LocalSearch-",0,NA
"20",20,"Cumulative","Smooth",779.734908961788,"Simple Strategies","Local Search",0.322552679663955,1.01,NA,NA,NA,0.198931387848246,"LocalSearch-",0,NA
"21",21,"Best","Rough",965.450047843339,"Simple Strategies","Local Search",0.161200120306749,1.31,NA,NA,NA,0.279946246087162,"LocalSearch-",0,NA
"22",22,"Best","Rough",968.333058052757,"Simple Strategies","Local Search",0.158695310635636,1.14,NA,NA,NA,0.286895799173846,"LocalSearch-",0,NA
"23",23,"Best","Smooth",777.791655263031,"Simple Strategies","Local Search",0.324241012449657,1.39,NA,NA,NA,0.207146161503247,"LocalSearch-",0,NA
"24",24,"Best","Smooth",901.082521503442,"Simple Strategies","Local Search",0.217123752472562,1.26,NA,NA,NA,0.243929188173063,"LocalSearch-",0,NA
"25",25,"Cumulative","Rough",835.670450933201,"Simple Strategies","Local Search",0.27395490292656,0.9,NA,NA,NA,0.22110216588588,"LocalSearch-",0,NA
"26",26,"Cumulative","Rough",813.658923779098,"Simple Strategies","Local Search",0.293078902526509,0.92,NA,NA,NA,0.212040536969831,"LocalSearch-",0,NA
"27",27,"Cumulative","Smooth",669.433979699845,"Simple Strategies","Local Search",0.41838405530234,1.18,NA,NA,NA,0.178735127848127,"LocalSearch-",0,NA
"28",28,"Cumulative","Smooth",865.357700538241,"Simple Strategies","Local Search",0.248162101473231,1.15,NA,NA,NA,0.231603597004162,"LocalSearch-",0,NA
"29",29,"Best","Rough",813.594633743093,"Simple Strategies","Local Search",0.293134758833717,1.09,NA,NA,NA,0.21246391529573,"LocalSearch-",0,NA
"30",30,"Best","Rough",852.351447282915,"Simple Strategies","Local Search",0.259462161678517,1.23,NA,NA,NA,0.228720201739197,"LocalSearch-",0,NA
"31",31,"Best","Smooth",987.568322573561,"Simple Strategies","Local Search",0.141983376546493,1.4,NA,NA,NA,0.282848332467246,"LocalSearch-",0,NA
"32",32,"Best","Smooth",855.537218496119,"Simple Strategies","Local Search",0.256694307954407,1.27,NA,NA,NA,0.225286556585008,"LocalSearch-",0,NA
"33",33,"Cumulative","Rough",730.752066785047,"Simple Strategies","Local Search",0.365109829271711,0.85,NA,NA,NA,0.189049852609585,"LocalSearch-",0,NA
"34",34,"Cumulative","Smooth",722.38538116019,"Simple Strategies","Local Search",0.372378952010105,1.05,NA,NA,NA,0.190203122717646,"LocalSearch-",0,NA
"35",35,"Cumulative","Smooth",826.404147618088,"Simple Strategies","Local Search",0.282005629241485,1.07,NA,NA,NA,0.216392504448044,"LocalSearch-",0,NA
"36",36,"Best","Rough",983.190607051276,"Simple Strategies","Local Search",0.145786812324062,1.25,NA,NA,NA,0.286047606992143,"LocalSearch-",0,NA
"37",37,"Best","Rough",540.425112289147,"Simple Strategies","Local Search",0.530469214659042,0.65,NA,NA,NA,0.143466406685582,"LocalSearch-",0,NA
"38",38,"Best","Smooth",813.774998032926,"Simple Strategies","Local Search",0.292978055185557,1.25,NA,NA,NA,0.214834968323264,"LocalSearch-",0,NA
"39",39,"Best","Smooth",810.579912998398,"Simple Strategies","Local Search",0.29575400092046,1.07,NA,NA,NA,0.208244478629058,"LocalSearch-",0,NA
"40",40,"Cumulative","Rough",854.880147555043,"Simple Strategies","Local Search",0.257265182675016,0.91,NA,NA,NA,0.226741155523613,"LocalSearch-",0,NA
"41",41,"Cumulative","Rough",813.093331302157,"Simple Strategies","Local Search",0.293570299158238,0.93,NA,NA,NA,0.214211188469479,"LocalSearch-",0,NA
"42",42,"Cumulative","Smooth",640.011155920828,"Simple Strategies","Local Search",0.443947118975294,1.4,NA,NA,NA,0.170584022529377,"LocalSearch-",0,NA
"43",43,"Cumulative","Smooth",869.330910803115,"Simple Strategies","Local Search",0.244710106934914,1.03,NA,NA,NA,0.225333877319037,"LocalSearch-",0,NA
"44",44,"Best","Smooth",848.95020727126,"Simple Strategies","Local Search",0.262417218461577,1.4,NA,NA,NA,0.221046378987778,"LocalSearch-",0,NA
"45",45,"Best","Smooth",814.383820620576,"Simple Strategies","Local Search",0.292449099477889,1.39,NA,NA,NA,0.207017794345175,"LocalSearch-",0,NA
"46",46,"Cumulative","Rough",821.448355177328,"Simple Strategies","Local Search",0.286311308351844,0.98,NA,NA,NA,0.211719694161833,"LocalSearch-",0,NA
"47",47,"Cumulative","Rough",756.562071784493,"Simple Strategies","Local Search",0.34268564571423,0.86,NA,NA,NA,0.196570735752889,"LocalSearch-",0,NA
"48",48,"Cumulative","Smooth",653.83141035327,"Simple Strategies","Local Search",0.43193984031685,1.13,NA,NA,NA,0.181499990300864,"LocalSearch-",0,NA
"49",49,"Cumulative","Smooth",709.435424825804,"Simple Strategies","Local Search",0.38363010046629,1.07,NA,NA,NA,0.187625311354158,"LocalSearch-",0,NA
"50",50,"Best","Rough",877.853518465461,"Simple Strategies","Local Search",0.2373055164045,1.06,NA,NA,NA,0.238650026081487,"LocalSearch-",0,NA
"51",51,"Best","Rough",846.813684327153,"Simple Strategies","Local Search",0.264273466946397,1.45,NA,NA,NA,0.231811499781352,"LocalSearch-",0,NA
"52",52,"Best","Smooth",853.95050131106,"Simple Strategies","Local Search",0.258072875583989,1.4,NA,NA,NA,0.222186920814286,"LocalSearch-",0,NA
"53",53,"Best","Smooth",1014.69988387824,"Simple Strategies","Local Search",0.118411001767399,1.47,NA,NA,NA,0.305465459028652,"LocalSearch-",0,NA
"54",54,"Cumulative","Rough",833.344343400687,"Simple Strategies","Local Search",0.275975865816131,0.92,NA,NA,NA,0.217163470235426,"LocalSearch-",0,NA
"55",55,"Cumulative","Rough",971.692413893188,"Simple Strategies","Local Search",0.155776643552761,0.93,NA,NA,NA,0.273750425512297,"LocalSearch-",0,NA
"56",56,"Cumulative","Smooth",824.871911569094,"Simple Strategies","Local Search",0.283336862707606,1.04,NA,NA,NA,0.225437854392072,"LocalSearch-",0,NA
"57",57,"Cumulative","Smooth",893.106807280746,"Simple Strategies","Local Search",0.224053192421744,1.05,NA,NA,NA,0.238953909720591,"LocalSearch-",0,NA
"58",58,"Best","Rough",760.970235711078,"Simple Strategies","Local Search",0.338855755830701,1.21,NA,NA,NA,0.204904935022772,"LocalSearch-",0,NA
"59",59,"Best","Rough",812.33370539154,"Simple Strategies","Local Search",0.294230275429265,1.41,NA,NA,NA,0.215392025233453,"LocalSearch-",0,NA
"60",60,"Best","Smooth",943.166107654103,"Simple Strategies","Local Search",0.180560797113982,1.37,NA,NA,NA,0.257267812235287,"LocalSearch-",0,NA
"61",61,"Best","Smooth",922.788746361011,"Simple Strategies","Local Search",0.198265004845178,1.47,NA,NA,NA,0.255162535091844,"LocalSearch-",0,NA
"62",62,"Cumulative","Rough",877.739218710024,"Simple Strategies","Local Search",0.237404822030227,0.88,NA,NA,NA,0.23466418361351,"LocalSearch-",0,NA
"63",63,"Cumulative","Rough",838.258912582982,"Simple Strategies","Local Search",0.271706002193397,0.83,NA,NA,NA,0.221284813128702,"LocalSearch-",0,NA
