"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"20",20,"Cumulative","Smooth",650.985975127701,"LBMT","UCB",0.434412004185104,1.01,17.4945213367849,NA,0.776467839962185,0.238376842867631,"LBMT-UCB"
"21",21,"Best","Rough",884.725998498711,"LBMT","UCB",0.231334585605997,1.31,7.11524846376292,NA,44.6860304682273,22.4823121066668,"LBMT-UCB"
"22",22,"Best","Rough",887.453060246351,"LBMT","UCB",0.228965266684789,1.14,12.6707357778711,NA,45.1725869755103,21.8943069476871,"LBMT-UCB"
"23",23,"Best","Smooth",990.404810468187,"LBMT","UCB",0.13951898627578,1.39,78.7507335790867,NA,45.8657120838232,25.433156432221,"LBMT-UCB"
"24",24,"Best","Smooth",887.828717407869,"LBMT","UCB",0.228638889175573,1.26,8.69991056071834,NA,0.190024896425075,0.0889406850292097,"LBMT-UCB"
"25",25,"Cumulative","Rough",725.272676538492,"LBMT","UCB",0.369870419309352,0.9,16.0026008253063,NA,44.7468272646534,18.0929294645495,"LBMT-UCB"
"26",26,"Cumulative","Rough",728.806453287376,"LBMT","UCB",0.366800212291963,0.92,8.02072567038466,NA,1.78534955025089,0.737939552737409,"LBMT-UCB"
"27",27,"Cumulative","Smooth",724.606258610707,"LBMT","UCB",0.370449414855419,1.18,41.4153652181657,NA,46.818889096157,17.6657233530068,"LBMT-UCB"
"28",28,"Cumulative","Smooth",739.672784968013,"LBMT","UCB",0.357359353361161,1.15,38.2779285492496,NA,0.206589112246442,0.0892252438741188,"LBMT-UCB"
"29",29,"Best","Rough",644.979988548372,"LBMT","UCB",0.439630110322686,1.09,35.0566998605416,NA,22.2167603541695,8.03400006673202,"LBMT-UCB"
"30",30,"Best","Rough",736.872908825825,"LBMT","UCB",0.359791934701303,1.23,79.3915285209109,NA,44.6902667408119,18.7850874290927,"LBMT-UCB"
"31",31,"Best","Smooth",864.217109323975,"LBMT","UCB",0.249153067060153,1.4,4.88291688955016,NA,44.6156612177176,21.6248951574425,"LBMT-UCB"
"32",32,"Best","Smooth",744.749698887841,"LBMT","UCB",0.352948441792325,1.27,6.7021320131455,NA,44.6692079289052,18.8496347735756,"LBMT-UCB"
"33",33,"Cumulative","Rough",603.041560374892,"LBMT","UCB",0.47606694989302,0.85,22.1742826125125,NA,0.0566876908554683,0.0186941684090739,"LBMT-UCB"
"34",34,"Cumulative","Smooth",593.249783385726,"LBMT","UCB",0.484574216922364,1.05,30.5695788781989,NA,48.1235282880886,14.5871917639776,"LBMT-UCB"
"35",35,"Cumulative","Smooth",655.306554235613,"LBMT","UCB",0.430658209523208,1.07,37.2525370096653,NA,42.8806169226734,16.4553071566724,"LBMT-UCB"
"36",36,"Best","Rough",920.881516696699,"LBMT","UCB",0.199922039319976,1.25,20.7513138094489,NA,0.156273288704245,0.0872832240425209,"LBMT-UCB"
"37",37,"Best","Rough",554.554527990411,"LBMT","UCB",0.518193331285448,0.65,27.545753911676,NA,0.0204533093098239,0.00673855972140282,"LBMT-UCB"
"38",38,"Best","Smooth",676.413631703458,"LBMT","UCB",0.412320011622391,1.25,26.7754276974786,NA,0.0167986792116601,0.00674230905284867,"LBMT-UCB"
"39",39,"Best","Smooth",687.277885776076,"LBMT","UCB",0.402880957753756,1.07,7.08092566912235,NA,25.236461839132,8.74204621137383,"LBMT-UCB"
"40",40,"Cumulative","Rough",730.741865631703,"LBMT","UCB",0.365118692212074,0.91,6.82260470074566,NA,52.7511356050103,18.8897536969646,"LBMT-UCB"
"41",41,"Cumulative","Rough",659.003030088064,"LBMT","UCB",0.427446646680313,0.93,15.4379020124998,NA,0.152571823921826,0.0594063445778644,"LBMT-UCB"
"42",42,"Cumulative","Smooth",883.251870335285,"LBMT","UCB",0.232615333925287,1.4,8.44104210641598,NA,0.0478443738534721,0.0267013024856456,"LBMT-UCB"
"43",43,"Cumulative","Smooth",773.048426062693,"LBMT","UCB",0.328362012900678,1.03,7.23908595001998,NA,22.3206013764764,9.64062246882372,"LBMT-UCB"
"44",44,"Best","Smooth",731.038167895236,"LBMT","UCB",0.364861259625521,1.4,10.6552722125632,NA,0.626521796265378,0.263348791919101,"LBMT-UCB"
"45",45,"Best","Smooth",690.069258166155,"LBMT","UCB",0.40045576462211,1.39,9.82051725713449,NA,0.185835236322665,0.0716133374595221,"LBMT-UCB"
"46",46,"Cumulative","Rough",748.217005353355,"LBMT","UCB",0.349935985319171,0.98,10.243018149891,NA,0.228311140551276,0.100780401249075,"LBMT-UCB"
