"","participant","reward","environment","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"1",1,"Cumulative","Rough",20,1,972.980982345327,0.154657112754616,"LBMT","UCB",0.00683414263196427,NA,36.9527094539762,25.2390160508028,93.4295818266738,0.89
"2",1,"Cumulative","Rough",20,2,972.980982345327,0.154657112754616,"LBMT","UCB",0.0067381741924917,NA,26.3670901102912,17.8299547045934,94.8265695038296,0.89
"3",1,"Cumulative","Rough",20,3,972.980982345327,0.154657112754616,"LBMT","UCB",0.00673802349053337,NA,25.7560350563888,20.8075701883535,82.2741345504127,0.89
"4",1,"Cumulative","Rough",20,4,972.980982345327,0.154657112754616,"LBMT","UCB",0.00673813105820315,NA,32.1624179080547,25.712405354895,82.6796271134584,0.89
"5",1,"Cumulative","Rough",40,1,972.980982345327,0.154657112754616,"LBMT","UCB",0.619407009634695,NA,1.48003866026344,0.802908325550433,155.014916901313,0.89
"6",1,"Cumulative","Rough",40,2,972.980982345327,0.154657112754616,"LBMT","UCB",0.110151871677897,NA,12.9229369874001,7.26820239459435,147.583830980832,0.89
"7",1,"Cumulative","Rough",40,3,972.980982345327,0.154657112754616,"LBMT","UCB",0.553751632975111,NA,0.79061651212179,0.424726062808329,157.877577548938,0.89
"8",1,"Cumulative","Rough",40,4,972.980982345327,0.154657112754616,"LBMT","UCB",0.663607361609488,NA,3.81837272549058,2.0459453063999,159.29474391987,0.89
"9",2,"Cumulative","Rough",20,1,941.439404301903,0.182060987172832,"LBMT","UCB",0.714980277019704,NA,3.19959435850244,2.08176591356536,82.3729677613411,0.86
"10",2,"Cumulative","Rough",20,2,941.439404301903,0.182060987172832,"LBMT","UCB",0.675923211673833,NA,0.924736575442766,0.608259055641672,80.818705799711,0.86
"11",2,"Cumulative","Rough",20,3,941.439404301903,0.182060987172832,"LBMT","UCB",0.69527363219835,NA,1.21420459461138,0.769040175744839,84.6283568482107,0.86
"12",2,"Cumulative","Rough",20,4,941.439404301903,0.182060987172832,"LBMT","UCB",0.00673803056883258,NA,40.4403801928794,24.8511084620429,89.4764716310445,0.86
"13",2,"Cumulative","Rough",40,1,941.439404301903,0.182060987172832,"LBMT","UCB",0.00675516927069686,NA,44.5671855990207,23.4686076936464,150.950022698472,0.86
"14",2,"Cumulative","Rough",40,2,941.439404301903,0.182060987172832,"LBMT","UCB",0.0899045009284888,NA,1.99442699882534,1.03571587667959,154.168315613652,0.86
"15",2,"Cumulative","Rough",40,3,941.439404301903,0.182060987172832,"LBMT","UCB",0.0430152872420549,NA,6.21024980538727,3.23523201424498,152.161998215879,0.86
"16",2,"Cumulative","Rough",40,4,941.439404301903,0.182060987172832,"LBMT","UCB",0.00673935230169394,NA,44.578745617967,23.6438214732656,146.862565733593,0.86
"17",3,"Cumulative","Smooth",20,1,655.175823928145,0.430771790299781,"LBMT","UCB",33.1792300293094,NA,0.0131185975400254,0.00673930590023835,64.4733415533346,1.19
"18",3,"Cumulative","Smooth",20,2,655.175823928145,0.430771790299781,"LBMT","UCB",19.7722115310735,NA,0.0133254921750222,0.00674086360028907,66.4219959667308,1.19
"19",3,"Cumulative","Smooth",20,3,655.175823928145,0.430771790299781,"LBMT","UCB",10.5562404936226,NA,0.0284832139656315,0.0140766546937102,75.7042515031954,1.19
"20",3,"Cumulative","Smooth",20,4,655.175823928145,0.430771790299781,"LBMT","UCB",16.9145690049612,NA,0.0137560105452792,0.00675273009577763,74.5714224819722,1.19
"21",3,"Cumulative","Smooth",40,1,655.175823928145,0.430771790299781,"LBMT","UCB",13.5133108791688,NA,0.0137178813266661,0.00673906062268211,78.0062082244429,1.19
"22",3,"Cumulative","Smooth",40,2,655.175823928145,0.430771790299781,"LBMT","UCB",14.2178650082524,NA,0.0137643617440766,0.00676959530172858,77.2573871553665,1.19
"23",3,"Cumulative","Smooth",40,3,655.175823928145,0.430771790299781,"LBMT","UCB",13.7075468887169,NA,0.0139777365851643,0.00673798110877489,85.2386718121556,1.19
"24",3,"Cumulative","Smooth",40,4,655.175823928145,0.430771790299781,"LBMT","UCB",13.2105552669801,NA,0.0133166095160496,0.00673801755767719,133.502545230947,1.19
"25",4,"Cumulative","Smooth",20,1,669.325882485941,0.41847797205155,"LBMT","UCB",3.61750711420575,NA,0.291392662131971,0.115563832687856,63.4179574559013,1.27
"26",4,"Cumulative","Smooth",20,2,669.325882485941,0.41847797205155,"LBMT","UCB",3.40814786745484,NA,0.326198946370604,0.128132066262956,64.9425659402163,1.27
"27",4,"Cumulative","Smooth",20,3,669.325882485941,0.41847797205155,"LBMT","UCB",4.91183249669016,NA,0.30763557123702,0.130046951914703,53.9495909139684,1.27
"28",4,"Cumulative","Smooth",20,4,669.325882485941,0.41847797205155,"LBMT","UCB",2.29541405910067,NA,0.738946872339757,0.294485623702134,60.9268354778112,1.27
"29",4,"Cumulative","Smooth",40,1,669.325882485941,0.41847797205155,"LBMT","UCB",3.69751655523973,NA,0.146807561177692,0.0630533309548331,70.6311885725125,1.27
"30",4,"Cumulative","Smooth",40,2,669.325882485941,0.41847797205155,"LBMT","UCB",4.81652277320377,NA,0.103431074486099,0.0466579213298016,124.406831982274,1.27
"31",4,"Cumulative","Smooth",40,3,669.325882485941,0.41847797205155,"LBMT","UCB",4.95811622054398,NA,0.106081564774556,0.0452944141371735,116.717305438011,1.27
"32",4,"Cumulative","Smooth",40,4,669.325882485941,0.41847797205155,"LBMT","UCB",4.54707487785088,NA,0.103289258970947,0.0487008588521902,114.333606705246,1.27
