"","participant","reward","environment","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"26",4,"Cumulative","Smooth",20,2,626.673661397234,0.455534967385257,"LocalSearch","",NA,NA,NA,0.171833373108518,59.1338023045872,1.27
"27",4,"Cumulative","Smooth",20,3,626.673661397234,0.455534967385257,"LocalSearch","",NA,NA,NA,0.185760875546038,46.5599301817499,1.27
"28",4,"Cumulative","Smooth",20,4,626.673661397234,0.455534967385257,"LocalSearch","",NA,NA,NA,0.176859008096746,54.5840573142916,1.27
"29",4,"Cumulative","Smooth",40,1,626.673661397234,0.455534967385257,"LocalSearch","",NA,NA,NA,0.153398922530368,133.114196686785,1.27
"30",4,"Cumulative","Smooth",40,2,626.673661397234,0.455534967385257,"LocalSearch","",NA,NA,NA,0.176001682766447,77.8009793879264,1.27
"31",4,"Cumulative","Smooth",40,3,626.673661397234,0.455534967385257,"LocalSearch","",NA,NA,NA,0.175873974343723,72.682286122283,1.27
"32",4,"Cumulative","Smooth",40,4,626.673661397234,0.455534967385257,"LocalSearch","",NA,NA,NA,0.158486697634971,122.855864772578,1.27
"33",5,"Best","Rough",20,1,540.305761813273,0.530572908438982,"LocalSearch","",NA,NA,NA,0.170798195932087,60.9949634556098,0.86
"34",5,"Best","Rough",20,2,540.305761813273,0.530572908438982,"LocalSearch","",NA,NA,NA,0.170262434492789,61.619112722046,0.86
"35",5,"Best","Rough",20,3,540.305761813273,0.530572908438982,"LocalSearch","",NA,NA,NA,0.170167624616599,58.0475575995898,0.86
"36",5,"Best","Rough",20,4,540.305761813273,0.530572908438982,"LocalSearch","",NA,NA,NA,0.188193716345746,39.4994429913563,0.86
"37",5,"Best","Rough",40,1,540.305761813273,0.530572908438982,"LocalSearch","",NA,NA,NA,0.0128373998545192,75.7050366524963,0.86
"38",5,"Best","Rough",40,2,540.305761813273,0.530572908438982,"LocalSearch","",NA,NA,NA,0.137517583932305,68.4518397289072,0.86
"39",5,"Best","Rough",40,3,540.305761813273,0.530572908438982,"LocalSearch","",NA,NA,NA,0.129608530794363,72.5703983980979,0.86
"40",5,"Best","Rough",40,4,540.305761813273,0.530572908438982,"LocalSearch","",NA,NA,NA,0.114237921133584,103.41741026517,0.86
"41",6,"Best","Rough",20,1,926.450459077455,0.195083644822579,"LocalSearch","",NA,NA,NA,0.200837358465392,104.826538865258,0.92
"42",6,"Best","Rough",20,2,926.450459077455,0.195083644822579,"LocalSearch","",NA,NA,NA,0.236025303828908,74.6056863894126,0.92
"43",6,"Best","Rough",20,3,926.450459077455,0.195083644822579,"LocalSearch","",NA,NA,NA,0.254764150514517,64.0275275106825,0.92
"44",6,"Best","Rough",20,4,926.450459077455,0.195083644822579,"LocalSearch","",NA,NA,NA,0.262023483361856,60.823233560148,0.92
"45",6,"Best","Rough",40,1,926.450459077455,0.195083644822579,"LocalSearch","",NA,NA,NA,0.209005796677489,204.285106504727,0.92
"46",6,"Best","Rough",40,2,926.450459077455,0.195083644822579,"LocalSearch","",NA,NA,NA,0.225949801573754,173.391183840971,0.92
"47",6,"Best","Rough",40,3,926.450459077455,0.195083644822579,"LocalSearch","",NA,NA,NA,0.251157138933856,139.116962889616,0.92
"48",6,"Best","Rough",40,4,926.450459077455,0.195083644822579,"LocalSearch","",NA,NA,NA,0.297414916351478,105.37421951664,0.92
"49",7,"Best","Smooth",20,1,1008.63510407987,0.123680188481514,"LocalSearch","",NA,NA,NA,0.323505682566085,79.5810280900031,1.39
"50",7,"Best","Smooth",20,2,1008.63510407987,0.123680188481514,"LocalSearch","",NA,NA,NA,0.319355664201334,80.5149604100223,1.39
"51",7,"Best","Smooth",20,3,1008.63510407987,0.123680188481514,"LocalSearch","",NA,NA,NA,0.319565375114499,80.1923028276177,1.39
"52",7,"Best","Smooth",20,4,1008.63510407987,0.123680188481514,"LocalSearch","",NA,NA,NA,0.270662510699743,98.9914262320561,1.39
"53",7,"Best","Smooth",40,1,1008.63510407987,0.123680188481514,"LocalSearch","",NA,NA,NA,0.287864199456855,176.388265625625,1.39
"54",7,"Best","Smooth",40,2,1008.63510407987,0.123680188481514,"LocalSearch","",NA,NA,NA,0.303576676334174,165.302247991827,1.39
"55",7,"Best","Smooth",40,3,1008.63510407987,0.123680188481514,"LocalSearch","",NA,NA,NA,0.303382131961512,164.981029112654,1.39
"56",7,"Best","Smooth",40,4,1008.63510407987,0.123680188481514,"LocalSearch","",NA,NA,NA,0.30766118605484,162.683843790068,1.39
"57",8,"Best","Smooth",20,1,986.283959736985,0.143099253432313,"LocalSearch","",NA,NA,NA,0.299676132503853,84.0045852632111,1.38
"58",8,"Best","Smooth",20,2,986.283959736985,0.143099253432313,"LocalSearch","",NA,NA,NA,0.294363552145911,85.8822372821511,1.38
"59",8,"Best","Smooth",20,3,986.283959736985,0.143099253432313,"LocalSearch","",NA,NA,NA,0.298602569912696,84.7349587676326,1.38
"60",8,"Best","Smooth",20,4,986.283959736985,0.143099253432313,"LocalSearch","",NA,NA,NA,0.312069450380081,80.3545815424769,1.38
"61",8,"Best","Smooth",40,1,986.283959736985,0.143099253432313,"LocalSearch","",NA,NA,NA,0.295276941620939,151.855749752046,1.38
"62",8,"Best","Smooth",40,2,986.283959736985,0.143099253432313,"LocalSearch","",NA,NA,NA,0.284019150335554,159.807911644188,1.38
"63",8,"Best","Smooth",40,3,986.283959736985,0.143099253432313,"LocalSearch","",NA,NA,NA,0.27894146618627,163.83870875264,1.38
"64",8,"Best","Smooth",40,4,986.283959736985,0.143099253432313,"LocalSearch","",NA,NA,NA,0.266620506240499,175.805226732639,1.38
"65",9,"Cumulative","Rough",20,1,544.176302937747,0.527210114644721,"LocalSearch","",NA,NA,NA,0.127747573674693,53.898263773645,1.24
"66",9,"Cumulative","Rough",20,2,544.176302937747,0.527210114644721,"LocalSearch","",NA,NA,NA,0.146064828995922,38.2650861474718,1.24
"67",9,"Cumulative","Rough",20,3,544.176302937747,0.527210114644721,"LocalSearch","",NA,NA,NA,0.148265297915352,30.037343251756,1.24
"68",9,"Cumulative","Rough",20,4,544.176302937747,0.527210114644721,"LocalSearch","",NA,NA,NA,0.134154556172046,49.0281938870935,1.24
"69",9,"Cumulative","Rough",40,1,544.176302937747,0.527210114644721,"LocalSearch","",NA,NA,NA,0.154335306459544,82.941600423889,1.24
"70",9,"Cumulative","Rough",40,2,544.176302937747,0.527210114644721,"LocalSearch","",NA,NA,NA,0.129678659978768,134.250089018734,1.24
