"","participant","reward","environment","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"56",7,"Best","Smooth",40,4,1022.00617118269,0.112063171627806,"LBMT","UCB",1.35724175190388,NA,0.768322609670884,0.526552229720013,150.32915964642,1.39
"57",8,"Best","Smooth",20,1,1015.68141783892,0.117558227903055,"LBMT","UCB",0.0067411866741952,NA,0.195142283596408,0.122891050473659,89.7472989513678,1.38
"58",8,"Best","Smooth",20,2,1015.68141783892,0.117558227903055,"LBMT","UCB",0.00673822658566415,NA,0.152109569951087,0.111812680418007,78.039555027087,1.38
"59",8,"Best","Smooth",20,3,1015.68141783892,0.117558227903055,"LBMT","UCB",0.00673810625589608,NA,29.6820368593378,19.1534122446749,88.9113718169148,1.38
"60",8,"Best","Smooth",20,4,1015.68141783892,0.117558227903055,"LBMT","UCB",0.00673904084769991,NA,0.215239934901498,0.137463243241487,87.913493207691,1.38
"61",8,"Best","Smooth",40,1,1015.68141783892,0.117558227903055,"LBMT","UCB",0.00673802582816832,NA,0.15469369170731,0.0995013341600825,167.94506213405,1.38
"62",8,"Best","Smooth",40,2,1015.68141783892,0.117558227903055,"LBMT","UCB",0.00673798605983755,NA,0.173597281431351,0.106328260048349,178.278418176577,1.38
"63",8,"Best","Smooth",40,3,1015.68141783892,0.117558227903055,"LBMT","UCB",0.331416066945365,NA,0.239616397557881,0.15969853459529,157.350877630217,1.38
"64",8,"Best","Smooth",40,4,1015.68141783892,0.117558227903055,"LBMT","UCB",0.00673928306531251,NA,0.156379596669761,0.102125440106199,167.495340895015,1.38
"65",9,"Cumulative","Rough",20,1,450.817737701163,0.608321668229199,"LBMT","UCB",1.67820206119889,NA,0.104881805221902,0.0476586800261051,33.5376555271679,1.24
"66",9,"Cumulative","Rough",20,2,450.817737701163,0.608321668229199,"LBMT","UCB",3.30146129251068,NA,0.0623322115494517,0.0286523039625358,61.8848718488607,1.24
"67",9,"Cumulative","Rough",20,3,450.817737701163,0.608321668229199,"LBMT","UCB",0.0067379615176668,NA,0.0615641652572704,0.0258850441341118,67.2483847057253,1.24
