"","","","","par1","par2","par3"
"cv",20,1,65.2693953624118,0.0441831568493945,-1.7292880026575,-2.85600491270187
"cv",20,2,81.1194330250953,-0.185153608972387,-2.13555469292979,-2.97111068196258
"cv",20,3,73.0763086704491,-0.288150624495464,-2.07904957321854,-3.08492875398173
"cv",20,4,38.3613681523384,-0.350591548301856,-1.85171676152575,-3.0026012671571
"cv",40,1,126.071176344858,-0.128182538586659,-4.26647270949048,-3.35640711086248
"cv",40,2,45.1720941617346,-0.432426620894011,-2.38324299625594,-3.16630045597463
"cv",40,3,67.1677354980908,-0.382571153072606,-2.93523766486127,-3.51112088803018
"cv",40,4,22.5019210126825,-0.381055672185634,-2.81800958196462,-3.38509476805085
