"","","","","par1","par2","par3"
"cv",20,1,67.8073451804723,-4.99868496518951,-1.48271697639768,-2.21088124351677
"cv",20,2,68.8654098522663,-4.99969990487206,-1.67195289894165,-2.40086974963373
"cv",20,3,74.0458931331905,-4.99959571429082,-1.6462244624467,-2.40317392462427
"cv",20,4,69.8320129743268,-4.99990583049049,-1.68801387986182,-2.42123797104673
"cv",40,1,128.369924272759,-4.99670860618037,-1.54771627697868,-2.36056019397433
"cv",40,2,133.887433657601,-4.99989427013865,-1.4811330111828,-2.30215611045379
"cv",40,3,123.978446143012,-4.99982639628889,-1.59907309053456,-2.39435684170573
"cv",40,4,133.909558183786,-1.42945224923347,-1.44144976330826,-2.25454308374445
