"","","","","par1","par2","par3"
"cv",20,1,71.9326279921469,-0.177905172143476,-0.928868307032917,-2.71390858426035
"cv",20,2,49.298882234334,-0.167858844700166,-0.819252164759056,-2.58041583177621
"cv",20,3,52.3916644899643,-0.222869990393578,-0.995431136960161,-2.77681019763622
"cv",20,4,52.9476768958112,-0.165727891428672,-0.941113600909654,-2.72127768936294
"cv",40,1,145.427134992385,-0.210988132625146,-0.667001283108901,-2.39951034287607
"cv",40,2,127.026231489515,-0.238719881804736,-0.707818767054685,-2.43533339100774
"cv",40,3,125.598815407479,-0.183991106920669,-0.555773988257371,-2.35507105319909
"cv",40,4,106.058939078502,-0.217194167239649,-0.641961747494498,-2.37397361275782
