"","","","","par1","par2","par3"
"cv",20,1,77.5202405697177,-0.304213732213969,-0.591798980197009,-1.98465546568788
"cv",20,2,74.5378461963214,-0.356571398998072,-0.657904013421169,-1.97294645660778
"cv",20,3,89.2732146144565,-0.281461835304102,-0.385099737080773,-1.89302497345855
"cv",20,4,76.6966927321869,4.99413956699686,4.40151940665367,-1.24643972620514
"cv",40,1,126.791121552445,-0.205818632240507,-0.604034641802341,-2.28750307668615
"cv",40,2,146.532643533865,-0.299953282561447,-0.763168771817843,-2.37747644057599
"cv",40,3,147.379532978516,-0.257439845668656,-0.760841034583639,-2.41937684239783
"cv",40,4,152.923496460373,-0.331320679228189,-0.797225411580141,-2.433562486817
