"","trial","Environment","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,"Smooth",49.0848513760682,0.283267654520741,49.0848513760682,0.283267654520741,"Local BMT-UCB"
"2",2,"Smooth",49.2838182348999,0.283412640145462,59.5754841214091,0.263486077220268,"Local BMT-UCB"
"3",3,"Smooth",49.2346023423085,0.28231248164134,67.0809543294454,0.238762907081261,"Local BMT-UCB"
"4",4,"Smooth",49.1205960687794,0.281902801948057,72.1383965919116,0.220998767217407,"Local BMT-UCB"
"5",5,"Smooth",49.4201225087517,0.283543712037026,76.1417939353281,0.20532580336688,"Local BMT-UCB"
"6",6,"Smooth",49.1266361097612,0.284298173464137,79.1248209628038,0.19323632371764,"Local BMT-UCB"
"7",7,"Smooth",49.3599075323744,0.285682054747484,81.5849731300496,0.183258023590264,"Local BMT-UCB"
"8",8,"Smooth",49.3699494245631,0.284437288719262,83.6043149690111,0.173227609930621,"Local BMT-UCB"
"9",9,"Smooth",49.2988595162271,0.284115825490002,85.3477895104197,0.163904081140588,"Local BMT-UCB"
"10",10,"Smooth",49.4687101150529,0.284339034418589,86.8432309150618,0.155235192979507,"Local BMT-UCB"
"11",11,"Smooth",49.7600106238781,0.28470758249126,88.0510331712508,0.148377435720721,"Local BMT-UCB"
"12",1,"Rough",50.5578424417853,0.262529924375053,50.5578424417853,0.262529924375053,"Local BMT-UCB"
"13",2,"Rough",50.5248855746592,0.260495196027318,62.281494515242,0.233252299574609,"Local BMT-UCB"
"14",3,"Rough",50.4590168987838,0.260918310940335,69.5395557506499,0.20996854734972,"Local BMT-UCB"
"15",4,"Rough",50.3751550497312,0.262788151641814,74.2658363364664,0.19385882125723,"Local BMT-UCB"
"16",5,"Rough",50.0933164334864,0.262103106202878,77.7077676537178,0.181631593381496,"Local BMT-UCB"
"17",6,"Rough",50.0628838935926,0.261519086855399,80.4033977531895,0.171259329260987,"Local BMT-UCB"
"18",7,"Rough",50.4236344116138,0.264970107557243,82.7010458268968,0.162718164497623,"Local BMT-UCB"
"19",8,"Rough",50.149930130282,0.26315790465989,84.4304567554456,0.155262917967177,"Local BMT-UCB"
"20",9,"Rough",50.4915835966049,0.262915638420514,85.9962976387912,0.148209279793451,"Local BMT-UCB"
"21",10,"Rough",50.2941441671644,0.263604381291964,87.3726958773724,0.141960369697128,"Local BMT-UCB"
"22",11,"Rough",50.3781084686513,0.261613559990199,88.4800756497782,0.136147403164699,"Local BMT-UCB"
