"","trial","Environment","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,"Smooth",49.7762949830628,0.283615300061812,49.7762949830628,0.283615300061812,"LocalGP-UCB"
"2",2,"Smooth",53.4377334242534,0.283878628161654,64.3400196108937,0.240529731497497,"LocalGP-UCB"
"3",3,"Smooth",55.2741678116847,0.286203045568799,71.4105439756177,0.216271052621022,"LocalGP-UCB"
"4",4,"Smooth",56.3797572832888,0.286316430035037,76.0296511904461,0.198512771408844,"LocalGP-UCB"
"5",5,"Smooth",57.4236866291935,0.289916068112954,79.6751034173473,0.183397592153429,"LocalGP-UCB"
"6",6,"Smooth",57.759467381758,0.290733061682538,82.196373360353,0.1732358119172,"LocalGP-UCB"
"7",7,"Smooth",58.5823961774585,0.290504187305872,84.2858980357226,0.164005180639963,"LocalGP-UCB"
"8",8,"Smooth",59.3266339332989,0.29098250710872,86.2039076048058,0.153251269202076,"LocalGP-UCB"
"9",9,"Smooth",59.9567572338446,0.288536067270259,87.6154023390977,0.145626637628736,"LocalGP-UCB"
"10",10,"Smooth",60.1292910047524,0.29098834675305,88.8757517993856,0.13817679777346,"LocalGP-UCB"
"11",11,"Smooth",61.0591408354923,0.290096354091052,90.0412973469932,0.130136460444117,"LocalGP-UCB"
"12",1,"Rough",49.9695235193266,0.259073360558141,49.9695235193266,0.259073360558141,"LocalGP-UCB"
"13",2,"Rough",53.6401484090258,0.264237865468247,64.0021701853633,0.223430113968563,"LocalGP-UCB"
"14",3,"Rough",56.6440771074432,0.26568611083347,70.7744547877532,0.2006400885085,"LocalGP-UCB"
"15",4,"Rough",58.0568463644937,0.264254858267029,74.9938535150208,0.18593573614282,"LocalGP-UCB"
"16",5,"Rough",59.1784583705461,0.267153554190638,78.0917290453686,0.175131187633536,"LocalGP-UCB"
"17",6,"Rough",60.377535110886,0.268185761434193,80.6937108420965,0.166365337134912,"LocalGP-UCB"
"18",7,"Rough",60.9133404502555,0.266227159473979,82.7180032808522,0.158135831415267,"LocalGP-UCB"
"19",8,"Rough",61.9727170657708,0.269468861905993,84.3850313149075,0.151709411422939,"LocalGP-UCB"
"20",9,"Rough",62.2441364920766,0.270328670579465,85.865594930916,0.144724078803203,"LocalGP-UCB"
"21",10,"Rough",63.0618060847383,0.270877105296613,87.1379020225281,0.138893552590808,"LocalGP-UCB"
"22",11,"Rough",63.3798813465898,0.273009609396742,88.1178616929274,0.134168720394912,"LocalGP-UCB"
