"","trial","lambda","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,2.5,47.688511,0.210798092469706,47.688511,0.210798092469706,"GP-UCB"
"2",2,2.5,48.619626,0.21174648418656,59.640096,0.17720451837132,"GP-UCB"
"3",3,2.5,50.413917,0.213572342453926,65.967237,0.162304359682974,"GP-UCB"
"4",4,2.5,51.071277,0.219107618226212,70.094168,0.154653553392527,"GP-UCB"
"5",5,2.5,52.408052,0.219396619277018,73.163273,0.147855090864456,"GP-UCB"
"6",6,2.5,53.360668,0.22077173083321,75.486061,0.143185575838982,"GP-UCB"
"7",7,2.5,53.260933,0.226257294857644,77.269614,0.13995594398855,"GP-UCB"
"8",8,2.5,54.514906,0.229782833641201,78.866187,0.137779832164647,"GP-UCB"
"9",9,2.5,55.164588,0.230619369451879,80.130939,0.135281649972603,"GP-UCB"
"10",10,2.5,55.781117,0.231240743028461,81.204404,0.13295307434007,"GP-UCB"
"11",11,2.5,56.464938,0.236934466479143,82.208089,0.130873809515921,"GP-UCB"
"12",12,2.5,57.427406,0.239710486910502,83.12275,0.128594238236247,"GP-UCB"
"13",13,2.5,57.771524,0.241830714263467,83.949884,0.126417197854745,"GP-UCB"
"14",14,2.5,58.805076,0.244706881229757,84.649743,0.124309846803044,"GP-UCB"
"15",15,2.5,59.208209,0.24762349912713,85.268639,0.122530787931715,"GP-UCB"
"16",16,2.5,60.036936,0.249170698094437,85.835305,0.120924103232448,"GP-UCB"
"17",17,2.5,60.927312,0.253777453023376,86.368725,0.119358596799311,"GP-UCB"
"18",18,2.5,61.844709,0.255789052872653,86.837818,0.117467803215889,"GP-UCB"
"19",19,2.5,62.636962,0.256974111930513,87.261483,0.115901373123446,"GP-UCB"
"20",20,2.5,62.823381,0.257745538925832,87.588261,0.114597233217796,"GP-UCB"
"21",21,2.5,63.670454,0.262448396271455,87.92598,0.113582779032428,"GP-UCB"
"22",22,2.5,64.551061,0.262056411287146,88.227282,0.112561613158853,"GP-UCB"
"23",23,2.5,65.453663,0.262047133106317,88.525603,0.111393555747473,"GP-UCB"
"24",24,2.5,66.113137,0.265141428778395,88.822117,0.110079914260429,"GP-UCB"
"25",25,2.5,67.085588,0.26429743073404,89.110432,0.108949294372254,"GP-UCB"
"26",26,2.5,67.854541,0.26391804165347,89.342101,0.107909272524142,"GP-UCB"
"27",27,2.5,68.270812,0.266243043037489,89.565323,0.10717923324213,"GP-UCB"
"28",28,2.5,68.870309,0.266165444702815,89.755734,0.106277738778638,"GP-UCB"
"29",29,2.5,70.015214,0.265018195503281,89.94784,0.105391633695874,"GP-UCB"
"30",30,2.5,71.174279,0.261130011125276,90.139543,0.104462735520502,"GP-UCB"
"31",31,2.5,71.837877,0.261943881295177,90.304924,0.103713118873771,"GP-UCB"
"32",32,2.5,72.697596,0.257189308071111,90.480382,0.102991615419374,"GP-UCB"
"33",33,2.5,73.55437,0.2540404367786,90.640039,0.102260217631584,"GP-UCB"
"34",34,2.5,74.313405,0.255452302764129,90.781291,0.101814616042766,"GP-UCB"
"35",35,2.5,75.247758,0.249307715819347,90.896083,0.101315685150508,"GP-UCB"
"36",36,2.5,76.108366,0.247637368984683,91.044784,0.100671068056959,"GP-UCB"
"37",37,2.5,77.267625,0.241771527401561,91.166291,0.100075395776464,"GP-UCB"
"38",38,2.5,77.925067,0.241487763689079,91.275779,0.0996016441634771,"GP-UCB"
"39",39,2.5,78.824447,0.236326421221064,91.399273,0.0989133037882859,"GP-UCB"
"40",40,2.5,79.833404,0.232401349505556,91.490145,0.098516223656461,"GP-UCB"
"41",41,2.5,80.643535,0.225072089215682,91.57243,0.0982423114583837,"GP-UCB"
