"","trial","lambda","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,1.5,48.023233,0.212053915271728,48.023233,0.212053915271728,"GP-UCB"
"2",2,1.5,49.236242,0.214477370964886,59.867843,0.180278333122631,"GP-UCB"
"3",3,1.5,50.022363,0.215263280929737,65.652836,0.166971774581997,"GP-UCB"
"4",4,1.5,51.280867,0.218360794776674,69.719137,0.158557519453417,"GP-UCB"
"5",5,1.5,52.063804,0.219876298717329,72.712667,0.151660423071096,"GP-UCB"
"6",6,1.5,52.849231,0.223922960169503,75.075705,0.147424226050335,"GP-UCB"
"7",7,1.5,53.53659,0.228458379772594,77.032529,0.144080480238978,"GP-UCB"
"8",8,1.5,54.324786,0.230150398239937,78.646231,0.140611826149258,"GP-UCB"
"9",9,1.5,54.814068,0.233703245424255,79.955814,0.138429508561666,"GP-UCB"
"10",10,1.5,55.233981,0.23474098155415,81.076857,0.135624377515006,"GP-UCB"
"11",11,1.5,55.845751,0.24087105444633,82.130904,0.133273896977015,"GP-UCB"
"12",12,1.5,56.494577,0.242904302650512,83.062245,0.13124794327249,"GP-UCB"
"13",13,1.5,57.237541,0.247436929704824,83.918426,0.12951424023672,"GP-UCB"
"14",14,1.5,58.072004,0.249764290759292,84.650833,0.127588984361912,"GP-UCB"
"15",15,1.5,59.304388,0.254020297306514,85.326306,0.125421748133754,"GP-UCB"
"16",16,1.5,59.522601,0.2577023025977,85.911045,0.123851880052815,"GP-UCB"
"17",17,1.5,61.123276,0.261432650118223,86.532654,0.121828256041139,"GP-UCB"
"18",18,1.5,62.21798,0.262772330742299,87.121847,0.120236860696403,"GP-UCB"
"19",19,1.5,63.174168,0.263947665494108,87.618427,0.118871045171249,"GP-UCB"
"20",20,1.5,64.330708,0.267978933699581,88.100841,0.117138311762976,"GP-UCB"
"21",21,1.5,65.529676,0.267194867954548,88.545931,0.115592731740742,"GP-UCB"
"22",22,1.5,66.521033,0.270337485587742,88.96078,0.113873506061323,"GP-UCB"
"23",23,1.5,67.633033,0.269529382791394,89.334377,0.112350421827938,"GP-UCB"
"24",24,1.5,68.867784,0.269974131505414,89.69638,0.110609721709322,"GP-UCB"
"25",25,1.5,70.229337,0.268354549533763,90.033297,0.109003500293737,"GP-UCB"
"26",26,1.5,71.450275,0.267839431502429,90.279435,0.107831157384718,"GP-UCB"
"27",27,1.5,71.863569,0.26882752553091,90.558075,0.106357086672332,"GP-UCB"
"28",28,1.5,73.531197,0.265412826895362,90.813721,0.105072352264223,"GP-UCB"
"29",29,1.5,74.285535,0.26357273171151,91.047076,0.103800980088673,"GP-UCB"
"30",30,1.5,75.118917,0.261916389898076,91.254835,0.102782311569816,"GP-UCB"
"31",31,1.5,76.148067,0.259787976882388,91.459925,0.101660859141882,"GP-UCB"
"32",32,1.5,77.112745,0.25668960871648,91.666735,0.100459707118093,"GP-UCB"
"33",33,1.5,78.025368,0.251971635115836,91.868765,0.0992870879574026,"GP-UCB"
"34",34,1.5,78.852458,0.249746421674741,92.037863,0.0983084497459514,"GP-UCB"
"35",35,1.5,79.647147,0.24723016780447,92.198605,0.0973754036465114,"GP-UCB"
"36",36,1.5,79.960922,0.245775752325234,92.329526,0.0967032407275429,"GP-UCB"
"37",37,1.5,80.86224,0.239645508172381,92.452191,0.0958092435836308,"GP-UCB"
"38",38,1.5,81.610585,0.23749711156681,92.587877,0.0949545092566431,"GP-UCB"
"39",39,1.5,82.143631,0.233902653802238,92.703005,0.0941993988445349,"GP-UCB"
"40",40,1.5,82.492354,0.231607502498062,92.793164,0.0936254782093389,"GP-UCB"
"41",41,1.5,83.462196,0.2242724729653,92.903454,0.0929530123300935,"GP-UCB"
