"","trial","lambda","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,2.3,47.517553,0.211147371580779,47.517553,0.211147371580779,"GP-UCB"
"2",2,2.3,49.038493,0.212989016594786,59.645357,0.181008083642387,"GP-UCB"
"3",3,2.3,50.937959,0.214956987132458,66.158111,0.165961312642125,"GP-UCB"
"4",4,2.3,51.598373,0.218915642031628,70.294437,0.157719075710541,"GP-UCB"
"5",5,2.3,52.022183,0.220042463531535,73.200393,0.150806893879157,"GP-UCB"
"6",6,2.3,52.945456,0.224460116260296,75.531462,0.14658334434696,"GP-UCB"
"7",7,2.3,53.772551,0.224674693790918,77.408425,0.142348466923747,"GP-UCB"
"8",8,2.3,54.269536,0.230889527016361,78.973748,0.139707044135461,"GP-UCB"
"9",9,2.3,54.959773,0.233041579752705,80.283276,0.136902577464247,"GP-UCB"
"10",10,2.3,56.002753,0.234289802185754,81.364302,0.134396472254502,"GP-UCB"
"11",11,2.3,56.570419,0.239711407007069,82.333256,0.132336069940841,"GP-UCB"
"12",12,2.3,56.931729,0.242619304612706,83.203091,0.129910371449061,"GP-UCB"
"13",13,2.3,57.975393,0.244916443190264,84.023306,0.127408054950553,"GP-UCB"
"14",14,2.3,58.9915,0.247962777583465,84.740744,0.125351658171988,"GP-UCB"
"15",15,2.3,59.560019,0.249986671373796,85.396718,0.123274369606451,"GP-UCB"
"16",16,2.3,60.430248,0.251246171321495,85.971234,0.121480067181397,"GP-UCB"
"17",17,2.3,60.91799,0.255275682761619,86.496797,0.119307872816217,"GP-UCB"
"18",18,2.3,62.109551,0.253340119958284,86.939532,0.117733147921516,"GP-UCB"
"19",19,2.3,62.721363,0.257851022057662,87.428616,0.116072633252087,"GP-UCB"
"20",20,2.3,62.882079,0.260233350646021,87.837851,0.114531211925092,"GP-UCB"
"21",21,2.3,63.930607,0.26270430796905,88.203579,0.113167340415729,"GP-UCB"
"22",22,2.3,64.772572,0.262344917198789,88.551691,0.111907675035384,"GP-UCB"
"23",23,2.3,65.891875,0.260291661811051,88.839908,0.110883364077739,"GP-UCB"
"24",24,2.3,66.387818,0.265813602430371,89.134347,0.109820892193586,"GP-UCB"
"25",25,2.3,66.768994,0.268737967530298,89.363656,0.108924249396436,"GP-UCB"
"26",26,2.3,67.804683,0.267470833577481,89.638056,0.107628204422099,"GP-UCB"
"27",27,2.3,68.647914,0.26907914337124,89.843627,0.106837112729392,"GP-UCB"
"28",28,2.3,69.3052,0.266519476389868,90.081147,0.105710491334763,"GP-UCB"
"29",29,2.3,70.219622,0.264501615303501,90.300828,0.104786790897499,"GP-UCB"
"30",30,2.3,70.890634,0.265708153013908,90.480295,0.103800056259452,"GP-UCB"
"31",31,2.3,71.75743,0.264538329673219,90.660199,0.103012032981268,"GP-UCB"
"32",32,2.3,72.608203,0.264026722683724,90.827008,0.10231415223403,"GP-UCB"
"33",33,2.3,73.307793,0.262579103697314,91.00563,0.101528911213955,"GP-UCB"
"34",34,2.3,73.888268,0.261104133917662,91.162435,0.100881514600428,"GP-UCB"
"35",35,2.3,75.188348,0.256325993489898,91.302341,0.100173606055223,"GP-UCB"
"36",36,2.3,75.689649,0.2558361126001,91.421299,0.0995355548280482,"GP-UCB"
"37",37,2.3,76.763789,0.249402976377209,91.517669,0.0990286393766247,"GP-UCB"
"38",38,2.3,77.547899,0.247933018143466,91.617702,0.0985233990985725,"GP-UCB"
"39",39,2.3,78.499065,0.24099963027722,91.728659,0.097989153504826,"GP-UCB"
"40",40,2.3,79.477113,0.235354722587135,91.84073,0.0974397399781152,"GP-UCB"
"41",41,2.3,80.031461,0.235472883295348,91.925201,0.0969980956360258,"GP-UCB"
