"","","","","par1","par2","par3"
"cv",20,1,48.9251788293756,-0.00923947362727179,-0.935681476871439,-2.58768167028344
"cv",20,2,77.2831615008575,-0.163475261001086,-0.97571266462357,-2.57663880261633
"cv",20,3,81.1846864070962,-0.137281874183077,-1.05939314443063,-2.64527128177052
"cv",20,4,58.9132579390253,-0.216588084553741,-0.954363718257516,-2.51506555476925
"cv",40,1,140.728312096228,-0.0631128748807086,-0.637180825828282,-2.42500652267012
"cv",40,2,138.049040089363,-0.0997268480265301,-0.589798093782651,-2.35292208597532
"cv",40,3,132.999967083998,-0.220589584699952,-0.741536406567149,-2.44800974355471
"cv",40,4,137.362517468617,-0.167123957770176,-0.552969847786144,-2.32597412125244
