"","","","","par1","par2","par3"
"cv",20,1,49.2365205963342,1.13889892173895,-1.9104872213783,-2.43468109700868
"cv",20,2,71.8229281174064,2.77748384008427,-4.6096301707677,-4.98120155590427
"cv",20,3,79.4413284499721,1.64702160792483,-2.74227324736185,-3.24659055861464
"cv",20,4,93.95958039469,2.00757973272455,-2.95652276046643,-3.56729782600231
"cv",40,1,129.146345824091,1.2084741882934,-2.15080137544158,-2.95509316978192
"cv",40,2,123.00962196719,1.08908186130405,-2.02023660621844,-2.82912085464174
"cv",40,3,134.319651012391,1.12040751681571,-2.13188053492843,-2.97411028516895
"cv",40,4,110.256962247319,1.41678286180435,-2.37329700851635,-3.09607726103038
