"participant","leaveoutindex","reward","environment","horizon","lambda","beta","tau"
1,1,"Cumulative","Rough",5,0.905024743336261,0.33661530151033,0.0380424027107897
1,2,"Cumulative","Rough",5,0.758115432765476,0.387788927736215,0.0289233466623772
1,3,"Cumulative","Rough",5,0.465779171872816,0.489583180090223,0.00673795462986105
1,4,"Cumulative","Rough",5,0.46602045992718,0.466331908329137,0.00673794756384835
1,5,"Cumulative","Rough",5,0.46001628131343,0.499866772693256,0.00673822981280109
1,6,"Cumulative","Rough",5,0.489333260241365,0.480300593311314,0.00673794982012007
1,7,"Cumulative","Rough",5,0.472454354733033,0.745845520321006,0.00673818454156449
1,8,"Cumulative","Rough",5,0.466609198889129,0.645684010836327,0.00673800865892922
1,1,"Cumulative","Rough",10,0.445033715828803,0.558576172104427,0.00673794779085991
1,2,"Cumulative","Rough",10,0.569112581075064,0.504413358607311,0.0232792911841444
1,3,"Cumulative","Rough",10,0.434496243812527,0.555931380715688,0.00733626072700877
1,4,"Cumulative","Rough",10,0.580311844570334,0.504585743108398,0.0240630974028583
1,5,"Cumulative","Rough",10,0.457486770327514,0.560053764031421,0.00934197466766048
1,6,"Cumulative","Rough",10,0.459534520928072,0.560020775013683,0.00924515163276263
1,7,"Cumulative","Rough",10,0.683454336300505,0.516810149351686,0.0338454929855609
1,8,"Cumulative","Rough",10,0.626811423486819,0.516082522233429,0.0240873982038982
2,1,"Cumulative","Rough",5,0.488801088015168,0.508094310905468,0.00675131326558824
2,2,"Cumulative","Rough",5,0.513826166638265,0.501215271704628,0.00673794703051819
2,3,"Cumulative","Rough",5,0.483519209391113,0.50748906867337,0.00675328747332089
2,4,"Cumulative","Rough",5,0.480544796119905,0.505719555723767,0.00673885061408371
2,5,"Cumulative","Rough",5,0.49758178984563,0.505758026476419,0.00673864513232652
2,6,"Cumulative","Rough",5,0.484667860893079,0.492975731085958,0.00673797792196137
2,7,"Cumulative","Rough",5,0.490708579496111,0.506272621113571,0.00674104165340825
2,8,"Cumulative","Rough",5,0.481076665875863,0.506257427739605,0.00673794733408825
2,1,"Cumulative","Rough",10,0.496499240804808,0.51777587194002,0.0102889745055948
2,2,"Cumulative","Rough",10,0.609410951311703,0.51370857150587,0.0153403926890467
2,3,"Cumulative","Rough",10,0.551125497663562,0.51762898640111,0.013600221342473
2,4,"Cumulative","Rough",10,0.45347574545436,0.521598545376715,0.00698027107226943
2,5,"Cumulative","Rough",10,0.514370198580933,0.514468309997387,0.010707692435471
2,6,"Cumulative","Rough",10,0.502752654711583,0.512372876602678,0.00763596337640486
2,7,"Cumulative","Rough",10,0.570167642728626,0.517631572797617,0.0148380821585028
2,8,"Cumulative","Rough",10,0.602013099402911,0.513937301396039,0.0163018820281385
3,1,"Cumulative","Smooth",5,1.45631383269611,0.0734841431747886,0.0563647532872144
3,2,"Cumulative","Smooth",5,1.52900255889514,0.0720555581163407,0.0519240786692464
3,3,"Cumulative","Smooth",5,1.33515185215198,0.131147283417641,0.0411105094109577
3,4,"Cumulative","Smooth",5,1.44295317463195,0.0684059294422941,0.0375505177315072
3,5,"Cumulative","Smooth",5,1.84368225015194,0.0675462947420406,0.0431011704435874
3,6,"Cumulative","Smooth",5,1.47007528428452,0.0701022341337175,0.0554932957333535
3,7,"Cumulative","Smooth",5,1.39282940815528,0.0687574250048403,0.0478135067523032
3,8,"Cumulative","Smooth",5,1.58604713550943,0.0745394917281517,0.048964214891588
3,1,"Cumulative","Smooth",10,1.79449792171784,0.0978284363932714,0.0266512264511231
3,2,"Cumulative","Smooth",10,1.78125282767574,0.0989501040288734,0.0257964243519249
3,3,"Cumulative","Smooth",10,1.8079715864413,0.100663931284993,0.0271447860289085
