"participant","leaveoutindex","reward","environment","horizon","tau"
1,1,"Cumulative","Rough",5,0.846311591566427
1,2,"Cumulative","Rough",5,0.819930411651955
1,3,"Cumulative","Rough",5,0.669530853929828
1,4,"Cumulative","Rough",5,0.823567448767695
1,5,"Cumulative","Rough",5,0.838705384661302
1,6,"Cumulative","Rough",5,0.695216773929024
1,7,"Cumulative","Rough",5,0.785105904456156
1,8,"Cumulative","Rough",5,0.978100254145413
1,1,"Cumulative","Rough",10,0.54666019425799
1,2,"Cumulative","Rough",10,0.516185190573148
1,3,"Cumulative","Rough",10,0.45390715227934
1,4,"Cumulative","Rough",10,0.501388452198525
1,5,"Cumulative","Rough",10,0.523541658644936
1,6,"Cumulative","Rough",10,0.469304442381674
1,7,"Cumulative","Rough",10,0.690628858861151
1,8,"Cumulative","Rough",10,0.511264410409873
2,1,"Cumulative","Rough",5,0.34690250807371
2,2,"Cumulative","Rough",5,0.335962870231124
2,3,"Cumulative","Rough",5,0.347353176413302
2,4,"Cumulative","Rough",5,0.343930341291837
2,5,"Cumulative","Rough",5,0.364715038964513
2,6,"Cumulative","Rough",5,0.322588678157564
2,7,"Cumulative","Rough",5,0.319973499911092
2,8,"Cumulative","Rough",5,0.326676613912958
2,1,"Cumulative","Rough",10,0.515241806249636
2,2,"Cumulative","Rough",10,0.507167313148204
2,3,"Cumulative","Rough",10,0.506865248001462
2,4,"Cumulative","Rough",10,0.503604788082307
2,5,"Cumulative","Rough",10,0.467314930224706
2,6,"Cumulative","Rough",10,0.471421716644643
2,7,"Cumulative","Rough",10,0.541081294288663
2,8,"Cumulative","Rough",10,0.526244904983209
3,1,"Cumulative","Smooth",5,0.443536365955771
3,2,"Cumulative","Smooth",5,0.430689758828243
3,3,"Cumulative","Smooth",5,0.415050375200643
3,4,"Cumulative","Smooth",5,0.42329223115178
3,5,"Cumulative","Smooth",5,0.475699178091633
3,6,"Cumulative","Smooth",5,0.434876636758041
3,7,"Cumulative","Smooth",5,0.456515531632224
3,8,"Cumulative","Smooth",5,0.457154568282337
3,1,"Cumulative","Smooth",10,0.260108503829239
3,2,"Cumulative","Smooth",10,0.259020869269104
3,3,"Cumulative","Smooth",10,0.266455726990317
3,4,"Cumulative","Smooth",10,0.287710879208122
3,5,"Cumulative","Smooth",10,0.245887922818565
3,6,"Cumulative","Smooth",10,0.263774159839022
3,7,"Cumulative","Smooth",10,0.256786078838979
3,8,"Cumulative","Smooth",10,0.247101636012527
4,1,"Best","Rough",5,0.477739393836312
4,2,"Best","Rough",5,0.499681041389222
4,3,"Best","Rough",5,0.480165325046748
4,4,"Best","Rough",5,0.521718154946972
4,5,"Best","Rough",5,0.476114662968472
4,6,"Best","Rough",5,0.517892152857143
4,7,"Best","Rough",5,0.496765628831598
4,8,"Best","Rough",5,0.513872434110315
4,1,"Best","Rough",10,0.462420251749127
4,2,"Best","Rough",10,0.502219075666531
4,3,"Best","Rough",10,0.519603147741829
4,4,"Best","Rough",10,0.465937009573612
4,5,"Best","Rough",10,0.527693663821421
4,6,"Best","Rough",10,0.525772343611067
4,7,"Best","Rough",10,0.470516164573272
4,8,"Best","Rough",10,0.45033806598159
5,1,"Best","Rough",5,0.444364361209535
5,2,"Best","Rough",5,0.398452384097984
5,3,"Best","Rough",5,0.416281576798398
5,4,"Best","Rough",5,0.455010325468956
5,5,"Best","Rough",5,0.459449804960739
5,6,"Best","Rough",5,0.472923407282472
5,7,"Best","Rough",5,0.430339248542085
5,8,"Best","Rough",5,0.451785412452685
5,1,"Best","Rough",10,0.463177403925303
5,2,"Best","Rough",10,0.498448216907167
5,3,"Best","Rough",10,0.455358441073887
5,4,"Best","Rough",10,0.474389582209226
5,5,"Best","Rough",10,0.446286871892288
5,6,"Best","Rough",10,0.482927357166381
5,7,"Best","Rough",10,0.446362940899567
5,8,"Best","Rough",10,0.510066555674715
6,1,"Best","Smooth",5,0.378323015400025
6,2,"Best","Smooth",5,0.387070010505758
6,3,"Best","Smooth",5,0.392643230714489
6,4,"Best","Smooth",5,0.410248882358139
6,5,"Best","Smooth",5,0.38155745468072
6,6,"Best","Smooth",5,0.399736839365706
6,7,"Best","Smooth",5,0.430019383517549
6,8,"Best","Smooth",5,0.38054974329981
6,1,"Best","Smooth",10,0.468595914415972
6,2,"Best","Smooth",10,0.454719345584094
6,3,"Best","Smooth",10,0.489290134683221
6,4,"Best","Smooth",10,0.430386715620713
6,5,"Best","Smooth",10,0.452108448198107
6,6,"Best","Smooth",10,0.417563516734495
6,7,"Best","Smooth",10,0.440607883276108
6,8,"Best","Smooth",10,0.462390238425523
7,1,"Cumulative","Rough",5,0.192219179472548
7,2,"Cumulative","Rough",5,0.203644659843309
7,3,"Cumulative","Rough",5,0.203302448584719
7,4,"Cumulative","Rough",5,0.195281208424675
7,5,"Cumulative","Rough",5,0.191176519547104
7,6,"Cumulative","Rough",5,0.167487576173894
7,7,"Cumulative","Rough",5,0.202804060939404
7,8,"Cumulative","Rough",5,0.203168370602044
7,1,"Cumulative","Rough",10,0.245020472230841
7,2,"Cumulative","Rough",10,0.253092822431373
7,3,"Cumulative","Rough",10,0.254535754728594
7,4,"Cumulative","Rough",10,0.235393141489289
7,5,"Cumulative","Rough",10,0.243194413015887
7,6,"Cumulative","Rough",10,0.232346871763934
7,7,"Cumulative","Rough",10,0.243094701637198
7,8,"Cumulative","Rough",10,0.245409613293987
8,1,"Cumulative","Rough",5,0.405429041957593
8,2,"Cumulative","Rough",5,0.441782707942504
8,3,"Cumulative","Rough",5,0.399622093745966
8,4,"Cumulative","Rough",5,0.50966606042849
8,5,"Cumulative","Rough",5,0.442646007861381
8,6,"Cumulative","Rough",5,0.382549840628088
8,7,"Cumulative","Rough",5,0.509758640936167
8,8,"Cumulative","Rough",5,0.468607662493025
8,1,"Cumulative","Rough",10,0.20664470168735
8,2,"Cumulative","Rough",10,0.21060619107085
8,3,"Cumulative","Rough",10,0.202498324093361
8,4,"Cumulative","Rough",10,0.204895870257782
8,5,"Cumulative","Rough",10,0.195813862988599
8,6,"Cumulative","Rough",10,0.192291342383353
8,7,"Cumulative","Rough",10,0.196700950454787
8,8,"Cumulative","Rough",10,0.203740329581538
9,1,"Cumulative","Smooth",5,0.358147347080917
9,2,"Cumulative","Smooth",5,0.353196804328442
9,3,"Cumulative","Smooth",5,0.440536765090915
9,4,"Cumulative","Smooth",5,0.384842109330527
9,5,"Cumulative","Smooth",5,0.405252752428493
9,6,"Cumulative","Smooth",5,0.370271421109221
9,7,"Cumulative","Smooth",5,0.383433747308275
9,8,"Cumulative","Smooth",5,0.378964521054308
9,1,"Cumulative","Smooth",10,0.486818423687457
9,2,"Cumulative","Smooth",10,0.458279810929552
9,3,"Cumulative","Smooth",10,0.446501620175547
9,4,"Cumulative","Smooth",10,0.45817608522626
9,5,"Cumulative","Smooth",10,0.439897903586008
9,6,"Cumulative","Smooth",10,0.46526802474579
9,7,"Cumulative","Smooth",10,0.444482368988905
9,8,"Cumulative","Smooth",10,0.451664742293382
10,1,"Cumulative","Smooth",5,0.417156715780744
10,2,"Cumulative","Smooth",5,0.391018508586934
10,3,"Cumulative","Smooth",5,0.39143189773651
10,4,"Cumulative","Smooth",5,0.371510038413132
10,5,"Cumulative","Smooth",5,0.433891115313492
10,6,"Cumulative","Smooth",5,0.431543893316947
10,7,"Cumulative","Smooth",5,0.379080552461127
10,8,"Cumulative","Smooth",5,0.402247553497261
10,1,"Cumulative","Smooth",10,0.49457274895847
10,2,"Cumulative","Smooth",10,0.430591263892834
10,3,"Cumulative","Smooth",10,0.522713157663965
10,4,"Cumulative","Smooth",10,0.471371378312818
10,5,"Cumulative","Smooth",10,0.454125254570874
10,6,"Cumulative","Smooth",10,0.463039186373024
10,7,"Cumulative","Smooth",10,0.470724710267832
10,8,"Cumulative","Smooth",10,0.476082179821847
11,1,"Best","Rough",5,0.494212888616256
11,2,"Best","Rough",5,0.499853876628421
11,3,"Best","Rough",5,0.489165301283944
11,4,"Best","Rough",5,0.531656222894097
11,5,"Best","Rough",5,0.485922665369747
11,6,"Best","Rough",5,0.511153003501857
11,7,"Best","Rough",5,0.572377641468929
11,8,"Best","Rough",5,0.492025411192786
11,1,"Best","Rough",10,0.804865770018707
11,2,"Best","Rough",10,0.831314585913006
11,3,"Best","Rough",10,0.682870329638883
11,4,"Best","Rough",10,0.9527661371474
11,5,"Best","Rough",10,0.781603178221971
11,6,"Best","Rough",10,0.818007448903442
11,7,"Best","Rough",10,0.796829527128864
11,8,"Best","Rough",10,0.75553819852776
12,1,"Best","Rough",5,0.425502024599647
12,2,"Best","Rough",5,0.442271481890055
