"participant","leaveoutindex","reward","environment","horizon","kError","beta","tau"
5,4,"Best","Rough",10,0.00674722398445568,0.53226265780633,0.774082064357352
5,5,"Best","Rough",10,41.0290056330535,5.98731702083662,0.0149222896365554
5,6,"Best","Rough",10,8.56063362152185,0.548245596640188,0.018959843925674
5,7,"Best","Rough",10,0.0067379484590028,0.368369323235477,0.382483676011665
5,8,"Best","Rough",10,0.00709757189629449,0.515273650994231,0.736332959615774
6,1,"Best","Smooth",5,8.42259222148501,0.333198691985417,0.00674579589347092
6,2,"Best","Smooth",5,8.21729727228043,0.341525764811199,0.00674057851682249
6,3,"Best","Smooth",5,7.6202475113598,0.326465240901443,0.00676258853409944
6,4,"Best","Smooth",5,2.28331663864133,34.2231670641194,0.136247331247614
6,5,"Best","Smooth",5,7.93574806909582,0.318987568491342,0.00690969720285401
6,6,"Best","Smooth",5,8.47714776322516,0.336186710415368,0.00673902462562343
6,7,"Best","Smooth",5,0.00673794991936179,0.192683737729022,0.0843881678768171
6,8,"Best","Smooth",5,0.00673794809130468,0.181725577754947,0.084306859871673
6,1,"Best","Smooth",10,0.00673828015561487,0.215524734541152,0.0208897826994455
6,2,"Best","Smooth",10,9.28808834712858,0.322013469318291,0.00673835720342148
6,3,"Best","Smooth",10,4.07201902879164,4.4047379592829,0.432468761703838
6,4,"Best","Smooth",10,9.46759545629754,0.334708286172912,0.00673939448901923
6,5,"Best","Smooth",10,9.62993513904538,0.330974599824465,0.00674243482594928
6,6,"Best","Smooth",10,9.39376971159667,0.322734148821979,0.00674587724551715
6,7,"Best","Smooth",10,9.12676930614982,0.328040352773394,0.00675083936282579
6,8,"Best","Smooth",10,9.59391439724434,0.331464798807972,0.00673961771450657
7,1,"Cumulative","Rough",5,7.27068497559901,0.112725521005226,0.00673826061546306
7,2,"Cumulative","Rough",5,8.64167982739326,0.00957509902560584,0.00673815323952725
7,3,"Cumulative","Rough",5,8.62903544456536,0.00959587665136486,0.00673797009728637
7,4,"Cumulative","Rough",5,8.09693293491878,0.00721898828200406,0.00673800223565641
7,5,"Cumulative","Rough",5,8.44053156743579,0.00836345281998548,0.00673803650917128
7,6,"Cumulative","Rough",5,8.43664723957094,0.00845711479686031,0.00673813582552649
