"participant","leaveoutindex","reward","environment","horizon","lambda","beta","tau"
1,1,"Cumulative","Rough",5,1.67124233338536,0.197195913789908,0.119527651290667
1,2,"Cumulative","Rough",5,1.58896204925424,0.210624404137543,0.131395367451298
1,3,"Cumulative","Rough",5,1.45725525545904,0.251116828485568,0.132642071301233
1,4,"Cumulative","Rough",5,1.48034406705161,0.236634578340635,0.133483239726826
1,5,"Cumulative","Rough",5,1.52134237781607,0.231184318108014,0.141896358471051
1,6,"Cumulative","Rough",5,1.57043153847581,0.227775350192495,0.126007317751136
1,7,"Cumulative","Rough",5,1.54263972893382,0.215007195091922,0.132613543152366
1,8,"Cumulative","Rough",5,8.41627673247462,0.951958698573818,0.141829889415005
1,1,"Cumulative","Rough",10,0.949306651557305,0.427818081243379,0.150108977721816
1,2,"Cumulative","Rough",10,0.922807664037742,0.442681925222893,0.149174535666657
1,3,"Cumulative","Rough",10,0.909653777737779,0.456261377790767,0.147045891155994
1,4,"Cumulative","Rough",10,0.97485191600138,0.366196025950214,0.122756075710023
1,5,"Cumulative","Rough",10,1.03688936769568,0.377459873238579,0.131985025824977
1,6,"Cumulative","Rough",10,0.931942212754823,0.440779784932823,0.143046647719203
1,7,"Cumulative","Rough",10,1.7169312861571,0.373830023965529,0.135410278995072
1,8,"Cumulative","Rough",10,1.04998590570899,0.392127570584068,0.13476008534841
2,1,"Cumulative","Rough",5,0.767642606288085,0.58712326643071,0.149817296624551
2,2,"Cumulative","Rough",5,0.724422971546103,0.610246503505308,0.146660919511491
2,3,"Cumulative","Rough",5,0.726961094540938,0.573026177262134,0.146062104308775
2,4,"Cumulative","Rough",5,0.690045698046658,0.698163312681664,0.17122229847296
2,5,"Cumulative","Rough",5,0.768808044242997,0.585421569772257,0.151779991515189
2,6,"Cumulative","Rough",5,0.31642389757758,54.5879055465026,13.9819416498901
2,7,"Cumulative","Rough",5,0.72008276614051,0.650263829930708,0.150500772672508
2,8,"Cumulative","Rough",5,0.309838556486586,54.5928409086652,13.1144104583749
2,1,"Cumulative","Rough",10,1.04368081081634,0.527100406985462,0.144129329593165
